"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine state total","1","CA4","10","...","Personal income (thousands of dollars)",3217148,3530087,3790516,4151378,4663075,5177766,5579554,6378036,6931931,7663100,8517303,9584669,10586283,11464150,12294408,13639159,14708268,15970626,17383822,19127295,20817675,21654835,21995830,23022871,23767774,24763124,25878824,27358122,28858308,30792396,32288023,34619882,36357952,37656606,39589277,41725742,42605863,45028851,46910810,48823635,48644160,49248076,51254592,52597944,52565709,54195046
"23000","Maine state total","1","CA4","11","...","  Nonfarm personal income 1/",3143813,3453553,3725208,4087514,4516641,4984260,5500586,6218344,6806847,7576916,8445919,9539694,10472682,11362610,12224211,13523781,14607896,15879597,17251424,19012983,20695498,21485924,21873032,22849440,23616346,24620126,25761226,27212299,28758687,30619154,32097079,34416463,36169961,37505742,39431390,41553828,42437923,44866020,46734743,48698668,48530551,49075162,51115189,52414106,52355834,53977214
"23000","Maine state total","1","CA4","12","...","  Farm income 2/",73335,76534,65308,63864,146434,193506,78968,159692,125084,86184,71384,44975,113601,101540,70197,115378,100372,91029,132398,114312,122177,168911,122798,173431,151428,142998,117598,145823,99621,173242,190944,203419,187991,150864,157887,171914,167940,162831,176067,124967,113609,172914,139403,183838,209875,217832
"23000","Maine state total","1","CA4","20","...","Population (persons) 3/",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327361,1327930,1328592,1328702,1330089
"23000","Maine state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3243,3541,3732,4012,4456,4884,5199,5852,6271,6870,7571,8506,9343,10086,10740,11802,12648,13649,14675,15889,17064,17581,17780,18589,19132,19927,20812,21903,22999,24455,25488,27109,28279,29057,30301,31762,32307,34019,35350,36695,36586,37102,38597,39589,39562,40745
"23000","Maine state total","1","CA4","35","...","Earnings by place of work",2613574,2816280,2975985,3263105,3669333,3999514,4166823,4878206,5283683,5873385,6500249,7134767,7709863,8152786,8814393,9791652,10633540,11575986,12737320,14161941,15271944,15816828,15738791,16443496,16963814,17622989,18073502,18885584,19931208,21361917,22859056,24325976,25564609,26607045,27807697,29396662,29932653,31588160,32384230,32975810,32502889,32972134,33513814,34354286,34928240,35952563
"23000","Maine state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543851,2683629,2815354,2949232,2977381,3064000,3222156,3326869,3540050,3696444,3801532,3722972,3808231,3488819,3585328,4154681,4277865
"23000","Maine state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278702,1357390,1419981,1518398,1577951,1637037,1738287,1808358,1935866,2030909,2089998,2053327,2083163,1714647,1758536,2270582,2371200
"23000","Maine state total","1","CA4","38","...","  Employer contributions for government social insurance",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1399430,1426963,1483869,1518511,1604184,1665535,1711534,1669645,1725068,1774172,1826792,1884099,1906665
"23000","Maine state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-24462,-20027,-19222,-22024,-12541,-7736,-21147,-24347,-25956,-24508,-17213,-13590,-48139,-46036,-33051,-26188,-4777,35148,59131,72767,72208,70876,88175,132117,191402,251041,318080,371529,445208,519225,585061,702037,744514,695855,679084,693564,693433,706424,727575,706276,676080,709076,755188,777316,789654,846465
"23000","Maine state total","1","CA4","45","...","Equals: Net earnings by place of residence",2408214,2602941,2745840,2999580,3355273,3654095,3788591,4431516,4796398,5317791,5876337,6453142,6891178,7275556,7871385,8722493,9497262,10372163,11440402,12691842,13694355,14099612,14023746,14670613,15139655,15743972,16183990,16984182,17977785,19337291,20760488,22212659,23359891,24325519,25422781,26868070,27299217,28754534,29415361,29880554,29455997,29872979,30780183,31546274,31563213,32521163
