"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"26000","Michigan state total","3","CA4","10","...","Personal income (thousands of dollars)",35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,268247024,281153326,298801316,302178614,303808936,311876449,322743895,330823096,339674220,348597975,356375474,338229671,347645746,368789981,382064571,387978294,403726369
"26000","Michigan state total","3","CA4","11","...","  Nonfarm personal income 1/",35581926,36828103,40112776,44458836,49516168,52922697,56732320,63533226,71435775,79764035,87432865,93616418,100188492,103538324,110235262,121603432,131855196,140583189,146052512,155967677,167658609,175690465,179514205,190436729,200648688,215984202,228305100,240415770,253223098,267649136,280365486,298234002,301655148,303243278,311200599,321631510,329800806,338576136,347435379,354929975,337199005,346195698,365949277,380401780,385580058,401867753
"26000","Michigan state total","3","CA4","12","...","  Farm income 2/",348975,338222,307098,423601,557551,644671,570621,468373,549000,499624,534231,526096,504616,399638,212546,540289,652188,482222,653361,571202,962972,753891,641572,728436,705984,529957,670322,584730,576641,597888,787840,567314,523466,565658,675850,1112385,1022290,1098084,1162596,1445499,1030666,1450048,2840704,1662791,2398236,1858616
"26000","Michigan state total","3","CA4","20","...","Population (persons) 3/",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876498,9875736,9884781,9898193,9909877
"26000","Michigan state total","3","CA4","30","...","Per capita personal income (dollars) 4/",4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27239,28408,30023,30245,30333,31060,32097,32914,33845,34855,35828,34159,35199,37343,38652,39197,40740
"26000","Michigan state total","3","CA4","35","...","Earnings by place of work",31103785,31272453,33845412,37888421,42818102,44533579,45724546,52264378,59786858,67361479,73184900,73855792,77771460,77127457,82195429,92151697,101710175,108931851,113529657,122273327,130061062,135394341,137541069,147006502,154968520,166709810,176188946,184515218,193762300,206843846,219205850,233205965,233778475,235888667,240683907,248103295,252934932,256121995,256629355,254377568,235391113,240692657,252207974,262284207,269749432,281050903
"26000","Michigan state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",2205995,2195894,2449798,2904860,3799625,4082063,4090501,4793951,5491416,6390538,7194074,7174240,8185708,8240709,8953546,10356353,11665567,12550722,12895962,14305289,15142477,16052725,16558631,17546506,18603367,20421089,21539159,22020148,23098688,24261433,25631302,26849431,26634050,26929175,27315035,28254484,29144093,29868595,30229735,30279414,28301474,28694106,26710664,27807858,32299764,33554996
"26000","Michigan state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",1032961,1035079,1153085,1319683,1727193,1869717,1879478,2144742,2432760,2785244,3177968,3229458,3726956,3767182,4033925,4561366,5273067,5730757,5995431,6694816,7247563,7699499,7997743,8411257,8910950,9811709,10438270,10840687,11421555,11990646,12752914,13336626,13380836,13666645,13824809,14286173,14799780,15266597,15541106,15677525,14784322,15016396,12367871,12809613,16942358,17838838
"26000","Michigan state total","3","CA4","38","...","  Employer contributions for government social insurance",1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13677710,14342793,14998245,15357406,15716158
"26000","Michigan state total","3","CA4","42","...","Plus: Adjustment for residence 6/",108696,112211,104977,113544,139915,139948,149579,191162,217323,260548,307254,353037,374936,377664,410603,476425,498326,485992,504294,512845,512047,457877,487261,552055,627608,753744,797049,822808,909683,993502,1081193,1098968,1191367,1009334,647946,1127478,1067905,1445890,1666235,1752083,1509305,1580798,1731590,1903575,1907992,2086503
