"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota state total","4","CA4","10","...","Personal income (thousands of dollars)",14345217,15639973,16680898,18131659,21241112,22866034,24735777,26719839,30082297,33748603,37547231,41697467,46202501,49470144,52085956,59084082,62698124,66395130,70827147,74630070,81661558,86895595,89548001,96321351,99215504,106426113,112631122,121486713,128314666,139769415,147128527,159518259,166059053,170136981,178170811,187859607,193454353,204654240,216410177,226967578,216865991,226049182,241807177,254467614,257058116,267389243
"27000","Minnesota state total","4","CA4","11","...","  Nonfarm personal income 1/",13627063,14766404,15887434,17175297,19065996,21226718,23478247,25946000,28590173,32133340,36312263,40748016,45172205,48662680,51977384,57651652,61367316,64765152,68701322,73391067,79627170,84960150,88363340,94944798,99055071,105115272,112134238,119595335,127445337,138400447,145898894,158104448,165069754,169154806,176318085,185448539,190483072,202141039,213940960,222941019,214677868,222794487,237338420,248275680,251048377,263068623
"27000","Minnesota state total","4","CA4","12","...","  Farm income 2/",718154,873569,793464,956362,2175116,1639316,1257530,773839,1492124,1615263,1234968,949451,1030296,807464,108572,1432430,1330808,1629978,2125825,1239003,2034388,1935445,1184661,1376553,160433,1310841,496884,1891378,869329,1368968,1229633,1413811,989299,982175,1852726,2411068,2971281,2513201,2469217,4026559,2188123,3254695,4468757,6191934,6009739,4320620
"27000","Minnesota state total","4","CA4","20","...","Population (persons) 3/",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310418,5348036,5380615,5422060,5457173
"27000","Minnesota state total","4","CA4","30","...","Per capita personal income (dollars) 4/",3817,4099,4331,4689,5467,5865,6301,6753,7559,8427,9298,10207,11237,11974,12577,14211,14984,15789,16724,17371,18824,19795,20165,21426,21777,23084,24169,25778,26938,29037,30190,32332,33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998
"27000","Minnesota state total","4","CA4","35","...","Earnings by place of work",11915060,12836396,13551241,14789824,17570692,18571942,19614459,21278579,24197805,27484192,30666814,33020537,35704091,36981718,38830174,44911050,47927313,51113448,55478351,58949066,63851728,67815595,70018810,76063255,78243080,84055658,87963010,95353635,100772047,110569957,117771818,127789010,132628635,136105153,142012312,150376561,154895713,160285677,167728922,174220255,164352541,170510307,180629925,189024624,194144820,201540231
"27000","Minnesota state total","4","CA4","36","...","Less: Contributions for government social insurance 5/",780755,824946,909712,1035955,1333115,1524691,1613191,1845024,2043116,2408734,2854780,3106791,3604125,3838381,4161127,4796342,5234150,5701287,6106551,6827892,7303127,7829106,8277886,8868523,9312637,9989813,10529842,11136281,11836089,12711756,13569510,14524661,15034335,15408005,16096627,17007574,17748068,18559969,19328634,19931960,19269240,19537330,18320937,19048488,22383349,23183268
"27000","Minnesota state total","4","CA4","37","...","  Employee and self-employed contributions for government social insurance",391670,416044,457156,512130,655185,753655,799257,889315,969467,1132160,1348369,1485504,1738540,1863027,1997146,2250475,2536605,2778989,3008453,3392268,3690541,3948293,4191645,4480646,4708282,5069015,5364161,5681617,6049480,6490396,6967065,7433201,7719236,7939265,8204324,8663716,9027867,9507555,9974989,10351473,10037454,10136245,8308511,8591393,11484053,12118515
"27000","Minnesota state total","4","CA4","38","...","  Employer contributions for government social insurance",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753
"27000","Minnesota state total","4","CA4","42","...","Plus: Adjustment for residence 6/",-30866,-26925,-26990,-28920,-34913,-31664,-32986,-40833,-55028,-69194,-87455,-93433,-134386,-156601,-185484,-243060,-290604,-328285,-378208,-454412,-439897,-471593,-475768,-509823,-516011,-562106,-611073,-686186,-768333,-848598,-952762,-1038379,-1131111,-1042537,-1023455,-1083819,-1210134,-900265,-1256135,-1459547,-1228458,-1201644,-1302280,-1177942,-1212554,-1228483
"27000","Minnesota state total","4","CA4","45","...","Equals: Net earnings by place of residence",11103439,11984525,12614539,13724949,16202664,17015587,17968282,19392722,22099661,25006264,27724579,29820313,31965580,32986736,34483563,39871648,42402559,45083876,48993592,51666762,56108704,59514896,61265156,66684909,68414432,73503739,76822095,83531168,88167625,97009603,103249546,112225970,116463189,119654611,124892230,132285168,135937511,140825443,147144153,152828748,143854843,149771333,161006708,168798194,170548917,177128480
"27000","Minnesota state total","4","CA4","46","...","Plus: Dividends, interest, and rent 7/",2080245,2282228,2472823,2644353,2972722,3426988,3843784,4112834,4602393,5114881,5767132,7011033,8653760,10206498,10836274,12115838,12755411,13432175,13705181,14375571,16202147,17329925,17477981,17888330,18406020,19885209,21992005,23491322,25455411,27553954,27891437,30164022,30374337,29612284,31385621,32566914,33406723,37270402,40201626,41150374,36815171,37251326,41423706,46237896,45705780,47507553
"27000","Minnesota state total","4","CA4","47","...","Plus: Personal current transfer receipts",1161533,1373220,1593536,1762357,2065726,2423459,2923711,3214283,3380243,3627458,4055520,4866121,5583161,6276910,6766119,7096596,7540154,7879079,8128374,8587737,9350707,10050774,10804864,11748112,12395052,13037165,13817022,14464223,14691630,15205858,15987544,17128267,19221527,20870086,21892960,23007525,24110119,26558395,29064398,32988456,36195977,39026523,39376763,39431524,40803419,42753210
"27000","Minnesota state total","4","CA4","50","...","Wages and salaries",9067461,9729445,10347890,11108257,12353047,13604640,14611435,16153251,17815674,20262790,23094081,25242310,27375247,28642782,30379708,33945098,36347352,38431996,41379028,44787853,47507357,50605647,52654909,56548098,58939585,62381824,66386876,71264795,76379989,83033201,88595038,95704176,98980854,100662677,103499892,109164047,111852874,116907328,123653666,127172794,121111366,124258116,129121233,135388731,139573509,145925536
"27000","Minnesota state total","4","CA4","60","...","Supplements to wages and salaries",1019188,1123741,1251746,1444699,1646688,1865317,2199996,2507110,2920213,3427542,3985329,4394512,4858352,5174239,5670545,6353058,6995221,7689235,8265948,8885264,9839008,10659949,11404078,12722814,13495127,14255726,14668017,15101259,15599533,17223773,18255127,19977699,21053385,21914061,23844757,25317403,26602943,26251300,27989282,29358186,27954096,29021950,31290577,30068143,30770149,32457430
"27000","Minnesota state total","4","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",630103,714839,799190,920874,968758,1094281,1386062,1551401,1846564,2150968,2478918,2773225,2992767,3198885,3506564,3807191,4297676,4766937,5167850,5449640,6226422,6779136,7317837,8334937,8890772,9334928,9502336,9646595,9812924,11002413,11652682,12886239,13738286,14445321,15952454,16973545,17882742,17198886,18635637,19777699,18722310,19620865,21278151,19611048,19870853,21392677
"27000","Minnesota state total","4","CA4","62","...","  Employer contributions for government social insurance",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753
"27000","Minnesota state total","4","CA4","70","...","Proprietors' income 9/",1828411,1983210,1951605,2236868,3570957,3101985,2803028,2618218,3461918,3793860,3587404,3383715,3470492,3164697,2779921,4612894,4584740,4992217,5833375,5275949,6505363,6549999,5959823,6792343,5808368,7418108,6908117,8987581,8792525,10312983,10921653,12107135,12594396,13528415,14667663,15895111,16439896,17127049,16085974,17689275,15287079,17230241,20218115,23567750,23801162,23157265
"27000","Minnesota state total","4","CA4","71","...","  Farm proprietors' income",647488,797554,707388,869879,2057713,1496490,1080151,573627,1300002,1422074,1022589,726517,812251,567777,-118336,1210274,1106920,1423721,1924338,1001873,1769368,1611138,855790,1029804,-195970,950471,125089,1503955,439447,886372,775363,878894,462672,404814,1339511,1936037,2510116,2067985,1913274,3526149,1491257,2657590,4004616,5439668,5442905,3717568
"27000","Minnesota state total","4","CA4","72","...","  Nonfarm proprietors' income",1180923,1185656,1244217,1366989,1513244,1605495,1722877,2044591,2161916,2371786,2564815,2657198,2658241,2596920,2898257,3402620,3477820,3568496,3909037,4274076,4735995,4938861,5104033,5762539,6004338,6467637,6783028,7483626,8353078,9426611,10146290,11228241,12131724,13123601,13328152,13959074,13929780,15059064,14172700,14163126,13795822,14572651,16213499,18128082,18358257,19439697
"27000","Minnesota state total","4","CA4","7010","...","Total employment",1690875,1698995,1706080,1780093,1877806,1921458,1920410,1976597,2033789,2121891,2217688,2248180,2232802,2192337,2219348,2324144,2385204,2417493,2509308,2580304,2633745,2691896,2717271,2762016,2816645,2903666,2994740,3056007,3109004,3186896,3252434,3326787,3338685,3331049,3343262,3386945,3447486,3491448,3536074,3522422,3422797,3396374,3457483,3490522,3540723,3591362
"27000","Minnesota state total","4","CA4","7020","...","  Wage and salary employment",1393732,1402854,1403661,1469394,1548909,1593312,1590975,1633185,1692303,1785516,1862192,1865288,1848987,1797645,1810110,1912909,1964246,1990297,2060518,2124111,2177845,2223189,2231914,2275510,2328672,2398002,2471290,2518954,2571818,2641823,2703900,2756409,2758536,2740683,2734987,2758166,2795386,2827078,2843408,2831328,2728923,2710413,2751062,2791399,2834537,2877568
"27000","Minnesota state total","4","CA4","7040","...","  Proprietors employment",297143,296141,302419,310699,328897,328146,329435,343412,341486,336375,355496,382892,383815,394692,409238,411235,420958,427196,448790,456193,455900,468707,485357,486506,487973,505664,523450,537053,537186,545073,548534,570378,580149,590366,608275,628779,652100,664370,692666,691094,693874,685961,706421,699123,706186,713794
"27001","Aitkin, MN","4","CA4","10","...","Personal income (thousands of dollars)",27073,29711,33518,37087,43903,47897,53260,61575,67336,73559,81043,91246,101175,109903,120321,127963,133821,140002,137830,142399,156060,165471,176240,187408,200112,213420,237738,256188,272892,296472,312362,336722,359433,378175,395394,407931,407206,429344,450486,472297,472222,494432,508955,519537,529139,572824
"27001","Aitkin, MN","4","CA4","11","...","  Nonfarm personal income 1/",25121,28092,31950,35502,39936,45123,51243,57745,63330,70266,78514,88862,99495,108334,115034,124837,130949,133648,134621,140562,153810,164673,173161,185978,198201,211983,236792,254659,271834,296358,312528,335543,357844,375296,391827,405576,406227,427924,449543,471806,472836,484189,503962,516931,527298,570344
"27001","Aitkin, MN","4","CA4","12","...","  Farm income 2/",1952,1619,1568,1585,3967,2774,2017,3830,4006,3293,2529,2384,1680,1569,5287,3126,2872,6354,3209,1837,2250,798,3079,1430,1911,1437,946,1529,1058,114,-166,1179,1589,2879,3567,2355,979,1420,943,491,-614,10243,4993,2606,1841,2480
