"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",395906,443495,474162,539218,579226,653223,767218,847559,920573,1057525,1205694,1392677,1678262,1795083,1872242,1994522,2118488,2110118,2080373,2172606,2259631,2313227,2372735,2532171,2655273,2711191,2904312,3093095,3307392,3462019,3606422,3704390,3778557,3911534,4115222,4293244,4491803,4747075,5073971,5610330,5329176,5558649,5961234,6349442,6465992,6779927
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",379672,420558,453494,510404,551658,644587,746058,830193,907932,1047847,1185420,1382210,1632277,1772113,1863990,1984407,2118400,2099382,2052347,2157709,2241369,2275141,2358772,2495715,2624800,2691863,2886935,3086932,3284644,3453757,3576324,3696830,3741708,3896111,4084185,4256586,4461052,4739199,5043216,5612396,5334541,5534328,5938261,6344162,6425644,6755189
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","12","...","  Farm income 2/",16234,22937,20668,28814,27568,8636,21160,17366,12641,9678,20274,10467,45985,22970,8252,10115,88,10736,28026,14897,18262,38086,13963,36456,30473,19328,17377,6163,22748,8262,30098,7560,36849,15423,31037,36658,30751,7876,30755,-2066,-5365,24321,22973,5280,40348,24738
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","20","...","Population (persons) 3/",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165642,166637,167529,167452,168592
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3164,3620,3798,4196,4542,5079,5855,6355,6919,7865,8826,9941,11711,12056,12242,12986,13804,13611,13539,14480,15132,15647,16097,16890,17365,17630,18606,19783,21012,21875,22575,23111,23777,24599,25913,26807,27941,29414,31316,34523,32517,33558,35774,37901,38614,40215
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","35","...","Earnings by place of work",314729,345979,368356,422340,447399,497097,584070,651164,708931,816539,937428,1065538,1294100,1341563,1380153,1458270,1531516,1507396,1458880,1536674,1541677,1596896,1640392,1759145,1834506,1895221,1995628,2131048,2326369,2432863,2579609,2598895,2624485,2735248,2881425,3049622,3149056,3371812,3528874,3811921,3568982,3707737,3910199,4204043,4378643,4604292
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",18303,19934,22303,26147,31846,38282,44278,50603,55793,65480,78599,91347,116795,125452,129737,140379,150084,144782,138648,152195,154717,156668,168262,176727,184213,193361,203789,214107,227052,232301,240171,244306,250336,265072,281431,297861,310484,329193,350929,372140,370766,378918,351807,372575,431915,452806
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",9557,10240,11245,12840,16168,19433,21820,24307,27126,31809,38339,45176,58172,62749,63935,67973,75158,72967,69596,77849,80934,81181,87427,91460,95847,101582,108123,113405,120785,123957,128823,129272,130043,137857,142218,150841,158189,168976,180966,194843,192634,193746,160034,169211,224415,237158
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",8746,9694,11058,13307,15678,18849,22458,26296,28667,33671,40260,46171,58623,62703,65802,72406,74926,71815,69052,74346,73783,75487,80835,85267,88366,91779,95666,100702,106267,108344,111348,115034,120293,127215,139213,147020,152295,160217,169963,177297,178132,185172,191773,203364,207500,215648
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",1495,1863,2003,2373,2458,1630,1702,2096,2173,1512,1126,448,-3092,-1662,-2141,-2560,-2358,-274,1559,3369,7498,10283,5066,6192,6245,4630,3561,3165,4426,6403,7632,10171,13140,7504,-7116,-10829,-13903,-15379,-5427,-3711,-5170,-1390,7062,16558,18388,23692
