"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"37000","North Carolina state total","5","CA4","10","...","Personal income (thousands of dollars)",15814399,17266010,18795809,21242006,24057505,26520910,28819441,31951060,35004010,39496334,43638467,48934688,55093632,59016015,64310265,72718393,78721174,84796696,91333783,100022056,109070662,115754709,120936223,131824817,140620670,149734601,160530377,171935317,184820214,198910250,210373090,225286453,233860291,237354878,244933746,263310919,280702111,301182453,320002877,334365355,330202358,340017767,353461739,376817437,372031203,389512571
"37000","North Carolina state total","5","CA4","11","...","  Nonfarm personal income 1/",15144323,16596901,18172099,20495495,22900255,25416755,27764373,30816913,34162012,38369484,42898118,48299365,54060217,57965467,63687592,71439829,77574333,83664770,90207542,98559635,107366180,113638530,118560264,129511237,138031766,146931783,157847878,168960725,181779083,196524675,208158647,222344498,230763202,235874456,243364994,260970506,277561801,298597390,317802024,332137856,327978764,337570316,351327556,373827218,368294829,385231632
"37000","North Carolina state total","5","CA4","12","...","  Farm income 2/",670076,669109,623710,746511,1157250,1104155,1055068,1134147,841998,1126850,740349,635323,1033415,1050548,622673,1278564,1146841,1131926,1126241,1462421,1704482,2116179,2375959,2313580,2588904,2802818,2682499,2974592,3041131,2385575,2214443,2941955,3097089,1480422,1568752,2340413,3140310,2585063,2200853,2227499,2223594,2447451,2134183,2990219,3736374,4280939
"37000","North Carolina state total","5","CA4","20","...","Population (persons) 3/",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9559488,9651502,9748181,9848917,9943964
"37000","North Carolina state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3143,3386,3614,4011,4470,4856,5207,5712,6175,6881,7522,8295,9249,9805,10582,11797,12587,13414,14263,15434,16613,17370,17826,19113,19967,20833,21857,22923,24138,25472,26464,27876,28484,28507,29081,30785,32245,33775,35096,35917,34944,35569,36622,38655,37774,39171
"37000","North Carolina state total","5","CA4","35","...","Earnings by place of work",13722251,14693985,15939332,18155239,20698176,22395722,23404429,26240666,28793801,32732070,36056312,39311669,43526725,45617822,49875321,56798047,61584061,66702589,72784569,79669256,85600975,90527678,93784394,102701681,109067309,116437359,123365252,130744954,140719961,152080953,162711932,174786219,180170835,182525210,188190923,200258832,212038986,226735851,237059462,242574173,236680467,244391947,248035787,266682890,264792465,279194147
"37000","North Carolina state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",899596,971110,1101758,1308568,1677889,1900990,1977755,2272099,2513226,2920385,3389734,3716782,4380076,4634635,5172677,5969047,6588701,7293905,7869376,8838251,9490095,10256596,10747215,11649212,12434952,13398810,14227993,14926161,15977772,17207394,18335505,19427854,20100040,20361487,21369835,22457393,24015046,25774094,27518147,28284262,27503129,27473097,25651655,26666630,30686735,32293225
"37000","North Carolina state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",445354,482025,542867,635069,820243,933541,969839,1083707,1190324,1378784,1610023,1785717,2127014,2287689,2515309,2842704,3239543,3614822,3937906,4460474,4868311,5247344,5533830,5968314,6380100,6910684,7400280,7757739,8307389,8928990,9531498,10088985,10403048,10670058,10942024,11589603,12379541,13387376,14342831,14730716,14363532,14576326,11962735,12398557,15999305,16849002
"37000","North Carolina state total","5","CA4","38","...","  Employer contributions for government social insurance",454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992,9691429,10427811,10867790,11635505,12386718,13175316,13553546,13139597,12896771,13688920,14268073,14687430,15444223
"37000","North Carolina state total","5","CA4","42","...","Plus: Adjustment for residence 6/",19744,16408,13406,8133,6780,12523,15118,14029,19085,18143,12910,17229,-29639,-40583,-59285,-94561,-156802,-218612,-300424,-362774,-417741,-457576,-440104,-464503,-481287,-546494,-618024,-682280,-760032,-738030,-807177,-921356,-829780,-1200458,-1456375,-1362786,-1670380,-1509835,-1241456,-1388010,-1176198,-1206226,-1256200,-1455516,-1521923,-1808226
