"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"33000","New Hampshire state total","1","CA4","10","...","Personal income (thousands of dollars)",2788141,2974271,3228188,3569215,4015901,4422445,4815390,5443554,6154938,7096546,8109526,9274186,10505613,11568428,12714401,14383191,15892572,17589083,19464425,21419236,22925371,23025351,23788602,24948920,25787395,27573320,29299859,31032084,33335717,36173197,38145169,42519712,44127354,45071574,46328922,49527453,51431409,55098802,57276199,59052313,57824018,59648845,63276057,66786803,66839054,70020358
"33000","New Hampshire state total","1","CA4","11","...","  Nonfarm personal income 1/",2767376,2957998,3213828,3553441,3995624,4409343,4798691,5425296,6137443,7078001,8088641,9260991,10483433,11550197,12697721,14362315,15869018,17565180,19422630,21374904,22891712,22982438,23745359,24899248,25746955,27535338,29266638,30993578,33299891,36135076,38102183,42477065,44087574,45031550,46281882,49471636,51383754,55060670,57236574,59022654,57807996,59623201,63250911,66732844,66760707,69959232
"33000","New Hampshire state total","1","CA4","12","...","  Farm income 2/",20765,16273,14360,15774,20277,13102,16699,18258,17495,18545,20885,13195,22180,18231,16680,20876,23554,23903,41795,44332,33659,42913,43243,49672,40440,37982,33221,38506,35826,38121,42986,42647,39780,40024,47040,55817,47655,38132,39625,29659,16022,25644,25146,53959,78347,61126
"33000","New Hampshire state total","1","CA4","20","...","Population (persons) 3/",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316517,1318109,1321297,1322616,1326813
"33000","New Hampshire state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3851,4009,4236,4566,5008,5413,5801,6427,7060,7938,8893,10034,11217,12207,13270,14724,15944,17159,18462,19785,20756,20699,21433,22320,22832,24133,25312,26417,28027,29996,31215,34293,35147,35515,36199,38390,39609,42112,43638,44876,43936,45308,48005,50546,50535,52773
"33000","New Hampshire state total","1","CA4","35","...","Earnings by place of work",2026693,2144600,2301462,2557336,2908477,3133817,3302036,3805125,4320689,5035765,5755302,6371092,7047598,7595508,8517379,9618257,10792113,12127963,13710626,15133313,15764854,15639200,15623098,16746970,17488705,18647680,19776076,21109756,22874253,25175408,26857834,29747297,31016142,31909132,33189444,35386101,36908432,38987334,39796313,40407936,39825126,41028451,42170565,43441932,44114867,46322141
"33000","New Hampshire state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",129247,135524,150680,176601,229731,257857,267113,310398,354374,421132,503725,559499,667377,739592,840841,977213,1125603,1275546,1420277,1605740,1677354,1709627,1730459,1838805,1918891,2074471,2223507,2347051,2521463,2734310,2903872,3190015,3323809,3386985,3552509,3811939,3979208,4150365,4322642,4461100,4433958,4554356,4229326,4331131,4964447,5163362
"33000","New Hampshire state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",68066,71531,79118,90990,118058,133873,139165,156874,178743,208033,252081,283758,341113,380858,426725,486982,577525,655476,741632,840278,886377,902494,923506,984143,1029233,1113900,1197421,1259629,1348440,1462980,1559780,1708437,1787966,1835607,1923428,2047491,2159243,2269337,2379771,2455965,2411997,2448723,2010387,2053050,2694957,2848179
"33000","New Hampshire state total","1","CA4","38","...","  Employer contributions for government social insurance",61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2105633,2218939,2278081,2269490,2315183
"33000","New Hampshire state total","1","CA4","42","...","Plus: Adjustment for residence 6/",235468,221416,230757,253991,281936,324673,357649,402354,474935,567144,682666,845365,953349,1038152,1154880,1364386,1498518,1573942,1685850,1825974,1944870,1975350,2121219,2181038,2306698,2403067,2395658,2571205,2808770,2909990,3382530,4028537,4070651,3967141,3962790,4235731,4396932,4667538,4799830,4837689,4284580,4708064,5251514,5664536,5507091,5524521
