"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma state total","6","CA4","10","...","Personal income (thousands of dollars)",8439742,9303935,10137739,11121845,12610044,14034223,15692235,17268685,19196673,21786046,25286386,29132371,34025236,37993649,38869340,41684153,43419381,43625647,43450859,45332471,48329950,50948903,52474225,55898923,58123375,60728231,63398165,67140318,70867876,75390398,78356415,85672158,92129048,93531526,96553912,102194709,109855330,120480971,125613351,138461962,128545841,135151223,147813207,158595958,161685876,169227826
"40000","Oklahoma state total","6","CA4","11","...","  Nonfarm personal income 1/",8165754,8946814,9804661,10706419,11878823,13585553,15292341,16935835,19018851,21617203,24657503,28872941,33700228,37511949,38660615,41314415,43043651,42987055,42894104,44575411,47536972,50096928,51860817,55063525,57266929,59913164,63123480,66791825,70216613,74881842,77528962,84851309,91324239,92561831,95597090,100951290,108551423,119827362,124994583,137618200,128515279,134321663,146440263,156773752,159803280,166941105
"40000","Oklahoma state total","6","CA4","12","...","  Farm income 2/",273988,357121,333078,415426,731221,448670,399894,332850,177822,168843,628883,259430,325008,481700,208725,369738,375730,638592,556755,757060,792978,851975,613408,835398,856446,815067,274685,348493,651263,508556,827453,820849,804809,969695,956822,1243419,1303907,653609,618768,843762,30562,829560,1372944,1822206,1882596,2286721
"40000","Oklahoma state total","6","CA4","20","...","Population (persons) 3/",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759481,3786527,3817059,3853118,3878051
"40000","Oklahoma state total","6","CA4","30","...","Per capita personal income (dollars) 4/",3329,3625,3872,4185,4680,5136,5661,6116,6698,7479,8514,9581,10989,11850,11813,12687,13273,13412,13536,14314,15341,16180,16525,17357,17872,18509,19164,20101,21011,22140,22797,24801,26572,26807,27548,28989,30957,33522,34563,37739,34578,35949,39037,41549,41962,43637
"40000","Oklahoma state total","6","CA4","35","...","Earnings by place of work",6684889,7266026,7831044,8677349,9889343,10846001,11906503,13164812,14791925,16934213,19785534,22438824,25970214,28517901,28368156,30362887,31220797,31374304,31260594,32734413,34613859,36630929,37772456,40223361,42038362,43628130,44776563,47457745,50703821,54274813,56706433,61965642,67268623,68536573,71010879,75426539,81111689,87969763,89019989,98516444,89220552,94483982,103400543,111528691,115948070,121808813
"40000","Oklahoma state total","6","CA4","36","...","Less: Contributions for government social insurance 5/",401423,430587,483555,557780,720200,845328,927531,1054229,1197712,1418028,1688124,1970826,2450065,2747662,2738941,2968540,3108688,3161435,3181082,3498187,3730712,4066193,4324351,4549795,4797962,5058091,5275511,5473815,5733667,6032787,6218043,6599565,7047315,7253066,7471455,7992500,8470982,9118353,9591618,10040499,9850525,10039640,9688957,10287027,11924087,12220780
"40000","Oklahoma state total","6","CA4","37","...","  Employee and self-employed contributions for government social insurance",213161,228163,254796,288108,374704,439680,480058,527258,600832,707489,845163,993483,1244665,1390873,1371670,1460554,1574040,1605331,1619673,1788820,1933144,2086555,2223399,2336804,2430034,2568846,2680005,2799727,2972748,3158271,3293315,3479357,3683285,3761427,3823928,4037686,4321144,4735816,5041870,5335633,5235178,5355853,4459162,4653591,6148312,6481326
"40000","Oklahoma state total","6","CA4","38","...","  Employer contributions for government social insurance",188262,202424,228759,269672,345496,405648,447473,526971,596880,710539,842961,977343,1205400,1356789,1367271,1507986,1534648,1556104,1561409,1709367,1797568,1979638,2100952,2212991,2367928,2489245,2595506,2674088,2760919,2874516,2924728,3120208,3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4683787,5229795,5633436,5775775,5739454
"40000","Oklahoma state total","6","CA4","42","...","Plus: Adjustment for residence 6/",63064,64754,63997,73134,82897,106522,142170,177166,152632,149053,164377,172752,197759,203746,240566,288686,330728,381821,428828,478275,505083,568709,597428,618789,657078,714359,747141,780143,859448,893589,939863,1019843,1014889,701356,605106,461552,382058,317109,797017,791932,727259,706841,717728,773217,741890,793053
"40000","Oklahoma state total","6","CA4","45","...","Equals: Net earnings by place of residence",6346530,6900193,7411486,8192703,9252040,10107195,11121142,12287749,13746845,15665238,18261787,20640750,23717908,25973985,25869781,27683033,28442837,28594690,28508340,29714501,31388230,33133445,34045533,36292355,37897478,39284398,40248193,42764073,45829602,49135615,51428253,56385920,61236197,61984863,64144530,67895591,73022765,79168519,80225388,89267877,80097286,85151183,94429314,102014881,104765873,110381086
