"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania state total","2","CA4","10","...","Personal income (thousands of dollars)",45363997,48814578,51789540,56519468,61911787,68004857,74306438,81081493,88973804,98097527,108546349,118970218,131279831,140158661,146951760,158681543,168466148,177342443,187911697,203518393,220428623,233194273,242826180,256368975,266038429,275115183,287783679,302668785,317899634,335214486,349812106,374577398,387707869,395919744,409038437,430008872,447084171,477939178,503610624,525622733,516623328,532816761,560970586,584630441,588296421,609679210
"42000","Pennsylvania state total","2","CA4","11","...","  Nonfarm personal income 1/",44995984,48431373,51458622,56176944,61432900,67548486,73888472,80573433,88514621,97600773,107914950,118556278,130654896,139607221,146603346,157847857,167634460,176470653,187044895,202792988,219451622,232216714,242118003,255193860,265038771,274226656,287175066,301582942,317164921,334349475,349016946,373498040,386728451,395315045,407831670,428508838,445727762,476871421,502377136,524461691,515879655,531677077,559344531,582835405,586076299,607022425
"42000","Pennsylvania state total","2","CA4","12","...","  Farm income 2/",368013,383205,330918,342524,478887,456371,417966,508060,459183,496754,631399,413940,624935,551440,348414,833686,831688,871790,866802,725405,977001,977559,708177,1175115,999658,888527,608613,1085843,734713,865011,795160,1079358,979418,604699,1206767,1500034,1356409,1067757,1233488,1161042,743673,1139684,1626055,1795036,2220122,2656785
"42000","Pennsylvania state total","2","CA4","20","...","Population (persons) 3/",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711077,12743995,12770043,12781296,12787209
"42000","Pennsylvania state total","2","CA4","30","...","Per capita personal income (dollars) 4/",3864,4133,4358,4748,5209,5732,6245,6821,7488,8268,9142,10024,11070,11833,12414,13430,14312,15051,15910,17181,18577,19591,20266,21276,21951,22613,23592,24767,25998,27374,28524,30493,31524,32108,33055,34648,35910,38202,40084,41675,40785,41918,44018,45781,46028,47679
"42000","Pennsylvania state total","2","CA4","35","...","Earnings by place of work",38533607,40626717,42533400,46488561,51259684,55619881,59015871,64407727,70872534,78657465,86795845,92025426,98965112,101227570,105313059,114929315,121694592,128181220,138227514,150920225,161257097,170172999,174998416,186796052,194041803,201513296,208606824,217382792,228977732,242578254,256611907,273343488,284591290,291906291,301840972,319205170,331204014,348505598,359971408,370904963,363383254,373988756,390203485,403024629,413325394,428659352
"42000","Pennsylvania state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",2808608,2927585,3186387,3653555,4627117,5221801,5400222,6000335,6594781,7508284,8576034,9174588,10559221,10979573,11570469,13094861,14060444,14907990,15896180,17714604,18644742,19839386,20662218,21888879,23105320,24455796,25289772,25752041,26960467,28147510,29401994,30864614,31934185,32818784,33614426,35334681,37130992,39010549,40572741,41806173,41282397,42500221,39676333,40555763,46977719,48699964
"42000","Pennsylvania state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",1276040,1336917,1451636,1624607,2039715,2305509,2401504,2591855,2821927,3170380,3659208,3991653,4660655,4899248,5117179,5683087,6355595,6830838,7405261,8358899,8992745,9622765,10108742,10675731,11246978,11898209,12407204,12684294,13344085,14002082,14768815,15483787,16110140,16687769,17077294,18092956,18902327,20008147,21031856,21755381,21557582,22062386,18164908,18481458,24255772,25309119
"42000","Pennsylvania state total","2","CA4","38","...","  Employer contributions for government social insurance",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845
"42000","Pennsylvania state total","2","CA4","42","...","Plus: Adjustment for residence 6/",-430303,-400175,-371472,-373388,-342547,-349027,-362120,-337556,-321230,-320043,-341990,-359239,-331954,-161338,-22908,145017,280760,398979,528156,778860,971936,1039601,1052991,1227086,1341077,1654199,2169782,2436315,2876683,3278472,3565027,4065999,3961670,3664997,3888896,4804844,5917872,7237124,8492572,9418151,7756230,8417968,8365178,8834105,8680552,9120252
"42000","Pennsylvania state total","2","CA4","45","...","Equals: Net earnings by place of residence",35294696,37298957,38975541,42461618,46290020,50049053,53253529,58069836,63956523,70829138,77877821,82491599,88073937,90086659,93719682,101979471,107914908,113672209,122859490,133984481,143584291,151373214,155389189,166134259,172277560,178711699,185486834,194067066,204893948,217709216,230774940,246544873,256618775,262752504,272115442,288675333,299990894,316732173,327891239,338516941,329857087,339906503,358892330,371302971,375028227,389079640
"42000","Pennsylvania state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",6077043,6601634,7039119,7531036,8317219,9416386,10225339,10981497,12234689,13546354,15216985,18768018,23269300,27240600,28543885,31852932,34549814,36250746,37005818,39987007,45417997,47528055,47829702,48079460,49389575,50967543,54843636,58199280,61504937,65276181,64458606,70118888,69203394,67551680,68651949,70521764,70983423,81258722,90316833,91952022,83122622,81899260,90452961,101489454,99677343,103602263
"42000","Pennsylvania state total","2","CA4","47","...","Plus: Personal current transfer receipts",3992258,4913987,5774880,6526814,7304548,8539418,10827570,12030160,12782592,13722035,15451543,17710601,19936594,22831402,24688193,24849140,26001426,27419488,28046389,29546905,31426335,34293004,39607289,42155256,44371294,45435941,47453209,50402439,51500749,52229089,54578560,57913637,61885700,65615560,68271046,70811775,76109854,79948283,85402552,95153770,103643619,111010998,111625295,111838016,113590851,116997307
"42000","Pennsylvania state total","2","CA4","50","...","Wages and salaries",30357033,32144348,33503376,36396877,40020341,43492107,45533186,49339840,53549103,59060320,65035319,69778363,74897159,76486821,78815808,84930838,89666307,94611155,102111463,110242677,116804300,123198183,126114149,132610854,136841782,142194189,148313207,155293512,164911456,175755250,184861731,195893879,201372357,204950151,210536131,220406488,228659646,240671105,253472297,260291028,254506876,259820810,270031901,280135639,285130539,296487215
"42000","Pennsylvania state total","2","CA4","60","...","Supplements to wages and salaries",3990007,4279237,4702062,5432185,6131790,6840265,7843754,8576908,9924613,11263290,12842241,14014145,15502319,16264383,17307476,18878972,20338573,21786917,23364341,25166475,27456248,29254993,31104466,34620903,36411157,37687087,37584651,38069268,38919707,40271840,43121273,46591860,49859235,51771627,54532102,58367475,61700087,64810149,66347205,67708491,67291235,70431932,73455054,72865156,76078232,76561196
"42000","Pennsylvania state total","2","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",2457439,2688569,2967311,3403237,3544388,3923973,4845036,5168428,6151759,6925386,7925415,8831210,9603753,10184058,10854186,11467198,12633724,13709765,14873422,15810770,17804251,19038372,20550990,23407755,24552815,25129500,24702083,25001521,25303325,26126412,28488094,31211033,34035190,35640612,37994970,41125750,43471422,45807747,46806320,47657699,47566420,49994097,51943629,50790851,53356285,53170351
"42000","Pennsylvania state total","2","CA4","62","...","  Employer contributions for government social insurance",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845
