"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"47000","Tennessee state total","5","CA4","10","...","Personal income (thousands of dollars)",11816751,12843600,14182933,15960357,18114084,20047468,21881351,24475271,27121191,30914798,34460508,38000362,42287567,44963374,48000072,53410068,57236417,61284468,66008117,71769376,77069823,81934674,86089981,94249674,100336091,106695942,114573451,121011953,128174369,141011492,147279190,156871662,161865574,165838781,172239450,182791172,189888868,201366539,211376152,220580209,217353953,226301735,238810140,252635759,255422103,264965180
"47000","Tennessee state total","5","CA4","11","...","  Nonfarm personal income 1/",11562687,12575864,13918219,15636297,17623986,19732299,21634901,24108638,26826619,30600953,34124278,37808862,41933090,44666980,48038477,53003738,56906920,61048439,65709163,71386412,76633520,81498730,85586415,93593751,99751332,106048441,114141331,120625891,127800159,140813406,147229931,156551237,161412780,165759287,172049388,182420617,189357462,201110394,211537214,220378265,217045143,226136779,238329285,252134970,254234387,264229310
"47000","Tennessee state total","5","CA4","12","...","  Farm income 2/",254064,267736,264714,324060,490098,315169,246450,366633,294572,313845,336230,191500,354477,296394,-38405,406330,329497,236029,298954,382964,436303,435944,503566,655923,584759,647501,432120,386062,374210,198086,49259,320425,452794,79494,190062,370555,531406,256145,-161062,201944,308810,164956,480855,500789,1187716,735870
"47000","Tennessee state total","5","CA4","20","...","Population (persons) 3/",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356628,6398389,6455177,6497269,6549352
"47000","Tennessee state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3032,3262,3537,3904,4377,4771,5135,5654,6161,6929,7602,8260,9138,9678,10301,11396,12138,12933,13801,14882,15876,16740,17334,18664,19530,20395,21508,22341,23308,25316,26119,27503,28147,28613,29454,30925,31695,33072,34227,35307,34468,35601,37323,39137,39312,40457
"47000","Tennessee state total","5","CA4","35","...","Earnings by place of work",10255309,10899174,11963376,13583681,15443930,16770345,17606956,19910278,22286275,25622587,28391937,30280910,33093597,34248700,36644254,41097805,44211892,47591506,51888323,56438448,59912551,63352486,66390618,72955781,77998364,83436797,88840121,93570570,99905071,111114083,117079111,124146908,127419768,131693990,136504350,145236698,149585448,157323974,161261431,164438906,159874737,163677806,171602035,182993237,187099018,194639570
"47000","Tennessee state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",659469,695644,789480,938033,1211394,1384092,1430974,1640450,1847276,2151910,2481583,2668465,3135502,3331308,3652120,4190326,4589484,5066132,5474066,6108061,6568783,7002062,7455393,8066921,8654092,9401251,10015290,10377117,11007811,11708155,12361335,12928151,13336813,13950077,14455288,15247978,15886243,16752329,17528039,17989116,17643683,18093457,16809755,17312782,19999505,20794819
"47000","Tennessee state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",329880,349040,394705,461436,592503,679337,703637,783291,880793,1009829,1174034,1282126,1521280,1632529,1767609,1984475,2246580,2499828,2735597,3077057,3373524,3596009,3856476,4147677,4454778,4853546,5214405,5404716,5740175,6106961,6479157,6769875,7040087,7377374,7618002,8087809,8559434,9161999,9644329,9865475,9582149,9775954,8133016,8377269,11001665,11657644
"47000","Tennessee state total","5","CA4","38","...","  Employer contributions for government social insurance",329589,346604,394775,476597,618891,704755,727337,857159,966483,1142081,1307549,1386339,1614222,1698779,1884511,2205851,2342904,2566304,2738469,3031004,3195259,3406053,3598917,3919244,4199314,4547705,4800885,4972401,5267636,5601194,5882178,6158276,6296726,6572703,6837286,7160169,7326809,7590330,7883710,8123641,8061534,8317503,8676739,8935513,8997840,9137175
"47000","Tennessee state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-146011,-146682,-156523,-183832,-167035,-177058,-180791,-173642,-230735,-294554,-344974,-412465,-447242,-404772,-417595,-443606,-468747,-504899,-534095,-546178,-571214,-629016,-622235,-483011,-596092,-687442,-767861,-785410,-1031450,-1175930,-1360242,-1551335,-1641671,-1942149,-2015635,-1786298,-1725028,-1763307,-1284686,-1309808,-957635,-765111,-804241,-1195355,-1328960,-1268482
