"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"48000","Texas state total","6","CA4","10","...","Personal income (thousands of dollars)",38443529,42337671,45936073,50972265,57886017,65270692,74303077,83693554,93346447,107770121,124188134,142639001,167739363,184332493,196082087,214972612,231268930,236746076,241509519,256262447,274061924,296204968,309983300,335301604,354794103,375106640,401483332,431653384,470314809,514023760,543695367,594097365,633552727,636107528,661144021,695946540,759204486,830522563,881582784,969740300,918587462,966447597,1057983140,1135225582,1161133804,1231084591
"48000","Texas state total","6","CA4","11","...","  Nonfarm personal income 1/",37529414,41182908,44935414,49730711,55761635,64138104,73016113,82435618,92103556,106778253,122487191,142057472,165815032,183004730,194365261,213373121,229798110,235498664,239459860,253982870,271857722,293200398,307254602,331966295,350843559,371703007,398747634,429282544,467296606,511223862,539460439,590789018,629601316,632165263,656086647,690639992,754247197,827342277,877933179,968023836,917555415,963194218,1054724432,1131924828,1156530493,1225852672
"48000","Texas state total","6","CA4","12","...","  Farm income 2/",914115,1154763,1000659,1241554,2124382,1132588,1286964,1257936,1242891,991868,1700943,581529,1924331,1327763,1716826,1599491,1470820,1247412,2049659,2279577,2204202,3004570,2728698,3335309,3950544,3403633,2735698,2370840,3018203,2799898,4234928,3308347,3951411,3942265,5057374,5306548,4957289,3180286,3649605,1716464,1032047,3253379,3258708,3300754,4603311,5231919
"48000","Texas state total","6","CA4","20","...","Population (persons) 3/",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25245717,25657477,26094422,26505637,26956958
"48000","Texas state total","6","CA4","30","...","Per capita personal income (dollars) 4/",3481,3768,3991,4335,4816,5320,5912,6486,7076,7984,8943,9948,11375,12023,12448,13430,14212,14295,14530,15375,16307,17366,17817,18880,19535,20206,21177,22319,23825,25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669
"48000","Texas state total","6","CA4","35","...","Earnings by place of work",32418778,35075807,37748133,41992564,47834741,53346787,60244554,68856844,77683489,90027708,104072730,117885999,137913265,148516730,155552484,170022596,181766007,184516150,188532633,200996431,213179242,231206587,242930987,262345031,279272367,294781192,313294660,337769187,372576481,412554378,442547997,484094152,519607158,519790452,536041762,565987731,603947992,661123107,691187412,743680794,699666625,735007182,794367874,851910214,889031389,949050905
"48000","Texas state total","6","CA4","36","...","Less: Contributions for government social insurance 5/",2012043,2149000,2399309,2782640,3608255,4248908,4720816,5513395,6290150,7500891,9046503,10466423,13077673,14469860,15034877,16887368,18294520,18420100,18487094,20384775,21806091,23239484,25080798,26705205,28325493,30353046,32364691,34406375,37474256,40837125,43356875,46647203,49028237,49563315,51813921,54508201,58043801,62130526,66495255,69850311,69367315,72072436,67872069,71924610,85246142,90649905
"48000","Texas state total","6","CA4","37","...","  Employee and self-employed contributions for government social insurance",1017402,1086601,1206157,1372398,1789465,2111097,2338673,2649839,3012638,3559702,4330074,5082598,6410432,7108699,7316452,8044937,9007138,9159931,9261661,10269548,11183368,11930149,12941824,13757072,14616384,15724677,16872382,17911343,19504289,21226764,22605881,24282711,25549897,25932654,26378428,27858117,29877682,32395211,34884847,37152562,36874534,37803333,31407115,33129319,44847684,48105860
"48000","Texas state total","6","CA4","38","...","  Employer contributions for government social insurance",994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610408,32697749,32492781,34269103,36464954,38795291,40398458,42544045
"48000","Texas state total","6","CA4","42","...","Plus: Adjustment for residence 6/",-87244,-99504,-103088,-127961,-155278,-132503,-130753,-94911,-308841,-430271,-436851,-541531,-337105,-408854,-391584,-450123,-479096,-439684,-436228,-442023,-452474,-492105,-571527,-594718,-616038,-682379,-764381,-835574,-976489,-1073091,-1097876,-1195954,-1352341,-2644408,-2817134,-3113703,-552317,-974784,-468315,-1182873,-1234382,-1256933,-1407833,-1605970,-1589561,-1548295
"48000","Texas state total","6","CA4","45","...","Equals: Net earnings by place of residence",30319491,32827303,35245736,39081963,44071208,48965376,55392985,63248538,71084498,82096546,94589376,106878045,124498487,133638016,140126023,152685105,162992391,165656366,169609311,180169633,190920677,207474998,217278662,235045108,250330836,263745767,280165588,302527238,334125736,370644162,398093246,436250995,469226580,467582729,481410707,508365827,545351874,598017797,624223842,672647610,629064928,661677813,725087972,778379634,802195686,856852705
"48000","Texas state total","6","CA4","46","...","Plus: Dividends, interest, and rent 7/",5480017,6370963,7023766,7773946,8864657,10401040,11529643,12372018,13674208,16114001,18695872,22990632,28735688,34181011,37315710,42469304,47100206,47872426,47488010,50423968,54892992,57116685,57564926,58700727,59995109,63553272,69366026,73554943,78023509,83984020,84467574,93059297,93365601,90499782,96009143,99398687,116423808,128318017,142897245,166801072,146723748,146273954,168593981,192917632,189093673,196116869
"48000","Texas state total","6","CA4","47","...","Plus: Personal current transfer receipts",2644021,3139405,3666571,4116356,4950152,5904276,7380449,8072998,8587741,9559574,10902886,12770324,14505188,16513466,18640354,19818203,21176333,23217284,24412198,25668846,28248255,31613285,35139712,41555769,44468158,47807601,51951718,55571203,58165564,59395578,61134547,64787073,70960546,78025017,83724171,88182026,97428804,104186749,114461697,130291618,142798786,158495830,164301187,163928316,169844445,178115017
