"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","CA4","10","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14064468000,14683147000
"00000","United States","","CA4","11","...","  Nonfarm personal income 1/",773875000,837579000,906005000,993776000,1096593000,1212638000,1331211000,1466727000,1622950000,1823970000,2039103000,2286759000,2557367000,2743347000,2940897000,3236895000,3470197000,3679345000,3901839000,4222146000,4558559000,4843753000,5014261000,5352437000,5593284000,5880428000,6237140000,6607486000,7024981000,7540830000,7939896000,8583513000,8934201000,9108865000,9426402000,9973232000,10539711000,11327515000,11930468000,12423800000,12023787000,12394312000,13140913000,13812007000,13938652000,14572880000
"00000","United States","","CA4","12","...","  Farm income 2/",17275000,17499000,17959000,21750000,34620000,29795000,28787000,24779000,24018000,27897000,29703000,20246000,26973000,24310000,17004000,31640000,31730000,32898000,39020000,38607000,45410000,46700000,41505000,49672000,46496000,49888000,38621000,54211000,50151000,47873000,48287000,51334000,53689000,41896000,57823000,74644000,70609000,53835000,64951000,68905000,55657000,65301000,92523000,92478000,125816000,110267000
"00000","United States","","CA4","20","...","Population (persons) 3/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056
"00000","United States","","CA4","30","...","Per capita personal income (dollars) 4/",3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42453,44266,44438,46049
"00000","United States","","CA4","35","...","Earnings by place of work",655222000,695122000,744129000,821953000,921321000,996515000,1062436000,1176158000,1306927000,1479559000,1652190000,1788607000,1963955000,2055057000,2189442000,2433929000,2617433000,2788677000,2997904000,3262349000,3470801000,3683053000,3792707000,4064120000,4243356000,4463755000,4682699000,4964951000,5297835000,5717821000,6109679000,6611246000,6878555000,7008956000,7257073000,7695924000,8061341000,8542791000,8872134000,9094454000,8743722000,8975826000,9391240000,9840233000,10120029000,10584038000
"00000","United States","","CA4","36","...","Less: Contributions for government social insurance 5/",43791000,46012000,50859000,58897000,75183000,84872000,88974000,100987000,112699000,130827000,152273000,165670000,195066000,208173000,225143000,256550000,280379000,302389000,322006000,360285000,384001000,408676000,428555000,453768000,476331000,507188000,531874000,554150000,586295000,623685000,660310000,704849000,732117000,750341000,777980000,827766000,871944000,921187000,959996000,986781000,962864000,982431000,916209000,950002000,1105003000,1157138000
"00000","United States","","CA4","37","...","  Employee and self-employed contributions for government social insurance",21204000,22345000,24570000,27892000,35555000,40331000,42417000,46761000,51791000,59514000,69923000,76989000,91774000,98766000,105664000,117980000,133139000,145042000,156297000,176231000,190905000,202921000,214228000,225945000,237197000,253543000,268215000,279807000,297173000,316929000,337457000,360123000,374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423234000,436571000,578452000,610864000
"00000","United States","","CA4","38","...","  Employer contributions for government social insurance",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365468000,381881000,407985000,427354000,446660000,460970000,470590000,457349000,468536000,492975000,513431000,526551000,546274000
"00000","United States","","CA4","42","...","Plus: Adjustment for residence 6/",-107000,-112000,-122000,-145000,-153000,-163000,-199000,-211000,-235000,-257000,-231000,-255000,-208000,-255000,-212000,-254000,-257000,228000,259000,226000,236000,313000,367000,478000,493000,533000,703000,675000,672000,755000,2515000,2587000,2692000,2656000,2678000,2659000,2613000,2617000,2597000,2649000,3019000,3067000,3200000,3410000,3759000,3820000
