"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"51000","Virginia state total","5","CA4","10","...","Personal income (thousands of dollars)",17870733,19388149,21429018,23779311,26598871,29484465,32413393,35757182,39623172,44964233,50089196,56563481,63482516,68641647,74262375,82639957,89530895,96590314,104293767,114134538,123358111,129544409,135044850,143870747,151326509,159147104,166955610,175267502,186787562,199551785,213357356,230690146,242665602,248876516,263332061,282227101,303358956,325257319,344318364,357348367,352367681,364452113,386767312,404103401,404886361,419184911
"51000","Virginia state total","5","CA4","11","...","  Nonfarm personal income 1/",17660399,19177257,21238442,23528145,26247954,29173086,32152827,35526654,39460730,44680827,49940131,56501731,63218960,68526254,74223588,82318826,89307308,96319743,103930037,113619203,122723490,128866332,134431775,143212052,150793440,158513526,166400177,174706468,186370960,199141483,213042064,230131960,242187918,248513561,263062085,281698181,302785763,324986186,344101008,357074802,352122654,364209122,386254139,403535700,404114846,418491707
"51000","Virginia state total","5","CA4","12","...","  Farm income 2/",210334,210892,190576,251166,350917,311379,260566,230528,162442,283406,149065,61750,263556,115393,38787,321131,223587,270571,363730,515335,634621,678077,613075,658695,533069,633578,555433,561034,416602,410302,315292,558186,477684,362955,269976,528920,573193,271133,217356,273565,245027,242991,513173,567701,771515,693204
"51000","Virginia state total","5","CA4","20","...","Population (persons) 3/",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025376,8110188,8193422,8270345,8326289
"51000","Virginia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3873,4161,4509,4925,5421,5923,6410,6967,7611,8509,9407,10537,11661,12497,13345,14642,15666,16620,17581,18906,20156,20838,21432,22430,23247,24138,25028,25962,27351,28917,30479,32465,33711,34154,35745,37753,40036,42386,44422,45618,44458,45412,47689,49320,48956,50345
"51000","Virginia state total","5","CA4","35","...","Earnings by place of work",13914964,14918039,16395038,18286307,20535160,22536505,24165501,26790595,29699626,33549167,37187239,40932114,45464123,48677691,53111116,59550843,65092067,70956421,77787325,85346981,91306089,95180857,98597791,104907004,109852241,115459607,120450105,126984989,135947775,147319200,158784013,174075094,183317847,188362472,198589898,214789449,228876918,240325170,250511735,256908327,256459664,264070143,272815050,282090541,286127063,293622194
"51000","Virginia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",799195,869334,998864,1166417,1483483,1700629,1821518,2071376,2302362,2623688,3053517,3380304,4012663,4368940,4945443,5702218,6436234,7279121,7980665,9001533,9745892,10316847,10808125,11443548,12026553,12719410,13263806,13951624,14948277,16046594,17283122,18642532,19663981,20311281,21344001,23263531,24884191,26492975,27639303,28544847,28617291,29685212,27328930,28207859,32571966,33348700
"51000","Virginia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",399804,430167,486170,563642,727458,833712,882150,980230,1087342,1241396,1460131,1637369,1965610,2163126,2421469,2749775,3193745,3625050,4002665,4532597,4959104,5221484,5489507,5782177,6104023,6514979,6853455,7204350,7731647,8295701,8977063,9663816,10200996,10580959,11045710,11952554,12819878,13707190,14423379,14928832,14932684,15341323,12331196,12679459,16829154,17383744
"51000","Virginia state total","5","CA4","38","...","  Employer contributions for government social insurance",399391,439167,512694,602775,756025,866917,939368,1091146,1215020,1382292,1593386,1742935,2047053,2205814,2523974,2952443,3242489,3654071,3978000,4468936,4786788,5095363,5318618,5661371,5922530,6204431,6410351,6747274,7216630,7750893,8306059,8978716,9462985,9730322,10298291,11310977,12064313,12785785,13215924,13616015,13684607,14343889,14997734,15528400,15742812,15964956
"51000","Virginia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",998500,904650,942760,998806,1076159,1183812,1450506,1676613,1899782,2261577,2645724,3197116,3333632,3373951,3357248,3560086,3683984,3807320,3916900,4309706,4545289,5179702,5612648,6017499,6331873,6256090,6366136,5915923,6476516,6206210,7917205,6055617,6299862,6213552,6707446,8124092,9745280,11370625,13014010,13883770,13037643,14581344,16892226,16982381,16749129,19053726
"51000","Virginia state total","5","CA4","45","...","Equals: Net earnings by place of residence",14114269,14953355,16338934,18118696,20127836,22019688,23794489,26395832,29297046,33187056,36779446,40748926,44785092,47682702,51522921,57408711,62339817,67484620,73723560,80655154,86105486,90043712,93402314,99480955,104157561,108996287,113552435,118949288,127476014,137478816,149418096,161488179,169953728,174264743,183953343,199650010,213738007,225202820,235886442,242247250,240880016,248966275,262378346,270865063,270304226,279327220
"51000","Virginia state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",2777702,3255265,3676776,4038751,4533477,5163278,5671282,6132422,6863674,7953548,8922137,10590241,12668797,14372735,15619123,17699936,19143451,20574457,21710411,24005596,26876360,28238129,29200692,30396332,32369292,34478012,36428626,38378630,40747957,42859609,43690110,47511953,48580471,49033847,51936067,53596621,58157508,65644211,71783780,72866607,66213595,66083740,73093320,81411369,80825032,84058581
