"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont state total","1","CA4","10","...","Personal income (thousands of dollars)",1503562,1649486,1785668,1969923,2160343,2336657,2553979,2839324,3080373,3531717,3976039,4469318,5035413,5446636,5815938,6418440,6937305,7479849,8136635,8896581,9842411,10205317,10386332,11117833,11538472,12122967,12782449,13467271,14192206,15243736,16144857,17408180,18346953,18811949,19634905,20861783,21336918,22796077,23979255,25035599,24535499,25073118,26771396,27729733,28107555,29090044
"50000","Vermont state total","1","CA4","11","...","  Nonfarm personal income 1/",1446498,1587807,1725132,1902284,2089075,2278544,2493894,2762830,3015567,3438339,3872181,4362343,4913321,5325026,5734147,6336076,6837990,7381834,8014285,8777241,9721886,10092911,10284751,10943892,11413642,11997148,12685627,13323717,14085909,15110742,16001443,17260922,18201939,18701811,19491251,20673306,21139314,22682311,23766032,24894730,24485581,24954046,26570457,27553054,27870604,28788307
"50000","Vermont state total","1","CA4","12","...","  Farm income 2/",57064,61679,60536,67639,71268,58113,60085,76494,64806,93378,103858,106975,122092,121610,81791,82364,99315,98015,122350,119340,120525,112406,101581,173941,124830,125819,96822,143554,106297,132994,143414,147258,145014,110138,143654,188477,197604,113766,213223,140869,49918,119072,200939,176679,236951,301737
"50000","Vermont state total","1","CA4","20","...","Population (persons) 3/",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625792,626450,626138,626855,626562
"50000","Vermont state total","1","CA4","30","...","Per capita personal income (dollars) 4/",3441,3696,3930,4253,4611,4939,5322,5853,6259,7088,7862,8720,9766,10492,11114,12187,13088,14005,15060,16183,17648,18069,18266,19411,19971,20764,21702,22684,23763,25389,26700,28556,29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428
"50000","Vermont state total","1","CA4","35","...","Earnings by place of work",1229010,1322362,1401522,1537657,1693419,1786864,1886927,2124507,2313569,2712856,3043403,3304575,3630527,3823969,4123996,4555422,5008187,5454700,6050831,6629630,7173682,7427410,7509232,8073129,8421979,8791495,9087391,9597226,10075709,10800869,11560961,12494537,13174899,13641264,14235306,15093412,15623333,16096049,16573850,16995743,16587083,17047650,17955200,18497338,18998987,19608483
"50000","Vermont state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",83266,89336,97585,111002,140761,155100,162293,183968,203439,244031,283530,309047,364405,392084,430405,489498,548385,601835,655575,742075,798111,869903,890395,937309,986445,1043228,1099916,1144017,1197157,1266186,1343310,1434683,1522650,1553544,1621840,1709998,1796115,1884118,1991077,2053812,2031973,2056464,1929118,2002016,2313661,2408790
"50000","Vermont state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",41401,44946,49052,54154,68473,75918,79809,87838,96397,114812,133828,148028,175623,191013,206718,229941,266762,295317,327754,374201,410863,447375,461969,483650,505367,535268,573119,595287,625234,659362,703732,749029,800736,825696,863410,915009,967267,1021407,1086465,1110290,1094798,1102806,911084,926525,1208873,1266981
"50000","Vermont state total","1","CA4","38","...","  Employer contributions for government social insurance",41865,44390,48533,56848,72288,79182,82484,96130,107042,129219,149702,161019,188782,201071,223687,259557,281623,306518,327821,367874,387248,422528,428426,453659,481078,507960,526797,548730,571923,606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,953658,1018034,1075491,1104788,1141809
"50000","Vermont state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-26784,-26467,-24240,-21104,-19816,-16807,-11026,-5570,-1971,-1436,5586,14150,17427,22928,21652,27427,29173,32921,40709,45881,49550,50275,57727,66290,76115,91362,104423,120350,144763,172708,194009,225288,244596,239817,237502,264222,271143,292967,310533,301923,336541,346152,297614,312925,318337,343364
"50000","Vermont state total","1","CA4","45","...","Equals: Net earnings by place of residence",1118960,1206559,1279697,1405551,1532842,1614957,1713608,1934969,2108159,2467389,2765459,3009678,3283549,3454813,3715243,4093351,4488975,4885786,5435965,5933436,6425121,6607782,6676564,7202110,7511649,7839629,8091898,8573559,9023315,9707391,10411660,11285142,11896845,12327537,12850968,13647636,14098361,14504898,14893306,15243854,14891651,15337338,16323696,16808247,17003663,17543057
"50000","Vermont state total","1","CA4","46","...","Plus: Dividends, interest, and rent 7/",240434,271373,301107,334119,365262,406517,439160,472090,529936,596883,680224,831087,1026974,1185058,1236402,1435231,1519747,1637401,1729439,1937773,2295841,2346808,2331249,2356200,2398320,2558607,2820832,2961668,3135043,3419264,3469232,3685828,3777590,3629926,3794672,4091587,3835227,4506845,4906911,5128888,4584002,4389082,5047474,5389665,5319057,5516912
"50000","Vermont state total","1","CA4","47","...","Plus: Personal current transfer receipts",144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672518,2854486,2989265,3122560,3403330,3784334,4179038,4662857,5059846,5346698,5400226,5531821,5784835,6030075
"50000","Vermont state total","1","CA4","50","...","Wages and salaries",939792,1017751,1071743,1162261,1282100,1359327,1420871,1565047,1711951,1980335,2219249,2425788,2679714,2847414,3066049,3353221,3675546,4014762,4398827,4839687,5199011,5390795,5422646,5720912,5978684,6219945,6530325,6873414,7258523,7750545,8247312,8892966,9346529,9562295,9875081,10383822,10723977,11224891,11663959,12066713,11812026,12032882,12383122,12799748,13203795,13652827
"50000","Vermont state total","1","CA4","60","...","Supplements to wages and salaries",101880,113090,125248,144157,165455,184170,215311,244780,283433,336124,386238,429404,492848,537201,600913,665646,740351,827695,895763,989603,1088063,1170146,1214859,1340890,1442820,1513516,1550768,1580269,1629930,1726626,1889517,2051829,2193994,2353799,2554783,2753839,2921250,2872010,3040002,3182400,3045300,3091427,3431220,3483527,3608348,3587207
"50000","Vermont state total","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",60015,68700,76715,87309,93167,104988,132827,148650,176391,206905,236536,268385,304066,336130,377226,406089,458728,521177,567942,621729,700815,747618,786433,887231,961742,1005556,1023971,1031539,1058007,1119802,1249939,1366175,1472080,1625951,1796353,1958850,2092402,2009299,2135390,2238878,2108125,2137769,2413186,2408036,2503560,2445398
"50000","Vermont state total","1","CA4","62","...","  Employer contributions for government social insurance",41865,44390,48533,56848,72288,79182,82484,96130,107042,129219,149702,161019,188782,201071,223687,259557,281623,306518,327821,367874,387248,422528,428426,453659,481078,507960,526797,548730,571923,606824,639578,685654,721914,727848,758430,794989,828848,862711,904612,943522,937175,953658,1018034,1075491,1104788,1141809
"50000","Vermont state total","1","CA4","70","...","Proprietors' income 9/",187338,191521,204531,231239,245864,243367,250745,314680,318185,396397,437916,449383,457965,439354,457034,536555,592290,612243,756241,800340,886608,866469,871727,1011327,1000475,1058034,1006298,1143543,1187256,1323698,1424132,1549742,1634376,1725170,1805442,1955751,1978106,1999148,1869889,1746630,1729757,1923341,2140858,2214063,2186844,2368449
"50000","Vermont state total","1","CA4","71","...","  Farm proprietors' income",42899,46427,46203,54243,55598,41918,42646,58170,43016,66020,73568,74985,90834,88766,50593,51819,69164,70243,95249,88789,87664,73642,63489,137076,83733,85349,50815,95981,56334,80835,93161,87413,80871,27907,69324,116080,139322,48859,135210,69200,-18417,54576,144375,88685,145818,199903
"50000","Vermont state total","1","CA4","72","...","  Nonfarm proprietors' income",144439,145094,158328,176996,190266,201449,208099,256510,275169,330377,364348,374398,367131,350588,406441,484736,523126,542000,660992,711551,798944,792827,808238,874251,916742,972685,955483,1047562,1130922,1242863,1330971,1462329,1553505,1697263,1736118,1839671,1838784,1950289,1734679,1677430,1748174,1868765,1996483,2125378,2041026,2168546
"50000","Vermont state total","1","CA4","7010","...","Total employment",202578,205015,205729,211203,219986,222240,220329,228487,236484,251752,260666,265618,269992,271070,277388,288739,300062,311372,320497,334186,341223,340784,334190,341722,349250,358528,361825,367074,372613,381478,389909,400602,403547,404925,405463,412588,417168,420815,425178,424691,415016,413201,417035,421603,424748,430051
"50000","Vermont state total","1","CA4","7020","...","  Wage and salary employment",171127,173749,172936,177055,184615,185992,183706,189112,194879,208020,214708,216215,219186,218241,221844,230738,237592,246457,256886,267167,273284,269239,261097,264004,270620,277781,283975,288170,292547,298828,307020,315017,316433,316297,315009,318658,319979,322246,322039,321107,310971,310614,313625,318425,320248,323871
"50000","Vermont state total","1","CA4","7040","...","  Proprietors employment",31451,31266,32793,34148,35371,36248,36623,39375,41605,43732,45958,49403,50806,52829,55544,58001,62470,64915,63611,67019,67939,71545,73093,77718,78630,80747,77850,78904,80066,82650,82889,85585,87114,88628,90454,93930,97189,98569,103139,103584,104045,102587,103410,103178,104500,106180
"50001","Addison, VT","1","CA4","10","...","Personal income (thousands of dollars)",73816,83193,90520,100644,109829,116910,126601,141287,150490,174885,200322,229084,259333,281743,295179,328405,359253,397698,438776,465689,514938,543838,552038,590019,603678,634287,665658,716908,749661,823514,878886,948157,1001191,1027639,1101143,1150672,1158548,1244010,1322104,1382664,1339469,1367768,1451810,1518469,1558655,1628994
