"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"53000","Washington state total","8","CA4","10","...","Personal income (thousands of dollars)",14189188,14963601,15755947,16989715,19127287,21698528,24547939,27219877,30214671,35172996,40388261,45791768,51106487,54139646,57662556,61887083,65734074,70366088,74684332,81318656,89962254,98856108,105798375,114253674,120065517,126288890,133508969,143601196,154903989,169810204,181571972,194350796,198969613,203533310,211586552,227292539,236240040,256127539,277550637,291759984,281686722,288694995,305628042,326496701,331031362,350321729
"53000","Washington state total","8","CA4","11","...","  Nonfarm personal income 1/",13795987,14622041,15369745,16488697,18378381,20816389,23654822,26483075,29628371,34437913,39668665,44949776,50263126,53390023,56615183,60884435,65003409,69327168,73624449,80327956,88845520,97698880,104578580,112780427,118392208,124926960,132122054,141739967,153435155,168162193,180182814,192727303,197508788,201985730,209522727,225255660,234476921,254423329,275470078,289688654,279711325,286303519,302519104,323226567,327724596,347326064
"53000","Washington state total","8","CA4","12","...","  Farm income 2/",393201,341560,386202,501018,748906,882139,893117,736802,586300,735083,719596,841992,843361,749623,1047373,1002648,730665,1038920,1059883,990700,1116734,1157228,1219795,1473247,1673309,1361930,1386915,1861229,1468834,1648011,1389158,1623493,1460825,1547580,2063825,2036879,1763119,1704210,2080559,2071330,1975397,2391476,3108938,3270134,3306766,2995665
"53000","Washington state total","8","CA4","20","...","Population (persons) 3/",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741911,6822112,6896325,6973742,7061530
"53000","Washington state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29432,31077,32882,33241,33629,34663,36787,37754,40204,42954,44460,42248,42821,44800,47344,47468,49610
"53000","Washington state total","8","CA4","35","...","Earnings by place of work",11709158,11860178,12287376,13357674,15196639,17106761,19066251,21369078,23959236,28233187,32582133,35915320,39207389,40444957,42712567,45622251,48366565,52247486,55930623,61452990,67196049,74671557,80120498,87505891,91424690,95384881,99542785,106702613,115813679,128861741,140023577,149170739,151666134,154631018,159873653,168502552,177221936,189678828,201790410,207759978,201684155,206876997,216162651,228624034,236311242,249711353
"53000","Washington state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16246199,17002548,18407665,18148607,18548365,19317401,20546648,21862179,23188776,24430835,25013166,24789343,25438011,23958010,24780521,28971574,30319628
"53000","Washington state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7369567,7848154,8401194,8318550,8580981,8832812,9297507,9953945,10821667,11590001,12065669,11882741,11983275,9814994,10237667,13804501,14577704
"53000","Washington state total","8","CA4","38","...","  Employer contributions for government social insurance",533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13454736,14143016,14542854,15167073,15741924
"53000","Washington state total","8","CA4","42","...","Plus: Adjustment for residence 6/",82860,62135,60548,71141,87482,130476,200356,248923,232087,272631,328677,395345,432237,468421,494561,544472,572180,616581,672367,756214,846762,925390,997688,1108873,1203709,1259281,1417535,1638757,1796912,1905810,1971737,2296989,2409621,2493068,2473253,2918770,3140915,3175085,3550226,3457895,3252695,3074234,3332341,3379082,3391187,3353062
"53000","Washington state total","8","CA4","45","...","Equals: Net earnings by place of residence",10883191,11010954,11369209,12314031,13849193,15581232,17429453,19481065,21734490,25532749,29349511,32412466,35054570,36101132,38093141,40519568,42851984,46279258,49578257,54279884,59373378,65774232,70480690,77034507,80549316,83840482,87556689,94327066,102800411,114521352,124992766,133060063,135927148,138575721,143029505,150874674,158500672,169665137,180909801,186204707,180147507,184513220,195536982,207222595,210730855,222744787
"53000","Washington state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",2229055,2517596,2715741,2891226,3267118,3765573,4211228,4576838,5170504,6052704,7023640,8462804,10340238,11613130,12550852,13989525,14947472,15671191,16243784,17384516,19992590,21435930,22125528,22667322,23938561,26052064,28431208,30914602,33059135,35495109,35593467,38875833,37847654,38232832,40597389,48014540,47747312,54217765,61715345,65290618,56148917,54040061,60091970,69147572,69347533,72149490
"53000","Washington state total","8","CA4","47","...","Plus: Personal current transfer receipts",1076942,1435051,1670997,1784458,2010976,2351723,2907258,3161974,3309677,3587543,4015110,4916498,5711679,6425384,7018563,7377990,7934618,8415639,8862291,9654256,10596286,11645946,13192157,14551845,15577640,16396344,17521072,18359528,19044443,19793743,20985739,22414900,25194811,26724757,27959658,28403325,29992056,32244637,34925491,40264659,45390298,50141714,49999090,50126534,50952974,55427452
"53000","Washington state total","8","CA4","50","...","Wages and salaries",9015425,9177709,9395778,10049394,11276445,12614502,14022855,15773673,17809240,20890368,24323855,26948640,29709306,30719740,31689519,33487073,35569396,38104891,40853958,44376327,48532368,53781835,57338835,62165464,64059983,67208547,71124687,76726723,84753565,93722306,103080733,109279037,109689454,110416725,113070544,118020292,124542645,134850708,145238170,150162581,146352093,147985400,154979490,164187779,170597978,181978361
"53000","Washington state total","8","CA4","60","...","Supplements to wages and salaries",1264026,1315697,1428946,1603316,1861105,2139396,2521136,2866870,3355579,3957408,4655880,5184441,5908759,6332875,6909024,7580370,8192639,8843788,9357154,10294612,11533528,12976228,14152587,15856554,16849668,17436529,17952424,18464100,19331975,21146580,22107825,23790140,24631238,25330749,27171138,29671688,31516334,32333466,35092188,37230888,36452964,38545044,38685136,40183475,40610723,41753707
