"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"55000","Wisconsin state total","3","CA4","10","...","Personal income (thousands of dollars)",16412939,17608648,18906602,20672925,23063852,25336188,27780259,30473081,34051662,38047473,42628337,47052952,51320993,54102808,56952258,62644454,66041717,69705474,73574026,78143063,85276226,90143238,93632279,101190913,106442538,113017540,118778601,125662960,133284392,142484680,148286535,157900833,164764680,169128407,174812203,183894824,190293393,202289270,211378404,219886069,217246585,220826360,233131994,243096269,245437590,254404802
"55000","Wisconsin state total","3","CA4","11","...","  Nonfarm personal income 1/",15777609,16972015,18216590,19946668,22152047,24535064,26920361,29719503,32916582,36929388,41231481,45616952,50158541,53093623,56492840,61656259,65025833,68412544,72171322,77305795,83556922,88772655,92643320,99946665,105520930,111830920,118008971,124327841,132319062,141145077,146995005,157048802,163616675,168069386,173280014,182047169,188665112,200971422,209341635,218281868,216540049,219394365,230299809,240447427,242068786,250904262
"55000","Wisconsin state total","3","CA4","12","...","  Farm income 2/",635330,636633,690012,726257,911805,801124,859898,753578,1135080,1118085,1396856,1436000,1162452,1009185,459418,988195,1015884,1292930,1402704,837268,1719304,1370583,988959,1244248,921608,1186620,769630,1335119,965330,1339603,1291530,852031,1148005,1059021,1532189,1847655,1628281,1317848,2036769,1604201,706536,1431995,2832185,2648842,3368804,3500540
"55000","Wisconsin state total","3","CA4","20","...","Population (persons) 3/",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5689268,5708785,5724888,5742953,5757564
"55000","Wisconsin state total","3","CA4","30","...","Per capita personal income (dollars) 4/",3749,3979,4239,4596,5104,5583,6079,6647,7381,8214,9136,9986,10858,11441,12062,13228,13910,14657,15399,16204,17559,18379,18861,20136,20933,22015,22909,24027,25309,26896,27807,29382,30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186
"55000","Wisconsin state total","3","CA4","35","...","Earnings by place of work",13320717,14020577,14910098,16395519,18491305,20021849,21409402,23759238,26830102,30163886,33772555,35842246,37905179,38832028,40355635,44888541,47256099,50234922,53942853,57942578,62661883,66667231,69449686,75633043,79932361,85292882,88863354,93740793,99736153,106574610,112671109,119032414,123995579,128346136,133696159,141386842,145745006,152207065,157093118,160967926,156670221,158212235,166203395,171999825,176477450,182687024
"55000","Wisconsin state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",933625,974256,1070283,1247624,1614201,1840400,1927419,2187518,2442939,2842775,3302232,3496524,3999202,4156475,4359358,4904193,5208452,5503388,5810842,6548673,7004271,7800998,8259129,8871655,9408488,10145854,10657062,11099560,11779779,12475865,13251549,13900556,14201539,14588449,15069893,15872703,16516902,17407080,17981134,18532672,18012711,18428101,17293989,17813810,20622338,21344568
"55000","Wisconsin state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",460996,484445,529788,604625,773766,887603,938179,1031205,1137940,1306169,1531310,1646621,1901966,1988449,2056329,2258356,2483961,2649713,2834812,3225180,3539547,3928939,4177873,4470227,4706869,5080947,5375891,5596132,5956544,6287117,6722710,7040555,7250837,7499471,7731182,8137937,8489691,9021241,9403558,9683946,9395977,9521612,7818057,8045938,10623734,11102872
"55000","Wisconsin state total","3","CA4","38","...","  Employer contributions for government social insurance",472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8906489,9475932,9767872,9998604,10241696
"55000","Wisconsin state total","3","CA4","42","...","Plus: Adjustment for residence 6/",250077,254847,267640,291350,316915,343444,345840,383372,423616,476348,511211,536373,580343,600041,651024,760498,848710,930203,1033080,1194482,1234198,1343296,1363297,1462953,1519862,1657189,1776594,1920221,2123164,2308788,2479867,2710600,2850866,2652908,2570663,2915058,3090766,3366456,3696256,3769024,3387347,3428994,3641984,3669781,3753723,3930612
"55000","Wisconsin state total","3","CA4","45","...","Equals: Net earnings by place of residence",12637169,13301168,14107455,15439245,17194019,18524893,19827823,21955092,24810779,27797459,30981534,32882095,34486320,35275594,36647301,40744846,42896357,45661737,49165091,52588387,56891810,60209529,62553854,68224341,72043735,76804217,79982886,84561454,90079538,96407533,101899427,107842458,112644906,116410595,121196929,128429197,132318870,138166441,142808240,146204278,142044857,143213128,152551390,157855796,159608835,165273068
"55000","Wisconsin state total","3","CA4","46","...","Plus: Dividends, interest, and rent 7/",2416680,2708603,2929222,3154451,3504855,4000112,4424776,4695383,5187353,5775102,6513211,7913887,9719737,10890774,11777693,13167907,13870303,14475489,14624899,15418784,17442668,18198385,18343236,19164914,20018327,21383069,23073859,24818201,26386575,28830179,28432950,30764215,30591135,29560792,29761830,30910766,31663246,36201458,38330675,39792381,36015002,35576051,39901192,43763503,43433151,45103691
"55000","Wisconsin state total","3","CA4","47","...","Plus: Personal current transfer receipts",1359090,1598877,1869925,2079229,2364978,2811183,3527660,3822606,4053530,4474912,5133592,6256970,7114936,7936440,8527264,8731701,9275057,9568248,9784036,10135892,10941748,11735324,12735189,13801658,14380476,14830254,15721856,16283305,16818279,17246968,17954158,19294160,21528639,23157020,23853444,24554861,26311277,27921371,30239489,33889410,39186726,42037181,40679412,41476970,42395604,44028043
"55000","Wisconsin state total","3","CA4","50","...","Wages and salaries",10263716,10888896,11500741,12581850,14147113,15549819,16374838,18136613,20103517,22776723,25423133,27066120,28897999,29720603,30891723,33709778,35380075,37363175,39948025,43400732,45830271,49178597,51313090,55271573,58315533,62134477,65647138,69123659,74003002,78957245,83730825,88456938,90654202,93036148,96079286,100949253,103862533,108721948,113090028,115979713,110679810,112526318,117021337,121277538,124735784,129573614
"55000","Wisconsin state total","3","CA4","60","...","Supplements to wages and salaries",1190888,1280844,1421408,1657937,1919951,2154751,2564440,2925917,3426466,3947750,4521669,4958279,5453967,5846266,6364659,7011032,7561009,8146632,8767842,9681368,10580291,11753806,12685712,14370396,15499359,16425584,16560808,16962132,17770096,18809527,19807905,21159977,22444279,23475608,24842116,26479108,27853000,28532385,29542520,30567398,31701658,31181757,32830880,33954595,34055317,34552911
"55000","Wisconsin state total","3","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",718259,791033,880913,1014938,1079516,1201954,1575200,1769604,2121467,2411144,2750747,3108376,3356731,3678240,4061630,4365195,4836518,5292957,5791812,6357875,7115567,7881747,8604456,9968968,10797740,11360677,11279637,11458704,11946861,12620779,13279066,14299976,15493577,16386630,17503405,18744342,19825789,20146546,20964944,21718672,23084924,22275268,23354948,24186723,24056713,24311215
"55000","Wisconsin state total","3","CA4","62","...","  Employer contributions for government social insurance",472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8906489,9475932,9767872,9998604,10241696
"55000","Wisconsin state total","3","CA4","70","...","Proprietors' income 9/",1866113,1850837,1987949,2155732,2424241,2317279,2470124,2696708,3300119,3439413,3827753,3817847,3553213,3265159,3099253,4167731,4315015,4725115,5226986,4860478,6251321,5734828,5450884,5991074,6117469,6732821,6655408,7655002,7963055,8807838,9132379,9415499,10897098,11834380,12774757,13958481,14029473,14952732,14460570,14420815,14288753,14504160,16351178,16767692,17686349,18560499
"55000","Wisconsin state total","3","CA4","71","...","  Farm proprietors' income",553737,548958,600548,631006,802978,658055,707303,598366,968835,902289,1147105,1162550,883908,683975,154316,693068,724616,1028271,1145628,528950,1369446,934849,539090,761606,431830,701198,278389,831501,417659,736152,731117,209012,532108,400243,901256,1152294,971380,667217,1139206,714444,-125589,706495,2157080,1781358,2474107,2476793
"55000","Wisconsin state total","3","CA4","72","...","  Nonfarm proprietors' income",1312376,1301879,1387401,1524726,1621263,1659224,1762821,2098342,2331284,2537124,2680648,2655297,2669305,2581184,2944937,3474663,3590399,3696844,4081358,4331528,4881875,4799979,4911794,5229468,5685639,6031623,6377019,6823501,7545396,8071686,8401262,9206487,10364990,11434137,11873501,12806187,13058093,14285515,13321364,13706371,14414342,13797665,14194098,14986334,15212242,16083706
"55000","Wisconsin state total","3","CA4","7010","...","Total employment",1943518,1953931,1957393,2014337,2116012,2158611,2147925,2211407,2293198,2380482,2460477,2442970,2415039,2372990,2375985,2466771,2495453,2537323,2604573,2683663,2740050,2814229,2840450,2893937,2949696,3040287,3119622,3170631,3225761,3285025,3346241,3406669,3392483,3384679,3404331,3458343,3499277,3537369,3575989,3565200,3440119,3411636,3459709,3482311,3521059,3567138
"55000","Wisconsin state total","3","CA4","7020","...","  Wage and salary employment",1633860,1644049,1644084,1690638,1778676,1819569,1803669,1855860,1932544,2017442,2089136,2059560,2031638,1978328,1979861,2062531,2089676,2126678,2190112,2271568,2330144,2389174,2403227,2455588,2509301,2580436,2642651,2681316,2732929,2786851,2849132,2892663,2871558,2849760,2854799,2884851,2904022,2926949,2941025,2933114,2803897,2783755,2812907,2842635,2874522,2913690
"55000","Wisconsin state total","3","CA4","7040","...","  Proprietors employment",309658,309882,313309,323699,337336,339042,344256,355547,360654,363040,371341,383410,383401,394662,396124,404240,405777,410645,414461,412095,409906,425055,437223,438349,440395,459851,476971,489315,492832,498174,497109,514006,520925,534919,549532,573492,595255,610420,634964,632086,636222,627881,646802,639676,646537,653448
"55001","Adams, WI","3","CA4","10","...","Personal income (thousands of dollars)",22990,25550,28566,31129,39147,45525,54712,58539,65574,78209,88615,104401,111908,112875,127199,138947,144579,152981,155887,163070,188476,191064,210079,228205,248037,270762,288970,315022,347174,368774,394603,427136,468102,506997,523402,545778,565721,594344,614113,654905,670057,677613,715964,740098,754885,770129
"55001","Adams, WI","3","CA4","11","...","  Nonfarm personal income 1/",20947,23351,26277,29641,36586,42632,49473,55892,61310,70668,78875,89134,99124,106941,119379,131082,136650,142968,148904,157038,170074,183172,201637,221349,240630,262654,281297,303603,330088,352469,378951,412700,452905,488322,497546,526682,543382,573094,592245,627189,642909,655183,686189,707525,714645,745586
"55001","Adams, WI","3","CA4","12","...","  Farm income 2/",2043,2199,2289,1488,2561,2893,5239,2647,4264,7541,9740,15267,12784,5934,7820,7865,7929,10013,6983,6032,18402,7892,8442,6856,7407,8108,7673,11419,17086,16305,15652,14436,15197,18675,25856,19096,22339,21250,21868,27716,27148,22430,29775,32573,40240,24543
"55001","Adams, WI","3","CA4","20","...","Population (persons) 3/",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20864,20908,20528,20504,20215
"55001","Adams, WI","3","CA4","30","...","Per capita personal income (dollars) 4/",2590,2747,2933,3016,3594,4050,4554,4701,5251,6046,6595,7692,7989,7882,8830,9557,9791,10351,10372,10789,12175,12173,13168,14129,15003,15880,16756,17955,19299,20309,21374,21307,23017,24638,25354,26272,26671,28055,29028,31037,32014,32478,34244,36053,36816,38097
"55001","Adams, WI","3","CA4","35","...","Earnings by place of work",12435,13649,15319,16542,22421,26074,31979,33451,37007,45601,51816,59605,58548,54163,62766,68408,69138,73512,74219,75747,92461,84870,94567,101793,109157,120043,122507,132116,147943,152969,163860,174165,196969,231014,249494,259960,274136,290956,288645,308976,307883,307025,328552,345317,354280,353486
"55001","Adams, WI","3","CA4","36","...","Less: Contributions for government social insurance 5/",798,893,1040,1263,1663,2014,2280,2650,2872,3315,3816,4009,4510,4913,5610,6229,6400,6778,7165,7880,8633,9330,10435,11434,12207,13521,14002,14843,15677,16322,17743,18836,20181,22327,23255,24923,26649,30638,31952,33602,32817,33479,32503,33481,37834,39776
"55001","Adams, WI","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",464,511,580,706,877,1002,1133,1270,1352,1546,1796,1912,2174,2385,2740,3020,3275,3486,3741,4178,4731,4847,5576,6102,6506,7359,7664,7982,8581,8853,9691,10256,11359,12919,13537,14610,15676,18925,19895,20759,20307,20873,19319,19945,24173,25727
"55001","Adams, WI","3","CA4","38","...","  Employer contributions for government social insurance",334,382,460,557,786,1012,1147,1380,1520,1769,2020,2097,2336,2528,2870,3209,3125,3292,3424,3702,3902,4483,4859,5332,5701,6162,6338,6861,7096,7469,8052,8580,8822,9408,9718,10313,10973,11713,12057,12843,12510,12606,13184,13536,13661,14049
"55001","Adams, WI","3","CA4","42","...","Plus: Adjustment for residence 6/",4241,4367,4694,5315,5870,6225,6541,7740,9450,10793,12229,13537,15154,16136,17512,19604,21624,24444,27325,30469,33632,36647,41109,46578,51981,58167,63476,69369,76600,85745,93924,103496,97576,100079,99583,102632,102355,103561,105336,104470,99925,99725,107037,106775,108689,112005
"55001","Adams, WI","3","CA4","45","...","Equals: Net earnings by place of residence",15878,17123,18973,20594,26628,30285,36240,38541,43585,53079,60229,69133,69192,65386,74668,81783,84362,91178,94379,98336,117460,112187,125241,136937,148931,164689,171981,186642,208866,222392,240041,258825,274364,308766,325822,337669,349842,363879,362029,379844,374991,373271,403086,418611,425135,425715
"55001","Adams, WI","3","CA4","46","...","Plus: Dividends, interest, and rent 7/",3571,4034,4400,4796,5973,7050,8066,9031,10566,12204,13036,16789,20745,22738,26418,30019,30601,31709,30973,32566,35417,37972,38306,39606,42529,45595,51498,58215,64727,71500,73275,80777,92651,85498,80071,81186,76771,81680,92377,100544,96510,93973,109314,112540,114520,119600
"55001","Adams, WI","3","CA4","47","...","Plus: Personal current transfer receipts",3541,4393,5193,5739,6546,8190,10406,10967,11423,12926,15350,18479,21971,24751,26113,27145,29616,30094,30535,32168,35599,40905,46532,51662,56577,60478,65491,70165,73581,74882,81287,87534,101087,112733,117509,126923,139108,148785,159707,174517,198556,210369,203564,208947,215230,224814
"55001","Adams, WI","3","CA4","50","...","Wages and salaries",6248,7339,8524,9917,13791,16401,19042,21731,23002,27326,30396,32630,33642,35551,39333,42787,42862,44243,46980,49577,52143,57934,61372,67571,71823,76755,80998,86134,90653,95695,102039,109135,111993,120786,124733,132170,136589,142665,148713,153139,146922,148612,152670,154882,156585,164908
"55001","Adams, WI","3","CA4","60","...","Supplements to wages and salaries",799,949,1183,1416,2355,2997,3746,4390,4887,5896,6589,7168,7498,8223,9350,10327,10744,11233,11725,12360,13568,15795,17272,19453,20850,22143,22553,22933,23677,25005,28085,29531,33001,35892,38407,41611,43674,45517,47728,49310,50909,50499,52168,53817,52600,53722
"55001","Adams, WI","3","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",465,567,723,859,1569,1985,2599,3010,3367,4127,4569,5071,5162,5695,6480,7118,7619,7941,8301,8658,9666,11312,12413,14121,15149,15981,16215,16072,16581,17536,20033,20951,24179,26484,28689,31298,32701,33804,35671,36467,38399,37893,38984,40281,38939,39673
"55001","Adams, WI","3","CA4","62","...","  Employer contributions for government social insurance",334,382,460,557,786,1012,1147,1380,1520,1769,2020,2097,2336,2528,2870,3209,3125,3292,3424,3702,3902,4483,4859,5332,5701,6162,6338,6861,7096,7469,8052,8580,8822,9408,9718,10313,10973,11713,12057,12843,12510,12606,13184,13536,13661,14049
"55001","Adams, WI","3","CA4","70","...","Proprietors' income 9/",5388,5361,5612,5209,6275,6676,9191,7330,9118,12379,14831,19807,17408,10389,14083,15294,15532,18036,15514,13810,26750,11141,15923,14769,16484,21145,18956,23049,33613,32269,33736,35499,51975,74336,86354,86179,93873,102774,92204,106527,110052,107914,123714,136618,145095,134856
"55001","Adams, WI","3","CA4","71","...","  Farm proprietors' income",1644,1739,1784,922,1881,1972,4150,1461,2916,5729,7815,13305,10894,3850,5767,5794,5764,7929,4831,2917,14446,2540,2592,219,699,1431,1032,4569,9640,8133,8219,5983,7209,10210,17814,10207,13970,12982,10445,16335,16369,12931,20828,20830,28093,10655
"55001","Adams, WI","3","CA4","72","...","  Nonfarm proprietors' income",3744,3622,3828,4287,4394,4704,5041,5869,6202,6650,7016,6502,6514,6539,8316,9500,9768,10107,10683,10893,12304,8601,13331,14550,15785,19714,17924,18480,23973,24136,25517,29516,44766,64126,68540,75972,79903,89792,81759,90192,93683,94983,102886,115788,117002,124201
"55001","Adams, WI","3","CA4","7010","...","Total employment",2270,2407,2590,2701,3003,3217,3392,3590,3763,3969,4028,3954,3847,3846,4004,4192,4218,4402,4639,4255,4420,4649,4786,4871,5010,5279,5523,5522,5696,7313,7542,7653,8187,8217,8483,8804,9095,9492,9769,9472,9268,9261,9302,9281,9177,9166
"55001","Adams, WI","3","CA4","7020","...","  Wage and salary employment",1535,1634,1789,1861,2126,2306,2449,2611,2761,2944,2997,2910,2804,2800,2935,2988,2882,2912,2960,3002,3029,3237,3317,3368,3373,3544,3756,3781,3850,4063,4234,4230,4323,4398,4506,4606,4647,4934,5061,5006,4809,4871,4815,4756,4607,4544
"55001","Adams, WI","3","CA4","7040","...","  Proprietors employment",735,773,801,840,877,911,943,979,1002,1025,1031,1044,1043,1046,1069,1204,1336,1490,1679,1253,1391,1412,1469,1503,1637,1735,1767,1741,1846,3250,3308,3423,3864,3819,3977,4198,4448,4558,4708,4466,4459,4390,4487,4525,4570,4622
"55003","Ashland, WI","3","CA4","10","...","Personal income (thousands of dollars)",47342,50559,53945,57420,62659,68834,78411,85644,93772,108796,118727,126632,140210,150344,163472,175961,183678,193585,193425,203997,218272,223675,234067,246372,263315,280429,296140,309366,326181,344500,354339,370265,397506,394815,402996,417701,425265,443288,459927,469448,495291,493334,510910,527749,538938,552197
"55003","Ashland, WI","3","CA4","11","...","  Nonfarm personal income 1/",46507,49688,53008,56320,61361,67836,77286,84652,92891,108034,117134,124604,137733,146370,160141,171383,179537,189506,190727,201676,214033,220717,232320,245311,262470,279979,296368,309524,327243,344580,354065,370228,396932,394166,401343,415076,422902,441174,456821,466972,494614,491667,507979,524519,534867,546485
"55003","Ashland, WI","3","CA4","12","...","  Farm income 2/",835,871,937,1100,1298,998,1125,992,881,762,1593,2028,2477,3974,3331,4578,4141,4079,2698,2321,4239,2958,1747,1061,845,450,-228,-158,-1062,-80,274,37,574,649,1653,2625,2363,2114,3106,2476,677,1667,2931,3230,4071,5712
"55003","Ashland, WI","3","CA4","20","...","Population (persons) 3/",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16165,16084,15907,16064,16103
"55003","Ashland, WI","3","CA4","30","...","Per capita personal income (dollars) 4/",2754,3027,3270,3533,3826,4237,4750,5169,5574,6642,7291,7487,8062,8658,9444,10325,10969,11684,11642,12382,13213,13749,14346,14921,15710,16728,17578,18315,19295,20389,20978,22009,23699,23575,24208,25243,25920,27017,28392,29077,30710,30519,31765,33177,33549,34292
"55003","Ashland, WI","3","CA4","35","...","Earnings by place of work",40350,41577,43844,46098,50376,53965,60618,67648,75017,91728,98307,97548,104728,112441,122416,130450,139043,150789,151109,164471,176509,182693,194185,201197,218635,233734,245021,256352,271147,285821,297371,312040,331216,337973,355337,379818,396024,420016,438351,442111,445769,415003,428833,452612,454696,452359
