"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"54000","West Virginia state total","5","CA4","10","...","Personal income (thousands of dollars)",4937940,5498992,6033654,6678475,7301761,8092684,9145345,10188341,11393983,12680883,14145657,15557866,16961583,17969907,18449453,19840150,20661268,21170283,21701260,23149755,24528618,26120068,27204930,29317122,30399534,31692701,32740269,34072081,35498621,36911166,37817913,39953156,41985359,43701760,44707442,46315259,47989066,51763927,53766821,57780373,58073821,59526356,63461054,65665367,65177629,66856850
"54000","West Virginia state total","5","CA4","11","...","  Nonfarm personal income 1/",4907101,5473225,6008547,6647827,7257654,8064269,9131479,10185029,11396124,12668711,14128780,15549434,16984375,17998714,18466443,19818968,20641805,21124651,21696907,23147091,24498067,26078002,27172370,29260407,30340152,31637247,32722294,34068825,35504928,36917070,37839927,39944141,41965573,43742378,44727412,46291987,47984293,51796425,53834259,57835284,58138842,59583730,63472336,65689077,65151050,66840257
"54000","West Virginia state total","5","CA4","12","...","  Farm income 2/",30839,25767,25107,30648,44107,28415,13866,3312,-2141,12172,16877,8432,-22792,-28807,-16990,21182,19463,45632,4353,2664,30551,42066,32560,56715,59382,55454,17975,3256,-6307,-5904,-22014,9015,19786,-40618,-19970,23272,4773,-32498,-67438,-54911,-65021,-57374,-11282,-23710,26579,16593
"54000","West Virginia state total","5","CA4","20","...","Population (persons) 3/",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854176,1854982,1856313,1853595,1850326
"54000","West Virginia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2828,3148,3408,3717,4045,4461,4969,5427,5979,6603,7295,7973,8680,9217,9485,10292,10835,11247,11683,12649,13577,14571,15124,16229,16726,17410,17953,18692,19514,20330,20873,22110,23306,24206,24669,25498,26360,28319,29316,31397,31429,32104,34211,35374,35163,36132
"54000","West Virginia state total","5","CA4","35","...","Earnings by place of work",4179896,4575054,4962391,5484004,5937567,6523627,7251474,8165171,9227325,10315016,11385672,12101649,12772095,13103320,12973720,14040263,14574951,14765075,15167370,16287808,16971327,18161269,18796445,20001102,20789486,21878034,22460733,23117891,24007331,24848812,25741403,27165374,28208600,28944549,29791309,31491877,33046761,35226426,35600637,37749910,37247354,38134571,40666513,42293051,42090852,42460729
"54000","West Virginia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",323431,349685,394920,454649,567826,647589,710757,818832,917593,1058367,1212117,1310531,1483588,1571511,1570721,1737026,1827922,1921373,1992005,2190267,2309620,2502353,2662533,2839568,3058984,3205308,3351520,3454383,3548056,3721080,3826550,4141368,4114559,4061474,4253956,4380963,4571329,4629500,4508394,4546889,4600209,4736149,4429521,4547928,5086800,5252170
"54000","West Virginia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",142838,155038,173692,198740,244567,277962,308308,347281,382795,432875,503163,545696,625461,663588,655701,708138,769115,812463,848214,941398,1016011,1092446,1156771,1214268,1271219,1361382,1428790,1458561,1506546,1545231,1605260,1658500,1754041,1777768,1859669,1959592,2074934,2216704,2336909,2466805,2474754,2534406,2116928,2163793,2718164,2824395
"54000","West Virginia state total","5","CA4","38","...","  Employer contributions for government social insurance",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2283706,2394287,2421371,2496395,2412796,2171485,2080084,2125455,2201743,2312593,2384135,2368636,2427775
"54000","West Virginia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-72409,-75021,-90243,-102315,-104733,-119182,-124020,-152099,-184598,-213819,-224344,-246948,-226238,-169671,-145082,-112382,-107356,-85510,-25672,8223,95482,92439,74493,134460,132249,181507,224820,235720,394144,440743,502875,627772,747630,784445,804538,905700,1001650,1178716,1317175,1384783,1378509,1552964,1619816,1419085,1401560,1784203
