"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"02000","Alaska state total","8","CA1","1","...","Personal income (thousands of dollars)",1565315,1787169,1969284,2148358,2483103,3011981,4117266,4843292,5026243,5175727,5470056,6204950,7057192,8610173,9368256,9961459,10772149,10868683,10430514,10875485,11938954,12650093,13199663,14093288,14837766,15326225,15739275,16166525,17047974,17823694,18394908,19768637,20830211,21825208,22867997,24114497,25691736,27380164,29516606,32496796,32283659,34103385,36527487,38213009,37791031,39792685
"02000","Alaska state total","8","CA1","2","...","Population (persons) 1/",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713856,722572,731081,737259,736732
"02000","Alaska state total","8","CA1","3","...","Per capita personal income (dollars) 2/",5288,5873,6222,6580,7452,8738,11099,12320,12649,12869,13555,15309,16863,19150,19181,19391,20230,19969,19340,20066,21820,22863,23149,23938,24753,25404,26041,26565,27812,28751,29442,31481,32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012
"02010","Aleutian Islands Census Area, AK","8","CA1","1","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",123082,126799,130139,136601,144007,138825,161266,179780,185019,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK","8","CA1","2","...","Population (persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7829,7813,7981,8848,9088,9389,9734,9791,10312,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","Aleutian Islands Census Area, AK","8","CA1","3","...","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15721,16229,16306,15439,15846,14786,16567,18362,17942,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02013","Aleutians East Borough, AK","8","CA1","1","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",33030,39374,44431,53810,59203,47628,49070,52074,53028,55262,54911,58225,58599,74200,64243,69108,73253,78850,85218,88956,95067,93440,97314,109047,109559,118198,124140
"02013","Aleutians East Borough, AK","8","CA1","2","...","Population (persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2185,2439,2477,2507,2605,2557,2510,2619,2709,2768,2750,2739,2693,2590,2734,2732,2727,2787,2794,3012,2991,3084,3178,3267,3320,3351,3360
"02013","Aleutians East Borough, AK","8","CA1","3","...","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",15117,16144,17937,21464,22727,18627,19550,19883,19575,19965,19968,21258,21760,28649,23498,25296,26862,28292,30500,29534,31784,30298,30621,33378,33000,35272,36946
"02016","Aleutians West Census Area, AK","8","CA1","1","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",180215,188348,206986,220883,239489,235314,189863,163075,147012,116207,114112,126222,114884,116679,135857,164125,171016,185828,195190,207105,221783,213369,224435,251284,279262,285060,304808
"02016","Aleutians West Census Area, AK","8","CA1","2","...","Population (persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8542,9305,9599,9435,9334,10160,7291,5964,5984,5373,5339,5396,5470,5501,5472,5709,5798,5913,5658,5466,5393,5537,5551,5587,5671,5692,5750
"02016","Aleutians West Census Area, AK","8","CA1","3","...","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",21098,20242,21563,23411,25658,23161,26041,27343,24568,21628,21373,23392,21003,21211,24828,28748,29496,31427,34498,37890,41124,38535,40431,44977,49244,50081,53010
"02020","Anchorage Municipality, AK","8","CA1","1","...","Personal income (thousands of dollars)",768206,870463,956056,1052265,1156884,1420266,1887824,2242729,2490655,2514649,2605825,2926924,3394607,4199951,4601655,4985228,5305177,5320183,5045109,5100545,5565427,5868172,6140017,6602353,6964923,7203980,7288185,7484737,7988303,8416612,8702170,9259416,9912113,10421051,10886809,11489717,12140037,12999552,13945366,15341855,15188391,16124433,17014507,17791060,17494807,18402047
"02020","Anchorage Municipality, AK","8","CA1","2","...","Population (persons) 1/",123265,127569,134619,143203,147314,152386,165035,174496,177003,179642,178825,175808,180969,195216,211028,220254,226848,229965,225170,224371,225374,227614,235137,245623,250163,252278,251981,250710,252700,257232,259348,260816,264274,268229,270568,274484,276494,280085,278792,281554,287677,293337,296282,298633,301629,301010
