"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"01000","Alabama state total","5","CA1","1","...","Personal income (thousands of dollars)",9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,100252860,104177111,109741312,114234321,116899299,121798295,130495155,138019022,146661249,153787754,159993535,157141435,163066901,169030399,173601429,174876574,181908767
"01000","Alabama state total","5","CA1","2","...","Population (persons) 1/",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785822,4801695,4817484,4833996,4849377
"01000","Alabama state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2827,3074,3337,3662,4073,4459,4901,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22760,23516,24649,25569,26093,27045,28802,30202,31683,32911,33910,33027,34073,35202,36036,36176,37512
"01001","Autauga, AL","5","CA1","1","...","Personal income (thousands of dollars)",69808,77446,87790,99758,114325,123509,130898,149403,160756,186804,226274,248100,259689,277747,299246,334577,363360,387807,421999,462703,500832,528764,570764,610726,650651,709993,753444,805930,865097,927689,987328,1048995,1164497,1180831,1278069,1416028,1514046,1618928,1732373,1821467,1802561,1850635,1915207,1937588,1942434,2017406
"01001","Autauga, AL","5","CA1","2","...","Population (persons) 1/",25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54684,55275,55192,55136,55395
"01001","Autauga, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2774,3147,3442,3672,4017,4220,4405,4997,5277,6049,7059,7701,8119,8670,9336,10412,11269,11790,12685,13756,14732,15392,16303,16972,17608,18593,19264,20045,20978,22032,22981,23829,25942,25721,27309,29277,30478,31541,33057,34189,33298,33842,34649,35106,35230,36419
"01003","Baldwin, AL","5","CA1","1","...","Personal income (thousands of dollars)",157098,172451,196330,223337,267249,304840,344509,404670,433311,494105,539522,612860,714444,756544,841646,937423,1047199,1114484,1181292,1280528,1438814,1565529,1732487,1929046,2127710,2347195,2560353,2799545,3051979,3327140,3521274,3840678,3962300,4101353,4295837,4805315,5252121,5866389,6268520,6415310,6312840,6697447,7123699,7284777,7411631,7812413
"01003","Baldwin, AL","5","CA1","2","...","Population (persons) 1/",56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183216,186694,190561,195443,200111
"01003","Baldwin, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2758,2900,3264,3577,4163,4614,5077,5761,5985,6628,7044,7765,8899,9189,10022,10806,11714,12205,12673,13529,14957,15821,16916,18097,19097,20136,21178,22323,23447,24747,25599,27173,27350,27720,28354,30751,32384,34894,36359,36486,35187,36555,38157,38228,37922,39040
"01005","Barbour, AL","5","CA1","1","...","Personal income (thousands of dollars)",51038,57492,61814,69877,79399,89700,98096,112704,122588,139166,150740,158835,178143,185843,199613,228675,243960,263583,279491,307402,328467,342695,373589,401005,418409,440303,441656,453716,472261,508900,550027,553459,588760,585073,599748,644584,669118,692183,717354,737874,739180,763278,776382,772441,820896,818680
"01005","Barbour, AL","5","CA1","2","...","Population (persons) 1/",23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27336,27225,27169,26978,26887
"01005","Barbour, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2143,2538,2677,3058,3385,3828,3945,4401,4965,5675,6171,6414,7198,7501,8050,9165,9758,10568,11134,12184,12964,13436,14095,14885,15287,15866,15856,16034,16620,17645,19054,19075,20398,20419,20975,22787,23874,24844,25844,26535,26727,27922,28517,28431,30428,30449
"01007","Bibb, AL","5","CA1","1","...","Personal income (thousands of dollars)",29801,32501,36568,40790,46505,50689,56225,64677,71941,83116,93773,102430,110238,116682,125670,140355,150209,159414,166232,181863,194787,211246,219545,234384,246969,264684,283846,299489,316987,320955,340229,354209,380492,386524,404917,446275,458562,483187,528577,557360,550177,575941,593143,613593,617742,637236
"01007","Bibb, AL","5","CA1","2","...","Population (persons) 1/",14994,13798,13919,14097,14654,14391,14778,14763,15257,15355,15550,15751,15836,16020,15999,16089,16157,15918,16165,16136,16360,16697,17071,17403,17757,18053,18507,18885,19388,19851,20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22879,22740,22634,22504,22506
"01007","Bibb, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",1988,2355,2627,2894,3174,3522,3805,4381,4715,5413,6030,6503,6961,7284,7855,8724,9297,10015,10283,11271,11906,12652,12861,13468,13908,14661,15337,15859,16350,16168,16548,17788,18095,18233,18922,20546,20804,21865,23557,24548,23982,25173,26084,27109,27450,28314
"01009","Blount, AL","5","CA1","1","...","Personal income (thousands of dollars)",69221,69896,77413,90814,109451,115258,138493,153925,171021,195522,218186,246612,269147,277363,291215,327898,365922,377331,400478,455736,508489,543526,571811,601405,635381,676044,727966,799443,851477,942841,997168,1048281,1135283,1111781,1163033,1240227,1317402,1386992,1496558,1605739,1583250,1602476,1645507,1704344,1730670,1816084
"01009","Blount, AL","5","CA1","2","...","Population (persons) 1/",26411,26999,27817,29296,30357,31537,32219,33048,34219,34845,35959,36508,36641,36355,36428,36790,37417,37995,38017,38250,38771,39473,40190,40822,41866,42520,44060,45344,47055,48824,50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57344,57694,57748,57720,57719
"01009","Blount, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",2621,2589,2783,3100,3605,3655,4298,4658,4998,5611,6068,6755,7346,7629,7994,8913,9780,9931,10534,11915,13115,13770,14228,14732,15177,15899,16522,17631,18095,19311,19849,20511,21898,21156,21756,22915,24118,24998,26610,28144,27611,27945,28521,29513,29984,31464
"01011","Bullock, AL","5","CA1","1","...","Personal income (thousands of dollars)",22694,25394,27225,31460,35911,37257,38288,44980,48795,52068,57154,57881,65337,66798,74940,75472,81644,85050,87082,94971,107270,114872,126228,136001,140853,146219,155534,156541,171177,183567,189752,184424,203853,208670,213207,222093,219216,228110,238460,248838,254957,250786,255547,259868,285779,289920
"01011","Bullock, AL","5","CA1","2","...","Population (persons) 1/",12554,11749,11418,11443,11274,11141,11097,11112,11015,10954,10799,10616,10679,10639,10686,10824,10777,10459,10891,11184,11170,11032,11188,11125,11219,11370,11431,11574,11624,11655,11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10886,10623,10589,10605,10764
"01011","Bullock, AL","5","CA1","3","...","Per capita personal income (dollars) 2/",1808,2161,2384,2749,3185,3344,3450,4048,4430,4753,5293,5452,6118,6279,7013,6973,7576,8132,7996,8492,9603,10413,11282,12225,12555,12860,13606,13525,14726,15750,16142,15925,17948,18539,18841,20088,19909,21168,21657,22719,23205,23037,24056,24541,26948,26934
"01013","Butler, AL","5","CA1","1","...","Personal income (thousands of dollars)",45773,48469,51714,59304,67376,73310,81968,90539,97444,115863,129833,140091,162320,163239,174267,185050,192199,203480,214018,224000,236488,246674,260061,279335,295524,315706,339659,352747,357803,383317,398861,411057,442424,458699,470951,497128,507516,524414,567569,591222,577223,600714,600836,617162,638240,668827
"01013","Butler, AL","5","CA1","2","...","Population (persons) 1/",22726,21987,21846,21530,21237,21160,21169,21351,20872,20911,21204,21789,22186,22399,22384,22443,22427,22340,22405,22207,22035,21886,21755,21794,21813,21851,21824,21863,21840,21718,21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20945,20676,20409,20289,20296
