"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"05000","Arkansas state total","5","CA1","1","...","Personal income (thousands of dollars)",5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55652179,57957756,61080264,64256901,65584610,69379756,73843959,77635263,83182071,88819878,93232570,91625136,93486029,99791639,107032727,108080656,112076107
"05000","Arkansas state total","5","CA1","2","...","Population (persons) 1/",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922297,2938430,2949300,2958765,2966369
"05000","Arkansas state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21190,21856,22803,23873,24237,25462,26855,27915,29479,31180,32434,31629,31991,33961,36291,36529,37782
"05001","Arkansas, AR","5","CA1","1","...","Personal income (thousands of dollars)",73030,84133,84888,95834,135894,161030,143158,147870,151377,208573,195853,196484,234788,237644,243057,270321,274220,279653,271538,301194,306412,317211,325291,360533,376399,393812,428655,454874,458955,474391,484641,479168,507415,501044,573819,602747,564594,595200,618415,658412,665672,651133,687989,734395,805325,792150
"05001","Arkansas, AR","5","CA1","2","...","Population (persons) 1/",23393,23311,23328,23170,23590,23695,23874,24218,23869,24425,24126,24191,24203,24114,23835,23398,23012,22573,22174,21847,21705,21666,21536,21479,21310,21199,21128,21134,20975,20896,20966,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19009,18887,18994,18820,18594
"05001","Arkansas, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",3122,3609,3639,4136,5761,6796,5996,6106,6342,8539,8118,8122,9701,9855,10197,11553,11916,12389,12246,13787,14117,14641,15105,16785,17663,18577,20288,21523,21881,22702,23116,23064,24640,24620,28718,30187,28295,30083,31821,34159,34790,34254,36427,38665,42791,42602
"05003","Ashley, AR","5","CA1","1","...","Personal income (thousands of dollars)",62687,72025,79022,83589,100481,108753,117253,133669,150352,177965,192228,195589,227506,226303,236936,274163,281040,272162,290773,307009,315575,330979,360379,387057,396345,430644,446344,463706,488251,510353,515987,526081,531326,526474,564107,563564,583590,602531,620993,616589,627166,654343,688969,687095,701787,681641
"05003","Ashley, AR","5","CA1","2","...","Population (persons) 1/",24963,25015,25440,25642,25481,25478,25832,26164,26625,26946,26748,26607,26829,26273,25971,26045,26088,25401,25176,24930,24582,24283,24447,24565,24647,24556,24475,24417,24365,24359,24261,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920,21835,21655,21497,21252,20948
"05003","Ashley, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2511,2879,3106,3260,3943,4269,4539,5109,5647,6605,7187,7351,8480,8614,9123,10527,10773,10715,11550,12315,12838,13630,14741,15756,16081,17537,18237,18991,20039,20951,21268,21758,22302,22172,24036,24338,25630,26778,27936,27839,28612,29968,31816,31962,33022,32540
"05005","Baxter, AR","5","CA1","1","...","Personal income (thousands of dollars)",39801,46050,54368,62967,78448,92984,109342,129139,145919,167151,184994,218923,250793,272921,303415,329500,358273,392102,399522,419990,457550,479142,514129,556081,598032,630371,677857,713538,755933,806411,821616,860818,877588,902234,924194,967291,1032224,1127296,1205989,1236076,1202544,1208291,1253536,1308939,1316488,1367581
"05005","Baxter, AR","5","CA1","2","...","Population (persons) 1/",14798,15525,16578,18160,19884,21335,22746,24472,26097,26471,27093,27482,27716,28024,28729,29435,29586,30097,30643,30906,30927,31317,31884,32775,33886,35108,36313,36943,37348,37619,38055,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41551,41287,41077,40996,40857
"05005","Baxter, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2690,2966,3280,3467,3945,4358,4807,5277,5591,6314,6828,7966,9049,9739,10561,11194,12110,13028,13038,13589,14795,15300,16125,16967,17648,17955,18667,19315,20240,21436,21590,22390,22895,23431,23837,24592,25811,27585,29066,29771,28934,29080,30362,31865,32113,33472
"05007","Benton, AR","5","CA1","1","...","Personal income (thousands of dollars)",131497,147730,168491,202279,246850,273674,322563,372519,421588,493932,557952,639755,744789,800953,897049,1013066,1108974,1230940,1291197,1426858,1550808,1691520,1865972,2135900,2343807,2619557,2931966,3265637,3601673,4066655,4435184,4901343,5340112,5704820,6232094,7069607,7954921,9136461,10353717,11502271,10710900,11010244,13136333,15787068,15987343,16665257
"05007","Benton, AR","5","CA1","2","...","Population (persons) 1/",49171,50853,53449,57211,59612,62271,63175,66690,70714,73491,76545,78374,79240,80220,81850,84046,85837,87747,90922,93096,94972,98524,102583,107529,113667,119451,126211,132490,137751,142496,148636,154744,159258,164926,171742,179010,186756,195569,203664,210807,216620,222923,227769,232739,237301,242321
"05007","Benton, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2674,2905,3152,3536,4141,4395,5106,5586,5962,6721,7289,8163,9399,9984,10960,12054,12920,14028,14201,15327,16329,17169,18190,19863,20620,21930,23231,24648,26146,28539,29839,31674,33531,34590,36288,39493,42595,46717,50837,54563,49446,49390,57674,67832,67372,68773
"05009","Boone, AR","5","CA1","1","...","Personal income (thousands of dollars)",51271,57452,64991,76927,89425,101181,108396,123991,139354,158233,177544,194488,216756,234257,252515,280151,302384,318482,339398,364780,399366,412694,433916,465940,504932,528725,556574,576545,612403,661573,694791,724701,738658,768140,790480,844961,891899,959236,1024791,1047792,1038204,1047803,1086969,1142342,1153715,1208794
"05009","Boone, AR","5","CA1","2","...","Population (persons) 1/",18834,19110,19256,20174,20984,21635,22771,23039,23652,24267,25395,26119,26271,26456,26915,27373,27563,27701,27891,28123,28269,28360,28788,29534,30384,31310,32031,32643,32946,33210,33436,34051,34258,34448,34554,34900,35492,36056,36759,36974,36844,36888,37040,37333,37389,37196
"05009","Boone, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2722,3006,3375,3813,4262,4677,4760,5382,5892,6521,6991,7446,8251,8855,9382,10235,10971,11497,12169,12971,14127,14552,15073,15776,16618,16887,17376,17662,18588,19921,20780,21283,21562,22299,22877,24211,25130,26604,27879,28339,28178,28405,29346,30599,30857,32498
"05011","Bradley, AR","5","CA1","1","...","Personal income (thousands of dollars)",30918,33289,37817,42270,47478,52626,58022,64616,69877,79995,88520,96087,103837,109271,118051,125538,129939,131723,132506,143226,160174,166529,171235,183252,187301,194950,201654,212669,222234,228555,221992,229847,247948,250079,264441,281969,280383,290960,304775,299700,294084,311902,320501,341422,338979,363177
"05011","Bradley, AR","5","CA1","2","...","Population (persons) 1/",12933,12810,13082,13268,13292,13229,13277,13708,13757,13980,14036,13765,13583,13388,13184,13081,12882,12595,12287,12119,12012,11808,11863,11898,12101,12130,12248,12309,12331,12388,12518,12597,12427,12340,12263,12107,12012,11778,11737,11643,11538,11489,11453,11298,11192,11148
"05011","Bradley, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2391,2599,2891,3186,3572,3978,4370,4714,5079,5722,6307,6981,7645,8162,8954,9597,10087,10458,10784,11818,13334,14103,14434,15402,15478,16072,16464,17278,18022,18450,17734,18246,19952,20266,21564,23290,23342,24704,25967,25741,25488,27148,27984,30220,30288,32578
"05013","Calhoun, AR","5","CA1","1","...","Personal income (thousands of dollars)",12483,12117,12971,14510,17129,18912,21087,24954,26044,30053,32879,36408,40699,45685,50571,56117,60772,62647,63452,66248,69644,71799,73961,79168,81471,82906,84768,87358,93516,101263,103443,108839,112694,115202,118290,121991,127453,124458,130724,136699,137131,138857,143790,149155,148086,151080
"05013","Calhoun, AR","5","CA1","2","...","Population (persons) 1/",5627,5561,5547,5540,5573,5676,5906,5723,5707,5830,6030,6073,6041,6113,6081,6088,6067,6012,6047,5962,5885,5821,5805,5764,5822,5811,5836,5754,5774,5751,5764,5709,5599,5655,5646,5591,5675,5693,5659,5528,5421,5330,5280,5299,5219,5202
"05013","Calhoun, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2218,2179,2338,2619,3074,3332,3570,4360,4564,5155,5453,5995,6737,7473,8316,9218,10017,10420,10493,11112,11834,12334,12741,13735,13994,14267,14525,15182,16196,17608,17946,19064,20128,20372,20951,21819,22459,21862,23100,24728,25296,26052,27233,28148,28374,29043
"05015","Carroll, AR","5","CA1","1","...","Personal income (thousands of dollars)",31798,33643,39096,46565,54036,52370,67100,74986,78898,94020,102863,110442,126189,137951,146183,168298,190889,216378,223611,232476,253844,266337,287283,325998,350946,380758,389340,401874,417090,445985,466496,473966,503181,495367,513877,578431,596975,617078,679276,697671,662252,671147,690956,741861,790203,876684
"05015","Carroll, AR","5","CA1","2","...","Population (persons) 1/",12231,12328,12551,13311,13835,14360,14570,14996,15217,15460,15595,16231,16309,16411,16969,17237,17531,17858,18155,18297,18376,18770,19358,19988,21092,22460,23282,24070,24379,24730,25062,25369,25559,25796,26033,26052,26435,26615,26699,26822,27158,27560,27470,27598,27760,27744
"05015","Carroll, AR","5","CA1","3","...","Per capita personal income (dollars) 2/",2600,2729,3115,3498,3906,3647,4605,5000,5185,6082,6596,6804,7737,8406,8615,9764,10889,12117,12317,12706,13814,14190,14841,16310,16639,16953,16723,16696,17109,18034,18614,18683,19687,19203,19739,22203,22583,23185,25442,26011,24385,24352,25153,26881,28466,31599
"05017","Chicot, AR","5","CA1","1","...","Personal income (thousands of dollars)",35668,42524,44235,47770,60316,73671,67519,71336,76413,90490,110360,90062,118746,115307,112368,138646,136090,129261,146076,165972,155907,170035,178145,206138,204666,216022,226712,245081,248059,251552,253471,261166,266017,251700,284567,291873,292481,292240,319873,326415,335673,333982,354626,376648,401949,376230
