"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"06000","California state total","8","CA1","1","...","Personal income (thousands of dollars)",92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,961026185,1027198949,1134894388,1175422938,1196317599,1247297158,1324947651,1398952578,1501831207,1565343003,1602748801,1537136355,1583446730,1691002503,1812314643,1849505496,1939527656
"06000","California state total","8","CA1","2","...","Population (persons) 1/",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393,38802500
"06000","California state total","8","CA1","3","...","Per capita personal income (dollars) 2/",4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29133,30663,33391,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985
"06001","Alameda, CA","8","CA1","1","...","Personal income (thousands of dollars)",4995157,5413583,5747963,6255125,6636101,7302344,8029003,8824282,9596949,10723770,11877800,13355796,15014228,15983673,17398382,19394076,20966180,22214867,23553276,25539604,27645978,29547275,30442464,32020603,33001847,34048728,36162153,38781735,41371454,45318192,49254182,56678088,57296123,57927722,59949618,62368396,64502308,68442050,70067569,71401307,68214624,70374092,75973983,80530232,85173987,90631392
"06001","Alameda, CA","8","CA1","2","...","Population (persons) 1/",1060099,1073505,1084483,1099590,1089330,1092233,1090869,1098146,1099851,1103717,1099272,1109931,1125950,1140269,1160694,1179132,1197401,1215506,1229319,1251100,1271443,1306166,1318543,1332208,1339189,1341707,1346548,1359099,1380383,1405903,1427114,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1513625,1532518,1556249,1583226,1610921
"06001","Alameda, CA","8","CA1","3","...","Per capita personal income (dollars) 2/",4712,5043,5300,5689,6092,6686,7360,8036,8726,9716,10805,12033,13335,14017,14990,16448,17510,18276,19160,20414,21744,22621,23088,24036,24643,25377,26855,28535,29971,32234,34513,39093,38991,39619,41226,43140,44745,47382,48133,48335,45521,46494,49575,51746,53798,56261
"06003","Alpine, CA","8","CA1","1","...","Personal income (thousands of dollars)",1989,2245,2614,3354,3679,3884,4351,5662,5999,7824,9261,10200,11490,12234,13534,13966,14548,15013,15816,18879,20691,20181,18009,18119,20877,22357,23892,25940,27590,28978,30913,34053,33025,33453,35439,38474,38145,37653,38245,40688,41481,42845,61922,67077,67518,69650
"06003","Alpine, CA","8","CA1","2","...","Population (persons) 1/",398,508,584,702,671,730,785,817,890,983,1160,1104,1131,1145,1119,1092,1156,1197,1141,1162,1161,1106,1162,1154,1196,1199,1246,1262,1239,1223,1205,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1158,1111,1127,1150,1116
"06003","Alpine, CA","8","CA1","3","...","Per capita personal income (dollars) 2/",4997,4419,4476,4778,5483,5321,5543,6930,6740,7959,7984,9239,10159,10685,12095,12789,12585,12542,13862,16247,17822,18247,15498,15701,17456,18646,19175,20555,22268,23694,25654,28166,27613,27044,28742,30462,31292,29509,30020,33850,34654,36999,55735,59518,58711,62410
"06005","Amador, CA","8","CA1","1","...","Personal income (thousands of dollars)",47400,52048,57217,63697,73302,83792,94815,108669,125083,146730,170727,190521,207309,220928,245731,280421,307344,335075,375937,417592,454576,489687,533351,564226,592014,605937,641977,678775,686877,739123,780018,863904,918469,984209,1030395,1119835,1134218,1203551,1269819,1291563,1243323,1245215,1306247,1360692,1399594,1451465
