"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"08000","Colorado state total","7","CA1","1","...","Personal income (thousands of dollars)",8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122405884,132658809,148128340,155992188,157172883,160369195,167793881,179089828,192161658,203034950,213342148,206385419,211419677,227052222,240905431,246447709,261735447
"08000","Colorado state total","7","CA1","2","...","Population (persons) 1/",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866
"08000","Colorado state total","7","CA1","3","...","Per capita personal income (dollars) 2/",3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29734,31391,34234,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869
"08001","Adams, CO","7","CA1","1","...","Personal income (thousands of dollars)",644243,704864,798371,903021,1015818,1116779,1224897,1345893,1516401,1789867,2056912,2366919,2663097,2912374,3122234,3388527,3569892,3682916,3751829,3881806,4096558,4317367,4566461,4987095,5407443,5820885,6277575,6713463,7376744,8137722,8932222,9963310,10672448,10778910,10947278,11262706,11795503,12358694,13090988,13741134,13746512,13794477,14684508,15481232,15873101,17010005
"08001","Adams, CO","7","CA1","2","...","Population (persons) 1/",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443668,452202,460653,470547,480718
"08001","Adams, CO","7","CA1","3","...","Per capita personal income (dollars) 2/",3527,3768,4120,4428,4796,5202,5598,5997,6655,7470,8363,9577,10596,11251,11910,12796,13372,13758,13974,14556,15553,16192,16647,17538,18393,19262,20028,20771,22188,23719,25222,27151,28351,29073,29002,29268,29851,30397,31488,32339,31550,31092,32473,33607,33733,35385
"08003","Alamosa, CO","7","CA1","1","...","Personal income (thousands of dollars)",28850,31566,34943,37649,41435,48656,57177,63499,67119,76004,82249,98869,106394,109551,124820,128542,135651,152910,151188,159066,179323,194833,191090,199783,226920,239489,254113,276257,279537,311322,317488,335454,348277,377949,360585,380587,399832,407829,430637,462360,469200,477357,515759,517855,518098,537893
"08003","Alamosa, CO","7","CA1","2","...","Population (persons) 1/",10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15901,16107,16113,16256,16177
"08003","Alamosa, CO","7","CA1","3","...","Per capita personal income (dollars) 2/",2696,2744,2953,3076,3578,4225,4667,5260,5787,6576,7079,8329,8770,8875,10010,10006,10570,11632,11340,11600,13040,14324,13722,14488,16424,17020,17681,19229,19102,21135,21335,22432,23287,25007,23932,25011,26243,26838,28369,30220,30689,30021,32021,32139,31871,33250
"08005","Arapahoe, CO","7","CA1","1","...","Personal income (thousands of dollars)",751057,839524,984574,1153503,1360770,1556641,1781172,2026019,2322627,2772994,3292401,3917018,4613647,5192997,5658529,6286538,6819577,7159625,7523948,8003947,8816289,9508214,10005987,10754880,11554698,12538527,13403810,14565486,15307395,17064549,18675105,21146841,22515066,22529747,22616462,23055072,24680293,26800757,27639660,29343839,28046617,28593916,31372499,33366825,32751491,34835883
"08005","Arapahoe, CO","7","CA1","2","...","Population (persons) 1/",157055,163696,171308,184665,199083,208362,219967,230470,242501,261177,278330,297301,312603,330653,344923,357164,369021,377636,382074,382304,384980,393895,406279,420063,431731,440965,446821,454208,462681,472544,482262,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,574577,585845,596051,608128,618821
"08005","Arapahoe, CO","7","CA1","3","...","Per capita personal income (dollars) 2/",4782,5129,5747,6246,6835,7471,8097,8791,9578,10617,11829,13175,14759,15705,16405,17601,18480,18959,19692,20936,22901,24139,24628,25603,26764,28434,29998,32068,33084,36112,38724,43027,44816,44268,44027,44425,47058,50413,50992,53115,49802,49765,53551,55980,53856,56294
"08007","Archuleta, CO","7","CA1","1","...","Personal income (thousands of dollars)",10064,8959,9724,10166,11320,13568,15385,19906,21656,23061,31279,33028,35724,36600,43823,48529,52747,55928,56446,58956,66250,69965,75915,86709,92041,103902,114308,129295,143733,165965,186513,203577,216679,232157,245615,261034,289079,322835,349195,369801,358219,357177,383874,407093,422617,449095
