"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",3873745,4290610,4726397,5086509,5470335,5931653,6432805,6877772,7456264,8164863,8999211,10044867,11108173,12093780,13022220,14402474,15418404,16564772,17627116,19112040,21057769,22145081,22842133,24281693,25017564,25848852,26799783,27650939,29043980,30312342,31589027,33655736,35188145,35180497,36711340,38858588,40549836,42669159,44639826,47198493,47823175,49295737,51372123,53355095,54079112,55787826
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA1","2","...","Population (persons) 1/",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1168699,1169612,1171204,1173024,1173518
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3865,4233,4579,4852,5212,5665,6127,6555,7078,7726,8525,9570,10577,11498,12320,13592,14502,15505,16438,17661,19323,20136,20613,21767,22322,22994,23831,24646,25990,27167,28297,30069,31337,31157,32248,33921,35236,36874,38463,40543,40990,42180,43922,45556,46102,47539
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",1591195,1801075,2021910,2309364,2570910,2886279,3260683,3692521,4133577,4780895,5423691,6081478,6812264,7450422,8120920,9026428,9900634,10569054,11212997,11878926,12686774,13634935,14610879,15746949,17021679,18444963,19965172,21001129,22116611,23413399,24219527,26515295,28620045,29584837,30393359,32048950,34298225,36783426,38605637,40328071,39629881,40332467,42164733,43231484,43036684,44865162
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA1","2","...","Population (persons) 1/",493400,499808,518746,531820,553926,569988,584146,601738,621530,634881,654055,671208,681781,690557,703024,716480,730113,747921,767128,779510,792280,804398,821246,842862,865943,891794,917044,933386,946999,957537,965613,977078,987745,1006347,1022635,1041100,1062591,1085270,1104917,1119512,1133851,1149162,1157866,1162094,1164676,1165798
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3225,3604,3898,4342,4641,5064,5582,6136,6651,7530,8292,9060,9992,10789,11551,12598,13560,14131,14617,15239,16013,16950,17791,18683,19657,20683,21771,22500,23354,24452,25082,27137,28975,29398,29721,30784,32278,33893,34940,36023,34952,35097,36416,37201,36952,38485
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",648190,694933,755640,804657,933531,1018511,1258617,1376550,1512042,1715811,1942333,2145574,2498899,2755220,3004768,3191837,3323280,3330184,3381151,3451285,3600271,3767124,3873689,4143474,4388469,4611160,4872493,5066398,5399700,5653058,5787934,6064394,6355411,6490824,6853726,7158865,7815897,8341117,8836855,9633946,9273072,9853906,10428750,10935689,11069881,11668750
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA1","2","...","Population (persons) 1/",194888,179835,183309,186220,185660,187040,190276,193917,197808,200595,206724,212134,216245,222458,226248,228429,228101,228567,226863,227476,225780,224065,226267,228766,232558,236295,242055,244182,246185,247802,250648,252993,253598,255442,257911,260044,262589,264832,266746,268309,271557,274908,277960,279703,280665,281658
"89108","Amarillo-Borger, TX (Combined Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3326,3864,4122,4321,5028,5445,6615,7099,7644,8554,9396,10114,11556,12385,13281,13973,14569,14570,14904,15172,15946,16813,17120,18112,18870,19514,20130,20748,21934,22813,23092,23971,25061,25410,26574,27529,29765,31496,33128,35906,34148,35844,37519,39098,39442,41429
"89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",992205,1056435,1112309,1211117,1357630,1501398,1651594,1827541,2044191,2267525,2579744,2842253,3099807,3285095,3529640,3910103,4177025,4447905,4719731,5015654,5467689,5828992,6107466,6689894,6991679,7487831,7921505,8374353,8767335,9331996,9849277,10556009,10976647,11287240,11795605,12416542,12874163,13657944,14272936,14719850,14555412,14810058,15682385,16226267,16368184,17004680
"89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)","","CA1","2","...","Population (persons) 1/",270626,277520,279552,280844,279519,279688,283921,282865,284914,285526,287629,291638,292020,292784,293632,296399,298887,301831,304849,309604,312280,316204,320302,324982,330346,334680,339381,343792,347575,351220,355296,359721,363839,367881,370790,373722,377376,381168,384405,387312,391061,392854,394969,397215,399229,401008
"89118","Appleton-Oshkosh-Neenah, WI (Combined Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3666,3807,3979,4312,4857,5368,5817,6461,7175,7942,8969,9746,10615,11220,12021,13192,13975,14736,15482,16200,17509,18434,19068,20585,21165,22373,23341,24359,25224,26570,27721,29345,30169,30682,31812,33224,34115,35832,37130,38005,37220,37699,39705,40850,40999,42405
"89120","Asheville-Brevard, NC (Combined Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",779157,838493,917862,1037708,1179611,1295457,1409479,1579371,1769733,1987673,2211050,2522115,2845471,3038993,3338288,3719384,3981034,4234006,4541692,4948973,5414610,5765105,6063224,6546480,6991127,7346174,7906333,8366658,9060398,9722775,10142417,10739463,10923666,11036377,11213578,12148965,12847945,13862730,14752493,15278320,15094404,15140795,15689239,16716248,16469772,17225313
"89120","Asheville-Brevard, NC (Combined Statistical Area)","","CA1","2","...","Population (persons) 1/",264771,265994,271092,273407,277899,282162,286492,289020,293279,298494,302849,307135,309751,313180,314082,318139,321536,324454,325633,328256,331084,335049,340928,347354,354901,361979,369043,375741,382277,388762,394319,400031,404523,409827,415251,421130,427318,436015,443903,450000,454866,458538,461255,464996,470586,475361
"89120","Asheville-Brevard, NC (Combined Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",2943,3152,3386,3795,4245,4591,4920,5465,6034,6659,7301,8212,9186,9704,10629,11691,12381,13050,13947,15077,16354,17207,17784,18847,19699,20294,21424,22267,23701,25010,25721,26847,27004,26929,27004,28848,30066,31794,33234,33952,33184,33020,34014,35949,34998,36236
