"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"09000","Connecticut state total","1","CA1","1","...","Personal income (thousands of dollars)",14693141,15678607,16511886,17800682,19365980,21132528,22706406,24501978,27001855,30063404,33793836,38457972,43173687,46616812,49858707,55856174,59950829,64560716,70594722,77854455,84525768,86968737,87599501,94263265,97514376,100067779,105446951,110588370,117944101,126385356,132612653,144007328,149999467,150125332,153962826,164683761,173529316,187702491,200076558,204849956,197696873,205264566,215017218,225503447,223560773,233293455
"09000","Connecticut state total","1","CA1","2","...","Population (persons) 1/",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579345,3590537,3594362,3599341,3596677
"09000","Connecticut state total","1","CA1","3","...","Per capita personal income (dollars) 2/",4898,5160,5393,5799,6310,6871,7361,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37555,39160,42209,43696,43405,44187,47105,49481,53363,56723,57776,55505,57347,59884,62738,62112,64864
"09001","Fairfield, CT","1","CA1","1","...","Personal income (thousands of dollars)",4599145,4866731,5106426,5489362,5883600,6354695,6818311,7450347,8293136,9318883,10533496,12122310,13778395,14891260,15790510,17777694,19151850,20539078,22430024,25112468,27289901,28049644,28267439,31798790,32834451,33599508,36487564,39098290,42152965,46449589,49114833,54013570,56123616,54963055,55861362,61358135,66463695,74334504,79709854,80188743,75018211,80759800,85336794,91090080,88929427,93303580
"09001","Fairfield, CT","1","CA1","2","...","Population (persons) 1/",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919506,928722,935290,942119,945438
"09001","Fairfield, CT","1","CA1","3","...","Per capita personal income (dollars) 2/",5890,6138,6441,6966,7481,8061,8581,9343,10233,11610,13123,14990,16944,18206,19213,21546,23064,24692,27080,30380,32978,33841,33931,38111,39138,39882,43025,45760,48957,53473,56000,61076,63127,61556,62321,68368,74042,82939,88813,88722,82399,87830,91886,97392,94393,98688
"09003","Hartford, CT","1","CA1","1","...","Personal income (thousands of dollars)",3920005,4193342,4351224,4639663,5063018,5551817,5968957,6353826,6943377,7720580,8700105,9874982,10956676,11831551,12631227,14035022,15026329,16320044,17821788,19503754,21262828,21894041,21946469,23000565,23576493,23995161,24628858,25470597,26969402,28571107,29683754,32240755,33422570,33504187,34451077,36416810,38171453,40691495,43525134,44849743,44473499,45237930,47034421,48740920,48905966,50862026
"09003","Hartford, CT","1","CA1","2","...","Population (persons) 1/",808574,818452,824080,821294,818956,818468,814177,810704,806380,805986,805516,808940,811862,812390,818501,821289,826385,834349,843149,853033,853017,852567,854316,851504,851008,849602,846135,846156,846001,849006,853039,858416,862573,867451,873335,874449,878081,881298,884548,887891,891667,895197,897142,897698,898848,897985
"09003","Hartford, CT","1","CA1","3","...","Per capita personal income (dollars) 2/",4848,5124,5280,5649,6182,6783,7331,7837,8611,9579,10801,12207,13496,14564,15432,17089,18183,19560,21137,22864,24927,25680,25689,27012,27704,28243,29107,30102,31879,33652,34798,37558,38748,38624,39448,41645,43471,46172,49206,50513,49877,50534,52427,54295,54410,56640
"09005","Litchfield, CT","1","CA1","1","...","Personal income (thousands of dollars)",664331,700763,752659,829654,918339,1001461,1080210,1188035,1323855,1481901,1665502,1903819,2130393,2282732,2406290,2723318,2925241,3171438,3527676,3842556,4215229,4302763,4297159,4588338,4789266,4952430,5185038,5436010,5821267,6154110,6480563,7012378,7264518,7242601,7465559,7768248,8009068,8579496,9011528,9328384,8966628,8958663,9327271,9812584,9725754,10099301
"09005","Litchfield, CT","1","CA1","2","...","Population (persons) 1/",141990,144428,145079,145915,147138,146215,148701,150150,149083,153720,155612,157234,158753,159431,160714,161025,162394,165087,167512,169822,172755,174462,175469,176261,177147,177588,178258,179236,179770,180506,181328,182597,184118,185974,187424,188601,188912,189682,189866,190175,190015,189742,188898,187415,186660,184993
"09005","Litchfield, CT","1","CA1","3","...","Per capita personal income (dollars) 2/",4679,4852,5188,5686,6241,6849,7264,7912,8880,9640,10703,12108,13420,14318,14972,16912,18013,19211,21059,22627,24400,24663,24490,26031,27036,27887,29087,30329,32382,34094,35739,38404,39456,38944,39832,41189,42396,45231,47463,49052,47189,47215,49377,52358,52104,54593
"09007","Middlesex, CT","1","CA1","1","...","Personal income (thousands of dollars)",509319,550178,585334,645157,718338,792677,864983,934157,1016021,1142765,1300595,1476660,1651254,1787369,1938976,2213878,2429660,2667186,2963498,3245578,3488511,3582254,3632800,3800539,3978702,4109576,4288294,4522511,4836878,5135235,5473362,5942309,6230876,6217818,6507564,7099520,7347285,7903575,8401314,8762067,8486242,8579260,8967042,9375179,9373150,9725552
"09007","Middlesex, CT","1","CA1","2","...","Population (persons) 1/",112020,115455,117094,119498,121975,124075,124892,125240,124713,126681,128363,129288,130091,130084,131028,133347,134191,135581,138446,140714,142431,143514,144146,144486,145617,146682,148119,148995,150377,151806,153340,155593,157006,159187,160864,161450,162191,163473,164129,164962,165607,165625,166195,165520,165389,164943
"09007","Middlesex, CT","1","CA1","3","...","Per capita personal income (dollars) 2/",4547,4765,4999,5399,5889,6389,6926,7459,8147,9021,10132,11421,12693,13740,14798,16602,18106,19672,21405,23065,24493,24961,25202,26304,27323,28017,28952,30353,32165,33828,35694,38191,39686,39060,40454,43973,45300,48348,51187,53116,51243,51799,53955,56641,56673,58963
