"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware state total","2","CA1","1","...","Personal income (thousands of dollars)",2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22096770,23258748,25249368,27048901,28114982,28988395,30958274,32598568,35002633,36065926,37404434,37125168,37593546,39540659,41027716,41468429,43391982
"10000","Delaware state total","2","CA1","2","...","Population (persons) 1/",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240,935614
"10000","Delaware state total","2","CA1","3","...","Per capita personal income (dollars) 2/",4529,4736,5047,5460,5988,6441,6878,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,28948,30012,32109,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378
"10001","Kent, DE","2","CA1","1","...","Personal income (thousands of dollars)",299107,329033,367127,408628,455873,509349,563053,606161,647083,713914,768096,838095,942119,1018692,1087062,1188082,1286004,1387137,1492768,1632851,1796538,1902385,2020914,2136521,2198920,2299580,2452555,2630924,2688653,2863987,3017716,3231922,3380904,3621849,3872663,4192957,4498127,4792092,5112843,5477785,5671846,5693778,5976342,6153524,6253852,6555078
"10001","Kent, DE","2","CA1","2","...","Population (persons) 1/",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162954,165214,167666,169562,171987
"10001","Kent, DE","2","CA1","3","...","Per capita personal income (dollars) 2/",3708,3982,4238,4565,5049,5596,6086,6417,6722,7266,7746,8528,9582,10266,10768,11733,12508,13247,14048,15265,16474,17041,17683,18469,18637,19318,20317,21663,21963,23086,24024,25402,26162,27475,28771,30091,31111,32010,33207,34686,35431,34941,36173,36701,36882,38114
"10003","New Castle, DE","2","CA1","1","...","Personal income (thousands of dollars)",1856571,1976329,2151689,2341069,2560821,2775759,2946850,3229035,3489570,3820034,4218105,4775270,5224063,5602589,5958825,6564982,7137405,7506897,8141422,8894927,9948219,10510948,11074788,11526831,12020862,12380146,13062980,13870749,14485482,15768670,16525026,17992654,19335634,20022771,20256106,21401054,22289739,23928113,24195578,24811277,24317305,24644145,25931738,26872298,26903328,28036655
"10003","New Castle, DE","2","CA1","2","...","Population (persons) 1/",379718,386875,394660,399024,401606,402466,404722,404630,404013,404245,402160,398528,399323,401475,404700,408235,411518,416660,422474,430684,437788,443784,450843,457210,462245,468297,474435,479995,485166,490382,496079,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,538873,542324,546021,549233,552778
"10003","New Castle, DE","2","CA1","3","...","Per capita personal income (dollars) 2/",4889,5108,5452,5867,6376,6897,7281,7980,8637,9450,10489,11982,13082,13955,14724,16081,17344,18017,19271,20653,22724,23685,24565,25211,26005,26437,27534,28898,29857,32156,33311,35854,38211,39248,39350,41240,42591,45389,45604,46467,45292,45733,47816,49215,48983,50720
"10005","Sussex, DE","2","CA1","1","...","Personal income (thousands of dollars)",289955,300865,333608,383608,450679,470676,539532,577902,612614,677935,735876,815610,910234,1004290,1117658,1242568,1382665,1537009,1635546,1790875,1972150,1989990,2142417,2264305,2327621,2522203,2707082,2993644,3188792,3464113,3716006,4024792,4332363,4470362,4859626,5364263,5810702,6282428,6757505,7115372,7136017,7255623,7632579,8001894,8311249,8800249
"10005","Sussex, DE","2","CA1","2","...","Population (persons) 1/",79614,80824,83919,85285,87186,89658,91513,93660,94544,95692,97504,98111,98334,98448,99806,102069,103943,106186,108209,109972,111434,114145,117949,122033,126146,130209,134584,139535,143902,148897,153300,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751,197904,200291,203194,206445,210849
"10005","Sussex, DE","2","CA1","3","...","Per capita personal income (dollars) 2/",3642,3722,3975,4498,5169,5250,5896,6170,6480,7085,7547,8313,9257,10201,11198,12174,13302,14475,15115,16285,17698,17434,18164,18555,18452,19370,20114,21454,22159,23265,24240,25586,27002,27227,28818,31094,32788,34445,36093,37061,36642,36662,38107,39381,40259,41737
"Note: See the included footnote file."
"CA1: Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Last updated: November 19, 2015-- new estimates for 2014; revised estimates for 1969-2013."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
