"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"12000","Florida state total","5","CA1","1","...","Personal income (thousands of dollars)",25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,418882513,439688731,474961685,500090273,517901250,542891664,592858059,647553954,705088925,733709568,741429592,699091341,729922656,774598825,798388291,809664740,850177746
"12000","Florida state total","5","CA1","2","...","Population (persons) 1/",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18852220,19107900,19355257,19600311,19893297
"12000","Florida state total","5","CA1","3","...","Per capita personal income (dollars) 2/",3789,4160,4464,4891,5398,5790,6160,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27048,27900,29597,30574,31032,31927,34042,36294,38812,39945,40018,37479,38718,40538,41249,41309,42737
"12001","Alachua, FL","5","CA1","1","...","Personal income (thousands of dollars)",300771,346653,397961,472674,553424,623446,696827,753700,828612,949436,1069081,1233368,1403281,1543262,1719091,1938997,2147234,2300307,2476175,2699202,2990218,3192199,3348283,3545230,3757088,3941950,4203452,4387823,4634773,4917933,5120254,5440836,5734714,5909908,6131449,6915100,7446889,8002192,8398160,8727909,8391109,8774192,9260550,9341357,9509954,9973968
"12001","Alachua, FL","5","CA1","2","...","Population (persons) 1/",100980,105140,108877,119784,125910,131232,132638,132788,137370,142724,146021,152223,155355,159113,161884,165452,169515,171732,174529,176874,179549,182723,188259,193494,197336,198919,203700,206601,210096,212707,215847,218611,221718,224614,227022,229867,233756,239506,242685,244888,246657,247680,249712,251713,253309,256380
"12001","Alachua, FL","5","CA1","3","...","Per capita personal income (dollars) 2/",2979,3297,3655,3946,4395,4751,5254,5676,6032,6652,7321,8102,9033,9699,10619,11719,12667,13395,14188,15261,16654,17470,17786,18322,19039,19817,20636,21238,22060,23121,23722,24888,25865,26311,27008,30083,31858,33411,34605,35640,34019,35426,37085,37111,37543,38903
"12003","Baker, FL","5","CA1","1","...","Personal income (thousands of dollars)",24108,26684,30140,36025,42954,47902,55483,61497,68406,78600,88430,100333,113235,130363,142688,161026,171722,185066,199319,218027,234658,252973,262766,276993,292340,306614,324593,345175,367016,386806,417974,445788,471419,500262,537072,575163,607391,626974,659128,678816,663764,681067,700839,703480,707581,734142
"12003","Baker, FL","5","CA1","2","...","Population (persons) 1/",9064,9304,9745,10544,11242,12367,12934,13250,14066,14569,15059,15389,15765,15985,16325,16400,16573,16959,17232,17618,18182,18594,19262,19567,19924,20034,20482,20965,21294,21232,21575,22374,22620,23298,23555,24142,24832,25571,26212,26725,27124,27072,27064,27041,27017,27093
"12003","Baker, FL","5","CA1","3","...","Per capita personal income (dollars) 2/",2660,2868,3093,3417,3821,3873,4290,4641,4863,5395,5872,6520,7183,8155,8740,9819,10362,10913,11567,12375,12906,13605,13642,14156,14673,15305,15848,16464,17236,18218,19373,19924,20841,21472,22801,23824,24460,24519,25146,25400,24471,25158,25896,26015,26190,27097
"12005","Bay, FL","5","CA1","1","...","Personal income (thousands of dollars)",229130,267351,296891,329261,375770,429269,481917,542196,588450,677576,746755,855667,979008,1075459,1184673,1339497,1469199,1588449,1662610,1800831,1952520,2117283,2273954,2430864,2603854,2702780,2929498,3082792,3237187,3405130,3527221,3671023,3963681,4177282,4487516,4866066,5318648,5677493,5914437,6097054,5918962,6189438,6430888,6406580,6500847,6888558
"12005","Bay, FL","5","CA1","2","...","Population (persons) 1/",73881,75685,78060,79749,81835,86559,89167,91847,93418,94759,97516,98318,100445,103904,106027,109256,113707,118149,121417,123857,125703,127323,130000,133432,137127,139636,142101,144826,146651,147011,148149,148393,150207,152741,155044,158804,162917,165644,165345,166267,167464,169294,169700,171994,174966,178985
"12005","Bay, FL","5","CA1","3","...","Per capita personal income (dollars) 2/",3101,3532,3803,4129,4592,4959,5405,5903,6299,7151,7658,8703,9747,10351,11173,12260,12921,13444,13693,14540,15533,16629,17492,18218,18989,19356,20616,21286,22074,23162,23809,24739,26388,27349,28943,30642,32646,34275,35770,36670,35345,36560,37896,37249,37155,38487
