"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii state total","8","CA1","1","...","Personal income (thousands of dollars)",3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32276378,33252800,35107972,36346822,38046865,39848922,43084829,46110790,49616959,52658521,55477851,55340365,56732435,59179393,61983952,62437294,65347949
"15000","Hawaii state total","8","CA1","2","...","Population (persons) 1/",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561
"15000","Hawaii state total","8","CA1","3","...","Per capita personal income (dollars) 2/",4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26560,27475,28931,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034
"15001","Hawaii, HI","8","CA1","1","...","Personal income (thousands of dollars)",227806,269994,303650,335243,371978,509574,508541,532631,585602,653264,744057,932942,942191,988432,1117214,1167533,1227686,1338353,1426822,1567464,1814191,2018456,2191880,2330440,2458554,2548794,2622851,2682866,2760090,2906491,3038689,3265140,3482038,3712168,3902053,4277587,4699065,5099384,5493405,5850057,5638330,5756548,5966240,6276535,6424990,6771329
"15001","Hawaii, HI","8","CA1","2","...","Population (persons) 1/",63104,63549,73508,69922,72856,73891,77212,80481,82610,85661,89069,92897,96122,98798,100764,103528,105900,108362,111735,113439,116585,121572,127266,131630,135085,137713,140492,141935,144445,145833,146970,149244,151690,154576,158442,162852,168237,173536,177733,181506,183629,185325,187039,188946,191409,194190
"15001","Hawaii, HI","8","CA1","3","...","Per capita personal income (dollars) 2/",3610,4249,4131,4795,5106,6896,6586,6618,7089,7626,8354,10043,9802,10005,11087,11277,11593,12351,12770,13818,15561,16603,17223,17704,18200,18508,18669,18902,19108,19930,20676,21878,22955,24015,24628,26267,27931,29385,30908,32231,30705,31062,31898,33219,33567,34870
"15003","Honolulu, HI","8","CA1","1","...","Personal income (thousands of dollars)",3135431,3638544,3930462,4332294,4792871,5278618,5834941,6279933,6764711,7504034,8379001,9404699,10281065,10824165,11836096,12743137,13551931,14307395,15231897,16640304,18424698,20002934,21057382,22662997,23387806,23828975,24281165,24204197,25019377,25225736,25816006,27146382,27961960,29153052,30513893,32841336,34968191,37484293,39637385,41729138,42131389,43178434,45060846,47044902,47255799,49313300
"15003","Honolulu, HI","8","CA1","2","...","Population (persons) 1/",603438,623756,633043,664830,683772,698033,707866,716911,734962,740505,753428,763820,767573,776075,789097,797791,804294,810444,818447,824072,831337,838534,850510,863959,870348,878591,881399,883443,886711,886909,878906,876629,882755,890473,894311,907997,918181,926954,925335,933680,943177,956336,966559,976746,987019,991788
"15003","Honolulu, HI","8","CA1","3","...","Per capita personal income (dollars) 2/",5196,5833,6209,6516,7009,7562,8243,8760,9204,10134,11121,12313,13394,13947,15000,15973,16849,17654,18611,20193,22163,23855,24759,26232,26872,27122,27548,27398,28216,28442,29373,30967,31676,32739,34120,36169,38084,40438,42836,44693,44670,45150,46620,48165,47877,49722
"15007","Kauai, HI","8","CA1","1","...","Personal income (thousands of dollars)",111917,121243,134832,143778,160941,219322,211674,227717,249885,275384,314123,390948,401135,433159,488344,505790,545959,592369,633047,753405,877961,957874,1042232,1129298,1182363,1207517,1260168,1255669,1278069,1298729,1347171,1441430,1483646,1564588,1638599,1799177,1932649,2085448,2254806,2369046,2314033,2369005,2475088,2600635,2670325,2830508
