"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"16000","Idaho state total","7","CA1","1","...","Personal income (thousands of dollars)",2370184,2617230,2860176,3266891,3779304,4443190,4778028,5354633,5850825,6737815,7390444,8316840,9171608,9563932,10362783,11083457,11634316,11902464,12490918,13524893,14924453,16159229,16984993,18678773,20486623,21919319,23555311,25056014,26166890,28408448,30266547,32821096,34418598,35419162,36853305,40102203,42583264,46916238,49596069,50408844,48796892,50339512,53126911,55599208,57483763,60040758
"16000","Idaho state total","7","CA1","2","...","Population (persons) 1/",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843,1634464
"16000","Idaho state total","7","CA1","3","...","Per capita personal income (dollars) 2/",3352,3649,3872,4280,4832,5499,5743,6248,6623,7396,7924,8773,9532,9822,10554,11186,11704,12020,12681,13722,15008,15962,16311,17429,18477,19141,20008,20827,21300,22684,23726,25258,26075,26425,27031,28813,29815,31945,32952,32854,31392,32050,33544,34846,35641,36734
"16001","Ada, ID","7","CA1","1","...","Personal income (thousands of dollars)",446379,506008,571579,647044,737025,850338,996367,1141135,1305658,1525933,1690903,1879808,2074555,2210376,2357176,2603307,2804982,2899147,3087358,3410760,3777615,4113620,4446218,5027673,5630209,6347704,6924024,7310980,7705985,8475991,9313171,10571511,10877082,11349239,11796559,12885912,13591462,15421966,15746801,15338708,14980656,15510568,16085278,17027273,17664752,18642514
"16001","Ada, ID","7","CA1","2","...","Population (persons) 1/",110299,112998,117830,123135,129727,135542,141060,147335,154515,162278,168779,174090,177613,180481,182911,186280,189811,191039,192926,195508,200950,207722,216798,225266,236477,247225,256860,266290,274325,284946,294292,303328,313896,321616,327393,334926,348755,363498,375368,382618,388577,393412,401100,408891,416556,426236
"16001","Ada, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",4047,4478,4851,5255,5681,6274,7063,7745,8450,9403,10018,10798,11680,12247,12887,13975,14778,15176,16003,17446,18799,19803,20509,22319,23809,25676,26956,27455,28091,29746,31646,34852,34652,35288,36032,38474,38971,42427,41950,40089,38553,39426,40103,41643,42407,43738
"16003","Adams, ID","7","CA1","1","...","Personal income (thousands of dollars)",11103,10879,11949,13911,15133,18169,19508,22645,23169,27097,29803,30200,31816,33229,35438,40341,39370,37280,40844,44091,44980,44925,46168,50394,54608,57208,58232,60514,64914,69951,72708,77448,77708,82394,87231,95872,100324,108288,110796,114651,109976,110535,117343,122421,125607,131272
"16003","Adams, ID","7","CA1","2","...","Population (persons) 1/",2872,2880,2880,3006,3088,3174,3169,3090,3244,3341,3370,3333,3276,3237,3315,3413,3372,3380,3196,3321,3223,3257,3306,3457,3583,3692,3676,3693,3572,3531,3517,3477,3495,3559,3624,3693,3817,3788,3949,4021,4000,3956,3982,3908,3831,3861
"16003","Adams, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",3866,3777,4149,4628,4901,5724,6156,7328,7142,8110,8844,9061,9712,10265,10690,11820,11676,11030,12780,13276,13956,13793,13965,14577,15241,15495,15841,16386,18173,19811,20673,22274,22234,23151,24070,25960,26283,28587,28057,28513,27494,27941,29468,31326,32787,33999
"16005","Bannock, ID","7","CA1","1","...","Personal income (thousands of dollars)",162013,178517,195453,218976,242803,285332,326774,384377,422574,477979,528267,572352,619640,656371,695680,731753,787263,783408,801705,835210,897286,947582,1012527,1100369,1183916,1244252,1307942,1375797,1436229,1519737,1568057,1638415,1735189,1817019,1904020,2040991,2143672,2264358,2349488,2382285,2351333,2399735,2502473,2533585,2580665,2672358
"16005","Bannock, ID","7","CA1","2","...","Population (persons) 1/",51477,52301,53234,54256,54619,56204,57076,60045,62378,63821,64871,65650,66486,67081,67307,67114,67051,67043,66140,65588,65869,66258,67338,69173,70770,72468,73603,74026,74635,74864,75527,75728,76296,76487,76312,76834,77419,78491,79338,80609,81994,83000,83562,83741,83322,83347
"16005","Bannock, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",3147,3413,3672,4036,4445,5077,5725,6401,6774,7489,8143,8718,9320,9785,10336,10903,11741,11685,12121,12734,13622,14301,15036,15907,16729,17170,17770,18585,19243,20300,20762,21636,22743,23756,24950,26564,27689,28849,29614,29554,28677,28912,29948,30255,30972,32063
"16007","Bear Lake, ID","7","CA1","1","...","Personal income (thousands of dollars)",16081,16191,17064,19014,22732,25727,28517,33670,35878,41579,43202,53474,57170,57485,57777,58574,58563,56854,57897,62953,64737,67939,70401,78147,83369,82480,90672,92562,97921,105775,107859,110464,124207,121747,128893,135156,142908,144786,158728,169834,171529,174582,183177,198306,204799,213509
"16007","Bear Lake, ID","7","CA1","2","...","Population (persons) 1/",5787,5816,5803,5682,5766,5820,6235,6626,6806,6781,6855,6973,7138,7385,7311,7089,6896,6645,6347,6065,6096,6082,6094,6239,6302,6310,6459,6375,6384,6345,6390,6424,6394,6219,6219,6170,6077,6071,6049,6027,6014,5968,5952,5889,5937,5957
"16007","Bear Lake, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",2779,2784,2941,3346,3942,4420,4574,5081,5272,6132,6302,7669,8009,7784,7903,8263,8492,8556,9122,10380,10620,11171,11553,12526,13229,13071,14038,14520,15339,16671,16879,17196,19426,19577,20726,21905,23516,23849,26240,28179,28522,29253,30776,33674,34495,35842
"16009","Benewah, ID","7","CA1","1","...","Personal income (thousands of dollars)",19611,21144,22755,26628,23403,37214,37998,44221,46980,54582,61625,68119,77794,71151,84542,90354,90629,88887,88481,99867,104932,111686,117148,129741,137993,147360,155243,167616,171218,172995,179933,187803,203735,198531,202903,215935,223722,237519,253144,252987,245050,267167,275560,278352,281072,289996
"16009","Benewah, ID","7","CA1","2","...","Population (persons) 1/",6193,6259,6431,6569,6573,6923,7040,7426,7595,7723,7845,8314,8393,8378,8438,8607,8532,8571,8311,7995,7990,7944,8013,8084,8277,8566,8795,8943,8991,9116,9092,9186,8968,8917,8901,8907,9053,9260,9296,9385,9286,9287,9168,9125,9049,9118
"16009","Benewah, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",3167,3378,3538,4054,3560,5375,5397,5955,6186,7067,7855,8193,9269,8493,10019,10498,10622,10371,10646,12491,13133,14059,14620,16049,16672,17203,17651,18743,19043,18977,19790,20444,22718,22264,22796,24243,24712,25650,27231,26957,26389,28768,30057,30504,31061,31805
"16011","Bingham, ID","7","CA1","1","...","Personal income (thousands of dollars)",93107,97956,102068,112945,140524,171327,168108,181193,191021,226169,241271,267118,307426,315455,352084,363984,384193,384902,407686,427110,482911,548503,560672,601483,633335,634812,667024,716385,703468,744238,781514,836758,865987,911201,899631,960733,983006,1116838,1206761,1314596,1305245,1327767,1428571,1439631,1475512,1456132
"16011","Bingham, ID","7","CA1","2","...","Population (persons) 1/",28889,29251,29611,30385,30505,31312,32112,33288,34396,35894,36376,36626,37131,37516,37746,38349,38290,37970,38160,37858,37584,37603,38360,39505,40184,40621,40648,40852,41072,41413,41550,41753,42073,42101,42555,42702,43173,43396,43816,44414,45087,45736,45884,45493,45408,45269
"16011","Bingham, ID","7","CA1","3","...","Per capita personal income (dollars) 2/",3223,3349,3447,3717,4607,5472,5235,5443,5554,6301,6633,7293,8279,8409,9328,9491,10034,10137,10684,11282,12849,14587,14616,15225,15761,15628,16410,17536,17128,17971,18809,20041,20583,21643,21140,22499,22769,25736,27542,29599,28949,29031,31134,31645,32495,32166
"16013","Blaine, ID","7","CA1","1","...","Personal income (thousands of dollars)",22422,25411,29127,35427,42496,49339,54249,66986,71803,87835,100698,114540,135572,144889,151283,172021,187314,197941,211744,242835,284960,331592,352073,391869,436162,486675,570955,635583,696961,776200,830525,928393,963625,950112,1016257,1185110,1295272,1480206,1523323,1641303,1398757,1310524,1454856,1623347,1713190,1795315
"16013","Blaine, ID","7","CA1","2","...","Population (persons) 1/",5694,5815,6170,6624,7252,7737,8448,8844,9347,8737,9925,9937,10310,11256,11579,11993,12159,12153,12716,12661,12920,13791,14458,15081,15669,16501,17108,17707,18081,18265,18521,19115,19755,20189,20557,20811,20897,21082,21169,21477,21590,21295,21104,21140,21322,21482
