"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois state total","3","CA1","1","...","Personal income (thousands of dollars)",48573584,51639877,55448181,60156806,67032643,73316761,80076194,86911427,95536857,105451880,115662707,125267355,138797538,146883163,153272385,168779744,177588231,186842150,197670677,212990719,226785013,240750225,245973750,266535770,275770452,290484504,308423705,328069414,346357612,366677466,381400089,409650174,421549095,426752583,434774151,454822359,475288066,508525494,537795638,556031689,531433218,541261128,569680879,593049235,599118968,613671539
"17000","Illinois state total","3","CA1","2","...","Population (persons) 1/",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552,12880580
"17000","Illinois state total","3","CA1","3","...","Per capita personal income (dollars) 2/",4400,4642,4948,5343,5953,6503,7082,7650,8376,9222,10126,10955,12129,12858,13435,14790,15578,16408,17353,18699,19876,21020,21262,22792,23351,24385,25684,27109,28423,29880,30860,32946,33755,34071,34627,36126,37692,40219,42360,43620,41529,42154,44303,46067,46477,47643
"17001","Adams, IL","3","CA1","1","...","Personal income (thousands of dollars)",255193,272135,303533,335334,386628,401466,448456,475749,512389,559126,625346,664455,736060,796291,807375,871202,892003,916559,946876,1013428,1058941,1104558,1133165,1221428,1249972,1340262,1405363,1486973,1544286,1609468,1619865,1715702,1770756,1786747,1888126,1984022,1980976,2058254,2180464,2328158,2314904,2377940,2481067,2602554,2616254,2631652
"17001","Adams, IL","3","CA1","2","...","Population (persons) 1/",70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67162,67172,67199,67046,66988
"17001","Adams, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3602,3849,4304,4664,5315,5521,6201,6613,7188,7805,8774,9282,10320,11188,11470,12535,13013,13598,14169,15196,15958,16708,16992,18252,18502,19596,20476,21651,22474,23434,23672,25163,26035,26363,28069,29693,29602,30672,32572,34778,34531,35406,36936,38729,39022,39285
"17003","Alexander, IL","3","CA1","1","...","Personal income (thousands of dollars)",30438,32257,36248,38471,41804,49112,57595,62194,66682,68423,75801,80758,89382,97305,104399,108447,115764,109949,112269,115963,126440,123104,129692,139019,140137,141511,146356,154251,158792,158836,160455,165446,167418,164143,166462,171600,172160,173418,179725,196172,206261,215581,208820,206512,213195,215368
"17003","Alexander, IL","3","CA1","2","...","Population (persons) 1/",12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,8013,7750,7643,7492
"17003","Alexander, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",2446,2686,2978,3140,3396,4061,4653,4879,5282,5600,6170,6576,7253,8071,8738,9079,9914,9632,9899,10412,11733,11637,12330,13301,13652,14076,14652,15598,16440,16490,16678,17084,17454,17112,17988,18681,19313,19865,21016,23185,24866,26271,26060,26647,27894,28746
"17005","Bond, IL","3","CA1","1","...","Personal income (thousands of dollars)",45595,48594,53459,61246,72975,76101,91088,98157,108747,115916,129661,131256,150056,156648,157584,178312,180463,188143,195306,206776,219406,223535,227306,255465,269426,295210,307201,329694,349699,366862,394146,418831,432551,432610,446434,478305,467508,478461,490620,515791,511995,518498,539322,544207,552228,569315
"17005","Bond, IL","3","CA1","2","...","Population (persons) 1/",14056,14047,14411,14950,15265,15544,15573,15838,15975,15667,16230,16282,16489,16132,15932,15748,15599,15538,15503,15321,15004,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17773,17731,17621,17461,17269
"17005","Bond, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3244,3459,3710,4097,4781,4896,5849,6198,6807,7399,7989,8061,9100,9710,9891,11323,11569,12109,12598,13496,14623,14876,14989,16751,17500,18363,17965,19094,20123,20859,22482,23718,24596,24393,24857,26424,25990,26575,27141,28789,28850,29173,30417,30884,31626,32967
"17007","Boone, IL","3","CA1","1","...","Personal income (thousands of dollars)",107011,114228,127922,136761,155186,166088,185764,197687,209055,245092,272236,281428,316019,321795,344425,402716,436928,465422,479343,535599,561091,582214,592953,654758,698859,791557,864060,927878,984537,1058462,1164646,1189789,1213200,1258099,1297944,1339141,1481529,1880564,2033208,1908301,1835669,1862866,1986959,2067721,2082138,2121214
"17007","Boone, IL","3","CA1","2","...","Population (persons) 1/",24986,25427,25643,26392,27038,27383,27413,27625,28038,28686,29238,28750,29179,29213,29133,29175,29483,29629,29641,30111,30361,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54144,54223,53880,53910,53869
"17007","Boone, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",4283,4492,4989,5182,5740,6065,6776,7156,7456,8544,9311,9789,10830,11015,11823,13803,14820,15708,16172,17787,18481,18793,18640,19901,20595,22444,23575,24446,25340,26552,28514,28293,28070,28218,28069,27961,29794,36306,37995,35201,33897,34406,36644,38376,38622,39377
"17009","Brown, IL","3","CA1","1","...","Personal income (thousands of dollars)",16991,18355,20485,24327,29342,29022,36131,34918,37474,42543,47175,44795,53923,57004,54477,63340,65714,66652,66590,62288,71417,68396,70443,80962,85085,89960,92068,102405,105679,112079,107040,115411,123020,118913,128607,143597,135149,136953,143113,150438,158641,167064,169790,177304,197910,182056
"17009","Brown, IL","3","CA1","2","...","Population (persons) 1/",5662,5608,5769,5577,5541,5551,5618,5674,5645,5446,5531,5450,5601,5588,5726,5821,5736,5615,5676,5659,5761,5851,6171,6225,6155,6347,6401,6765,6815,6922,6948,6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,6911,6877,6912,6857,6832
"17009","Brown, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3001,3273,3551,4362,5295,5228,6431,6154,6638,7812,8529,8219,9627,10201,9514,10881,11456,11870,11732,11007,12397,11690,11415,13006,13824,14174,14383,15137,15507,16192,15406,16542,17615,17172,18380,20608,19539,19920,20944,21815,22783,24174,24690,25652,28862,26648
"17011","Bureau, IL","3","CA1","1","...","Personal income (thousands of dollars)",151034,152521,162657,179055,214912,230186,274613,284957,294354,341312,371948,366664,449216,461566,439012,517675,540495,524489,543976,540609,580328,597947,622288,692368,698079,739230,717981,785922,808203,813873,838280,924795,975050,1008674,1011851,1087560,1057593,1075069,1150265,1225894,1194763,1194620,1293885,1276967,1381910,1305415
"17011","Bureau, IL","3","CA1","2","...","Population (persons) 1/",38567,38246,37273,37055,37803,37722,37836,37887,38232,38642,38537,39204,39501,38790,38399,38058,37704,37127,36625,36234,35805,35690,35723,35762,36036,36043,36023,35814,35884,35621,35527,35456,35181,35057,35080,34951,34977,35183,35153,35078,35058,34905,34640,34337,34084,33840
"17011","Bureau, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3916,3988,4364,4832,5685,6102,7258,7521,7699,8833,9652,9353,11372,11899,11433,13602,14335,14127,14853,14920,16208,16754,17420,19360,19372,20510,19931,21945,22523,22848,23596,26083,27715,28772,28844,31117,30237,30556,32722,34948,34080,34225,37352,37189,40544,38576
"17013","Calhoun, IL","3","CA1","1","...","Personal income (thousands of dollars)",17459,19992,18981,21673,26446,27738,33665,35674,38046,42241,45152,45476,49472,50214,51397,61746,61643,65902,69456,69996,80050,81282,75291,85295,89145,88498,91844,102624,107894,113205,111904,118097,118765,118319,127607,139064,142233,148122,156953,170564,167557,166999,173560,170504,173885,176970
"17013","Calhoun, IL","3","CA1","2","...","Population (persons) 1/",5717,5639,5536,5620,5686,5681,5773,5833,5942,5721,5822,5881,5928,5739,5699,5704,5551,5498,5380,5423,5325,5340,5311,5243,5271,5122,5074,5146,5155,5092,5093,5086,5045,4987,5122,5138,5163,5174,5160,5084,5082,5079,5067,5022,5042,4956
"17013","Calhoun, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3054,3545,3429,3856,4651,4883,5831,6116,6403,7383,7755,7733,8345,8750,9019,10825,11105,11987,12910,12907,15033,15221,14176,16268,16912,17278,18101,19942,20930,22232,21972,23220,23541,23725,24914,27066,27549,28628,30417,33549,32971,32880,34253,33951,34487,35708
"17015","Carroll, IL","3","CA1","1","...","Personal income (thousands of dollars)",78367,81943,89111,99863,107916,113863,126408,135010,130065,139546,157502,157601,182082,200020,195053,240965,268239,267088,257625,259732,271326,278716,281748,313813,317913,350749,346754,376506,387066,426935,417744,426419,435076,425154,443591,447950,452770,474519,520856,538772,524718,532874,585287,567212,610262,581879
"17015","Carroll, IL","3","CA1","2","...","Population (persons) 1/",19356,19218,19123,19548,19432,19311,19555,19264,19255,19291,19086,18809,18901,18548,18342,18058,17801,17485,17153,17006,16936,16800,16646,16618,16670,16843,16857,16925,16945,16959,16813,16611,16405,16312,16267,16102,15914,15866,15734,15638,15476,15364,15185,15003,14868,14715
"17015","Carroll, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",4049,4264,4660,5109,5554,5896,6464,7008,6755,7234,8252,8379,9633,10784,10634,13344,15069,15275,15019,15273,16021,16590,16926,18884,19071,20825,20570,22246,22842,25175,24846,25671,26521,26064,27269,27820,28451,29908,33104,34453,33905,34683,38544,37807,41045,39543
"17017","Cass, IL","3","CA1","1","...","Personal income (thousands of dollars)",54528,57265,61492,68699,80654,85613,95980,97825,101618,118396,125527,126671,152226,159517,156215,169258,172434,179304,186709,169986,202147,212305,219739,239395,240375,255968,255473,284931,302566,314839,318916,331823,341776,329591,351247,375454,364548,365641,387974,427082,429625,439627,464512,449174,501690,486122
"17017","Cass, IL","3","CA1","2","...","Population (persons) 1/",14295,14232,14438,14644,14615,14618,14649,14948,15018,14779,14529,15092,15100,14785,14662,14434,14223,13891,13631,13562,13470,13447,13511,13450,13421,13553,13544,13612,13652,13735,13795,13675,13677,13549,13674,13640,13670,13611,13699,13660,13623,13639,13647,13422,13335,13156
"17017","Cass, IL","3","CA1","3","...","Per capita personal income (dollars) 2/",3814,4024,4259,4691,5519,5857,6552,6544,6766,8011,8640,8393,10081,10789,10654,11726,12124,12908,13697,12534,15007,15788,16264,17799,17910,18886,18862,20932,22163,22922,23118,24265,24989,24326,25687,27526,26668,26864,28321,31265,31537,32233,34038,33466,37622,36951
