"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"21000","Kentucky state total","5","CA1","1","...","Personal income (thousands of dollars)",9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89445902,93433708,101038353,104686131,107073047,109914199,116279798,122014992,129093847,134861763,141364052,139231485,143443621,151109243,156990191,158238045,165044051
"21000","Kentucky state total","5","CA1","2","...","Population (persons) 1/",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349838,4370038,4383465,4399583,4413457
"21000","Kentucky state total","5","CA1","3","...","Per capita personal income (dollars) 2/",3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22443,23253,24954,25733,26180,26697,28046,29171,30596,31682,32953,32251,32977,34578,35814,35967,37396
"21001","Adair, KY","5","CA1","1","...","Personal income (thousands of dollars)",27811,29823,34108,38259,43230,48408,49844,56590,62884,70295,79905,88991,101046,110649,113314,132225,137892,141492,146500,158865,172189,186899,198474,219035,225720,235434,243140,262528,272888,272077,277473,311945,328285,325689,325768,346277,366617,383340,402225,427512,433423,449484,464908,472100,474450,500027
"21001","Adair, KY","5","CA1","2","...","Population (persons) 1/",13176,13125,13611,14345,14415,14583,14696,14794,15079,15039,15135,15273,15397,15438,15296,15761,15613,15560,15220,15410,15320,15387,15553,15766,16009,16233,16564,16782,16895,16942,17054,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729,18871,18979,18971,19135,19204
"21001","Adair, KY","5","CA1","3","...","Per capita personal income (dollars) 2/",2111,2272,2506,2667,2999,3319,3392,3825,4170,4674,5279,5827,6563,7167,7408,8389,8832,9093,9625,10309,11239,12147,12761,13893,14100,14503,14679,15643,16152,16059,16270,18003,18670,18336,18175,19244,20224,20908,21750,23058,23142,23819,24496,24885,24795,26038
"21003","Allen, KY","5","CA1","1","...","Personal income (thousands of dollars)",28576,31522,35374,39685,45911,47738,52794,61195,69386,80657,90428,97849,111190,115290,116600,136221,142108,136602,141058,150875,159536,165610,178998,195529,214621,239075,252979,271697,296119,320606,339402,373945,395944,404817,410549,436268,456812,487627,500634,530470,524443,548848,594172,641219,645966,687691
"21003","Allen, KY","5","CA1","2","...","Population (persons) 1/",12562,12634,12919,12960,13148,13458,13699,13581,13634,13686,13794,14116,14034,13917,14025,14319,14337,14264,14234,14199,14377,14723,14803,15090,15374,15754,16091,16375,16768,17243,17658,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811,20040,20170,20231,20269,20384
"21003","Allen, KY","5","CA1","3","...","Per capita personal income (dollars) 2/",2275,2495,2738,3062,3492,3547,3854,4506,5089,5893,6556,6932,7923,8284,8314,9513,9912,9577,9910,10626,11097,11248,12092,12958,13960,15176,15722,16592,17660,18593,19221,20985,22062,22219,22271,23331,24157,25302,25621,26740,26472,27388,29458,31695,31870,33737
"21005","Anderson, KY","5","CA1","1","...","Personal income (thousands of dollars)",29832,31230,35551,40425,45250,51329,54117,60681,69893,78683,89184,101409,114841,127764,135782,152059,159005,168122,181114,195453,215724,230982,242190,268879,283838,306875,331170,355180,386074,417149,437138,473161,490234,495300,501286,523443,559342,594473,627552,659740,657353,678822,704085,728328,744105,776499
