"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"22000","Louisiana state total","5","CA1","1","...","Personal income (thousands of dollars)",10705734,11584384,12625010,13808857,15400759,17504388,19685104,22198032,24785106,28369392,32215513,37068679,42736140,45907722,47839547,50914162,52996795,53025000,53216629,56162777,59669915,64267316,67719711,72590741,76204711,81218487,85205189,88954302,93605316,97900408,99953944,105401374,112487599,115334942,118759762,125059934,134131874,143050714,156895483,167924362,163264223,169219327,176202222,186615842,188964765,195426167
"22000","Louisiana state total","5","CA1","2","...","Population (persons) 1/",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4545581,4575972,4604744,4629284,4649676
"22000","Louisiana state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2958,3174,3402,3671,4065,4581,5064,5617,6172,6965,7783,8778,9977,10547,10884,11570,12023,12032,12250,13095,14030,15224,15922,16909,17655,18682,19459,20222,21173,22048,22407,23570,25121,25646,26268,27472,29308,33247,35857,37858,36348,37227,38506,40527,40819,42030
"22001","Acadia, LA","5","CA1","1","...","Personal income (thousands of dollars)",113128,124012,133343,147858,182081,206679,231594,235246,266329,295048,344274,401342,475273,544422,551976,569873,596195,566987,538166,585837,610304,656860,698387,732615,791230,842059,891667,930416,1009639,1079783,1069952,1141344,1285187,1304039,1336189,1371360,1530219,1636135,1718525,2019882,1973823,1995518,2154313,2305931,2429544,2500883
"22001","Acadia, LA","5","CA1","2","...","Population (persons) 1/",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61861,61766,61873,62169,62486
"22001","Acadia, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2182,2377,2540,2810,3451,3923,4359,4375,4950,5426,6214,7087,8288,9297,9334,9699,10102,9581,9227,10217,10748,11784,12419,13000,13909,14775,15515,16024,17342,18458,18208,19412,21841,22078,22573,23156,25708,27034,28283,33051,32120,32258,34879,37269,39080,40023
"22003","Allen, LA","5","CA1","1","...","Personal income (thousands of dollars)",45422,50061,56956,59496,71379,75489,79154,85600,95913,106533,123172,134424,148778,152130,160431,166145,174149,175557,175594,187340,199135,213478,232072,247603,267339,285139,328774,340557,357648,376008,396961,414129,445675,459475,485654,515025,544939,583928,623999,689649,716603,699865,716117,738751,755506,771827
"22003","Allen, LA","5","CA1","2","...","Population (persons) 1/",20681,20811,21006,21103,20768,20560,20662,20748,20918,21039,21160,21391,21288,21709,21710,21514,21577,21659,22592,21174,21384,21232,21968,22822,23510,23792,24246,24687,24605,25114,25364,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863,25743,25750,25613,25635,25713
"22003","Allen, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2196,2406,2711,2819,3437,3672,3831,4126,4585,5064,5821,6284,6989,7008,7390,7723,8071,8105,7772,8848,9312,10055,10564,10849,11371,11985,13560,13795,14536,14972,15651,16304,17547,18237,19175,20326,21731,22728,24058,26675,27708,27187,27810,28843,29472,30017
"22005","Ascension, LA","5","CA1","1","...","Personal income (thousands of dollars)",100036,105496,114861,128140,142866,176873,203981,263211,282353,324167,376930,435621,494757,526598,568776,617655,649409,644313,656308,729504,789285,874779,938606,1050944,1117332,1211834,1306353,1397171,1489388,1605761,1710501,1851074,1995917,2201019,2296913,2482536,2911190,3370568,3760207,4310031,4315912,4583933,5001828,5428441,5633925,5937682
"22005","Ascension, LA","5","CA1","2","...","Population (persons) 1/",36588,37186,38026,39530,39953,40599,41503,42966,44613,46307,48220,50424,51758,53056,55231,57257,57975,58703,58600,57270,57585,58408,59447,60829,62219,64216,66138,68093,70505,72272,74662,77335,79210,81379,83967,86352,89741,96421,100132,102891,105172,107863,110041,112173,114432,117029
"22005","Ascension, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2734,2837,3021,3242,3576,4357,4915,6126,6329,7000,7817,8639,9559,9925,10298,10787,11202,10976,11200,12738,13706,14977,15789,17277,17958,18871,19752,20519,21125,22218,22910,23936,25198,27047,27355,28749,32440,34957,37553,41889,41037,42498,45454,48393,49234,50737
"22007","Assumption, LA","5","CA1","1","...","Personal income (thousands of dollars)",42532,46422,53259,60333,71374,94012,90205,102367,111520,129493,143268,173144,206381,216755,212087,223463,239033,223084,210844,223538,247174,273628,288116,300986,312791,334065,361849,386061,433471,447767,434349,455585,544597,572306,589118,610965,553416,612766,702407,754319,722375,755788,795716,844679,865778,907163
"22007","Assumption, LA","5","CA1","2","...","Population (persons) 1/",19517,19701,19948,20178,20359,20412,20568,20733,20910,21213,21741,22228,22765,23542,23800,23534,23637,23547,23047,22804,22924,22704,22665,22628,22658,22685,22873,22812,22986,23173,23372,23324,23194,23210,23262,23319,23199,23477,23543,23534,23508,23360,23187,23073,23196,23034
"22007","Assumption, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2179,2356,2670,2990,3506,4606,4386,4937,5333,6104,6590,7789,9066,9207,8911,9495,10113,9474,9148,9803,10782,12052,12712,13301,13805,14726,15820,16924,18858,19323,18584,19533,23480,24658,25325,26200,23855,26101,29835,32052,30729,32354,34317,36609,37324,39384
"22009","Avoyelles, LA","5","CA1","1","...","Personal income (thousands of dollars)",72804,78769,86310,95032,105810,125814,133004,153301,167153,196382,212473,238973,275123,293464,322439,335393,353392,340129,337929,359816,375280,414898,433073,480721,501659,565743,596884,622768,656324,660777,710173,724818,788043,802699,842564,892322,949407,1030757,1115803,1205468,1251592,1283539,1330828,1397411,1393063,1402514
"22009","Avoyelles, LA","5","CA1","2","...","Population (persons) 1/",37760,37817,38284,38217,38702,38929,39412,39884,40385,40874,41334,41426,41482,42113,42217,42243,42159,42162,41409,40435,39688,39121,39041,39246,39839,39953,40387,40847,41071,41253,41373,41459,41274,41233,41446,41271,41036,42080,41809,42040,42034,42110,41836,41602,41327,41145
"22009","Avoyelles, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",1928,2083,2254,2487,2734,3232,3375,3844,4139,4805,5140,5769,6632,6968,7638,7940,8382,8067,8161,8899,9456,10606,11093,12249,12592,14160,14779,15246,15980,16018,17165,17483,19093,19467,20329,21621,23136,24495,26688,28674,29776,30481,31811,33590,33708,34087
"22011","Beauregard, LA","5","CA1","1","...","Personal income (thousands of dollars)",58241,68760,77608,87447,99056,111113,125360,136089,156368,183478,215110,236174,259178,279305,306983,316612,331931,342602,351713,359169,377252,411837,438186,465315,488398,514363,537553,556159,572537,597136,623277,645515,683801,720180,771427,838412,885746,954504,1047715,1179347,1199304,1258067,1343119,1354332,1369151,1397405
"22011","Beauregard, LA","5","CA1","2","...","Population (persons) 1/",22642,22924,23227,24134,24564,25340,26561,27557,28214,29059,29304,29836,30363,30845,31385,31570,31754,31705,31875,31032,30438,30061,30792,31113,31326,31585,31765,31895,32147,32334,32649,32979,33001,33000,33221,33614,34130,34510,34623,34893,35142,35824,36046,36254,36223,36198
"22011","Beauregard, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2572,2999,3341,3623,4033,4385,4720,4938,5542,6314,7341,7916,8536,9055,9781,10029,10453,10806,11034,11574,12394,13700,14231,14956,15591,16285,16923,17437,17810,18468,19090,19574,20721,21824,23221,24942,25952,27659,30261,33799,34127,35118,37261,37357,37798,38604
"22013","Bienville, LA","5","CA1","1","...","Personal income (thousands of dollars)",35515,38163,40780,45346,50787,54983,60143,66896,74056,83860,94668,108336,124607,135258,142134,151023,157974,161975,158537,169320,177014,187973,201497,216378,226934,241528,251156,253015,254678,266630,276407,283243,310868,316376,324818,340106,351942,357013,371718,408880,419619,449099,457091,457604,466053,478979
"22013","Bienville, LA","5","CA1","2","...","Population (persons) 1/",16069,15980,15756,15572,15540,15845,16142,16114,16190,16332,16282,16416,16502,16382,16547,16510,16722,16786,16726,16353,16196,16212,16163,16096,16197,16242,16001,15989,15946,15889,15813,15717,15400,15279,15077,15017,14852,14773,14699,14494,14435,14334,14234,14163,13995,13885
"22013","Bienville, LA","5","CA1","3","...","Per capita personal income (dollars) 2/",2210,2388,2588,2912,3268,3470,3726,4151,4574,5135,5814,6599,7551,8257,8590,9147,9447,9649,9478,10354,10929,11595,12467,13443,14011,14871,15696,15824,15971,16781,17480,18021,20186,20707,21544,22648,23697,24167,25289,28210,29070,31331,32113,32310,33301,34496
"22015","Bossier, LA","5","CA1","1","...","Personal income (thousands of dollars)",196181,219010,234437,255272,282295,329108,369198,407332,452054,516973,592286,692943,785035,862715,930744,1003953,1065259,1102514,1125676,1168356,1224007,1343550,1404563,1530288,1623931,1739054,1848192,1917217,1990409,2070089,2196825,2332813,2456964,2631260,2789932,2997780,3282636,3578714,3825438,4275542,4155483,4421724,4783428,4865227,4853263,5038405
