"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland state total","2","CA1","1","...","Personal income (thousands of dollars)",17270064,19210265,21174070,23219752,25571575,27927911,30272447,32913004,35682786,39666413,43606569,48538857,53951891,58495108,62780435,69611724,75637475,81682411,88108956,96766594,104489827,110720316,114751265,120564540,125464844,131220905,136887889,143275374,151291853,162850990,172886223,187715923,197891287,205228840,214373874,229818315,242154652,258320825,269713692,280305819,279294476,287571318,302712263,312724325,312053581,323778035
"24000","Maryland state total","2","CA1","2","...","Population (persons) 1/",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407
"24000","Maryland state total","2","CA1","3","...","Per capita personal income (dollars) 2/",4465,4878,5264,5690,6223,6757,7282,7889,8507,9418,10325,11481,12659,13658,14555,15947,17139,18204,19299,20775,22103,23068,23574,24488,25235,26124,26999,28027,29335,31291,32902,35345,36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176
"24001","Allegany, MD","2","CA1","1","...","Personal income (thousands of dollars)",265169,290851,312269,335210,364058,396195,427614,455287,500359,543468,596762,656881,712005,759259,800377,844939,886256,900198,962529,1019697,1093545,1150538,1185580,1215401,1248286,1289181,1327995,1369450,1423545,1459580,1503938,1574438,1665733,1709062,1784056,1860879,1932626,2000199,2079862,2235155,2312318,2376379,2463905,2499157,2534509,2622134
"24001","Allegany, MD","2","CA1","2","...","Population (persons) 1/",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74988,74527,73883,73531,72952
"24001","Allegany, MD","2","CA1","3","...","Per capita personal income (dollars) 2/",3149,3463,3711,3952,4333,4710,5167,5556,6144,6729,7358,8152,8837,9532,10162,10906,11614,11857,12754,13519,14543,15350,15744,16117,16578,17143,17606,18227,18902,19320,19976,21048,22351,23032,24084,25009,26124,27037,27937,29947,30789,31690,33061,33826,34469,35943
"24003","Anne Arundel, MD","2","CA1","1","...","Personal income (thousands of dollars)",1260049,1387422,1550811,1719336,1949548,2174612,2410143,2678214,2987902,3426418,3874955,4441471,4900853,5314336,5727295,6352389,6892437,7469425,7924867,8694720,9406045,9938007,10345172,11033987,11659845,12311494,13009258,13777540,14686271,15934014,17030686,18737290,19891324,20521416,21301150,23736734,25133494,26522672,27645839,28409994,28415547,29262129,31156161,32157985,32206809,33369315
"24003","Anne Arundel, MD","2","CA1","2","...","Population (persons) 1/",291264,299825,309046,316608,330647,334752,345613,353988,361062,365603,368971,372415,378219,382453,385375,389989,396028,403532,412139,418047,423564,428877,434344,440836,448583,456499,463022,467286,472356,477749,484800,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,539174,544976,550715,556348,560133
"24003","Anne Arundel, MD","2","CA1","3","...","Per capita personal income (dollars) 2/",4326,4627,5018,5430,5896,6496,6974,7566,8275,9372,10502,11926,12958,13895,14862,16289,17404,18510,19229,20798,22207,23172,23818,25030,25993,26969,28096,29484,31092,33352,35129,38109,39898,40646,41950,46247,48692,51232,53114,54083,53373,54272,57170,58393,57890,59574
"24005","Baltimore, MD","2","CA1","1","...","Personal income (thousands of dollars)",2847628,3131680,3448355,3829779,4253030,4770188,5122741,5541108,6017736,6667849,7251065,7994014,8957113,9575414,10175534,11172451,12035043,12776945,13676504,14939976,15783072,16763922,17244896,17989370,18393320,19233774,20493067,21416525,22895530,24551694,25981989,27897663,29634456,30567047,31736772,34028756,35111995,37736958,39223692,39558307,38940515,39912685,41787952,43379449,43128806,44611807
