"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA1","1","...","Personal income (thousands of dollars)",6637314,7268560,7839798,8874211,10009345,11316248,12744166,14505063,16660800,19440670,22382771,25785285,29461628,31204062,33689027,37882123,41254560,44530167,48371534,52909332,57024096,60406562,62336739,65989063,67364040,69573882,73479867,78951629,85643594,93141926,99150641,109061474,113040936,115758447,121914811,128862422,137307527,146410403,147503532,148866191,140171320,144888672,154486157,164970595,165857885,173305650
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA1","2","...","Population (persons) 1/",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3018080,3056311,3089893,3121854,3145515
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA1","3","...","Per capita personal income (dollars) 2/",4821,5074,5282,5775,6228,6780,7385,8183,9194,10491,11830,13236,14696,15252,16128,17841,18994,19979,21202,22678,23920,24972,25416,26427,26598,27107,28222,29861,31611,33587,35211,38207,39176,39804,41618,43805,46702,49931,50315,50334,46924,48007,50547,53390,53128,55096
"14454","Boston, MA (Metropolitan Division)","","CA1","1","...","Personal income (thousands of dollars)",7491760,8118800,8657183,9279123,9932956,10741772,11508943,12319294,13362902,14697986,16310026,18266598,20197947,22146996,24231764,27305491,29607002,31850066,34844530,38630601,40937439,42216518,42922859,45176349,47077823,49452137,52431199,55899107,59467265,63275786,67747341,75438166,79122399,79165822,81588530,86176541,90804623,99009333,103975918,106994308,104818843,109601416,116179532,122853285,122844584,128544129
"14454","Boston, MA (Metropolitan Division)","","CA1","2","...","Population (persons) 1/",1661816,1677527,1684845,1697497,1692363,1703019,1699488,1692934,1689699,1670251,1666370,1664772,1671345,1673243,1687722,1697982,1710442,1718509,1721100,1724841,1723164,1715912,1710981,1711722,1724209,1735032,1756891,1766871,1779658,1792466,1806436,1817741,1831591,1837285,1834357,1828912,1824430,1827392,1838201,1854275,1875253,1893820,1913683,1931329,1952438,1966530
"14454","Boston, MA (Metropolitan Division)","","CA1","3","...","Per capita personal income (dollars) 2/",4508,4840,5138,5466,5869,6307,6772,7277,7908,8800,9788,10972,12085,13236,14358,16081,17310,18534,20245,22397,23757,24603,25087,26392,27304,28502,29843,31637,33415,35301,37503,41501,43199,43088,44478,47119,49772,54181,56564,57701,55896,57873,60710,63611,62919,65366
"15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)","","CA1","1","...","Personal income (thousands of dollars)",9111963,9882667,10549492,11393114,12341651,13284367,14191369,15173537,16501096,18191436,20192953,22902884,25853040,28548344,31094795,35324104,38292229,41340005,44397971,48815974,51014661,52517482,53455576,56634176,58881088,61634959,65556684,70056601,74501191,79805349,85475034,96757877,99211276,98292667,99794764,103348886,108282764,117042753,123195678,128671565,124762436,128436307,137184789,144374068,145387299,152144036
"15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)","","CA1","2","...","Population (persons) 1/",2020977,2040862,2055222,2057763,2056914,2025460,2010501,2004624,1999103,2007315,2003954,2004038,2012634,2016972,2026590,2041484,2054735,2052643,2054968,2061788,2069099,2070317,2070567,2076928,2085413,2095816,2110617,2128769,2148124,2165195,2178426,2192273,2203227,2200720,2195627,2189015,2183745,2185983,2193770,2211410,2233850,2252330,2275221,2296955,2322224,2339406
"15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)","","CA1","3","...","Per capita personal income (dollars) 2/",4509,4842,5133,5537,6000,6559,7059,7569,8254,9063,10077,11428,12845,14154,15343,17303,18636,20140,21605,23677,24655,25367,25817,27268,28235,29409,31060,32909,34682,36858,39237,44136,45030,44664,45452,47213,49586,53542,56157,58185,55851,57024,60295,62855,62607,65035
"15804","Camden, NJ (Metropolitan Division)","","CA1","1","...","Personal income (thousands of dollars)",3843381,4161395,4556708,5005793,5449483,5967182,6489981,7121782,7775468,8689237,9696343,10938416,12140507,13081392,14196073,15547230,16786359,17950854,19304900,21048694,22635338,23702145,24318167,26025880,26715207,27612589,28789363,30199716,32110063,33688113,35251506,37653337,40034627,41547655,43432061,45680481,47716462,50446779,52327495,54441826,54486996,55130574,57659537,59003996,59446264,61690934
