"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"26000","Michigan state total","3","CA1","1","...","Personal income (thousands of dollars)",35930901,37166325,40419874,44882437,50073719,53567368,57302941,64001599,71984775,80263659,87967096,94142514,100693108,103937962,110447808,122143721,132507384,141065411,146705873,156538879,168621581,176444356,180155777,191165165,201354672,216514159,228975422,241000500,253799739,268247024,281153326,298801316,302178614,303808936,311876449,322743895,330823096,339674220,348597975,356375474,338229671,347645746,368789981,382064571,387978294,403726369
"26000","Michigan state total","3","CA1","2","...","Population (persons) 1/",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876498,9875736,9884781,9898193,9909877
"26000","Michigan state total","3","CA1","3","...","Per capita personal income (dollars) 2/",4092,4178,4505,4973,5520,5880,6292,7020,7861,8722,9511,10171,10934,11403,12207,13497,14599,15455,15968,16982,18223,18949,19165,20167,21106,22559,23664,24696,25874,27239,28408,30023,30245,30333,31060,32097,32914,33845,34855,35828,34159,35199,37343,38652,39197,40740
"26001","Alcona, MI","3","CA1","1","...","Personal income (thousands of dollars)",19245,21629,24090,27214,31042,33652,38879,44578,50450,56651,62695,71120,78648,84154,90225,98983,105241,110546,114696,120453,130145,141530,146120,152438,158824,172712,190185,199273,209703,225134,234935,246629,246812,247848,256868,267160,271801,274077,283984,303426,298984,310141,324180,331985,343669,353744
"26001","Alcona, MI","3","CA1","2","...","Population (persons) 1/",6434,7203,7600,8114,8417,8558,8684,8976,9258,9470,9560,9760,9822,9802,9833,9858,10012,10098,9981,10159,10143,10169,10312,10401,10316,10560,10775,11106,11233,11464,11641,11677,11665,11480,11495,11459,11517,11503,11412,11286,11106,10885,10769,10599,10577,10454
"26001","Alcona, MI","3","CA1","3","...","Per capita personal income (dollars) 2/",2991,3003,3170,3354,3688,3932,4477,4966,5449,5982,6558,7287,8007,8585,9176,10041,10511,10947,11491,11857,12831,13918,14170,14656,15396,16355,17651,17943,18668,19638,20182,21121,21158,21590,22346,23314,23600,23827,24885,26885,26921,28493,30103,31322,32492,33838
"26003","Alger, MI","3","CA1","1","...","Personal income (thousands of dollars)",20889,22515,24433,26683,29786,33173,37607,41619,44883,49644,53074,58144,62272,65818,69550,76435,80503,90195,94359,98518,106909,112116,119934,129697,137252,148150,154278,162806,173242,177212,181759,188760,194148,194737,197917,208861,211530,215544,219789,227729,229777,234508,245752,247447,254223,263935
"26003","Alger, MI","3","CA1","2","...","Population (persons) 1/",8244,8547,8443,8225,8403,8541,8766,9048,9344,9387,9389,9260,9378,9252,9084,8965,8944,8794,8760,8841,8905,8974,9678,9761,9752,9818,9870,9831,9898,9866,9945,9819,9815,9764,9694,9680,9633,9687,9779,9647,9334,9560,9551,9494,9515,9459
"26003","Alger, MI","3","CA1","3","...","Per capita personal income (dollars) 2/",2534,2634,2894,3244,3545,3884,4290,4600,4803,5289,5653,6279,6640,7114,7656,8526,9001,10256,10772,11143,12006,12493,12392,13287,14074,15090,15631,16560,17503,17962,18276,19224,19781,19944,20416,21577,21959,22251,22476,23606,24617,24530,25730,26064,26718,27903
"26005","Allegan, MI","3","CA1","1","...","Personal income (thousands of dollars)",219888,233452,254479,291829,332375,365865,398157,436654,499338,574766,654977,702621,766579,801072,850293,950678,1006467,1128151,1209041,1277958,1396700,1480836,1537627,1653112,1763371,1924034,2054896,2205700,2369332,2514295,2718642,2896776,2987953,2880710,2901491,3064351,3233230,3411033,3569766,3735608,3667174,3761075,4017451,4085040,4213900,4423826
"26005","Allegan, MI","3","CA1","2","...","Population (persons) 1/",63641,66858,68672,70467,71174,72423,73968,75800,77411,78761,80896,81891,83059,83214,82928,83592,84528,85456,86970,88278,89217,90982,92021,93300,94801,96294,97941,99560,101237,102543,104476,105904,107367,108203,109192,110225,110865,111156,111427,111589,111252,111507,111552,111939,112485,113847
