"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10100","Aberdeen, SD (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",134613,147318,164336,185830,226672,231205,260235,253488,280695,321058,358726,370782,419523,441373,471652,527762,535236,558203,583787,595708,648937,700729,730017,785312,835464,864597,902109,980371,994119,1056543,1082789,1154360,1223570,1229673,1317945,1440627,1483207,1520391,1678769,1825238,1694513,1774823,2024536,2065958,1967040,1997767
"10100","Aberdeen, SD (Micropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",42064,42598,43316,43722,43615,44015,43419,42996,42909,42929,41731,42146,42148,41960,41497,41464,41406,41319,41221,40970,40448,39873,39906,40098,40308,40427,40567,40667,40454,40202,40072,39825,39602,39417,39419,39440,39569,39604,39847,39915,40219,40701,40992,41542,42197,42391
"10100","Aberdeen, SD (Micropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3200,3458,3794,4250,5197,5253,5994,5896,6542,7479,8596,8798,9954,10519,11366,12728,12927,13510,14162,14540,16044,17574,18293,19585,20727,21387,22238,24107,24574,26281,27021,28986,30897,31197,33434,36527,37484,38390,42130,45728,42132,43606,49389,49732,46616,47127
"10140","Aberdeen, WA (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",209648,223208,241193,266084,299795,331529,350107,409549,460572,515638,605789,669296,747382,787902,791319,788333,808204,829254,851815,905620,975637,1016109,1067618,1141226,1182898,1189564,1253605,1292337,1346209,1408905,1433797,1510992,1560016,1610323,1700747,1776081,1851732,1937441,2045732,2159215,2127222,2173485,2249586,2314630,2285186,2430866
"10140","Aberdeen, WA (Micropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",58259,59514,59487,60041,60069,61271,61666,61872,63385,64641,65804,66437,66799,65659,64815,64246,62983,62331,62341,62907,63330,64397,64649,65417,65991,66644,67273,67764,68022,67466,67265,67075,67896,68264,69065,69775,70423,71256,71827,72027,72468,72833,72311,71705,71001,70818
"10140","Aberdeen, WA (Micropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3599,3751,4055,4432,4991,5411,5677,6619,7266,7977,9206,10074,11189,12000,12209,12271,12832,13304,13664,14396,15406,15779,16514,17445,17925,17850,18635,19071,19791,20883,21316,22527,22977,23590,24625,25454,26294,27190,28481,29978,29354,29842,31110,32280,32185,34326
"10220","Ada, OK (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",72489,80619,88195,100919,113861,127007,144907,160427,177998,205079,234093,270697,313722,341878,363759,386555,400884,398357,404866,419978,449025,468169,482199,501154,533476,543775,567311,595678,641693,652372,681684,730094,778786,779597,833275,889769,945347,1038545,1099862,1218083,1192050,1253753,1354292,1400670,1414719,1498251
"10220","Ada, OK (Micropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",27021,28022,28826,29549,29781,30396,30334,31007,31495,31479,32281,32720,33146,33891,34836,35002,35207,34972,35030,34353,34175,34112,34080,34022,34094,34382,34818,35233,34965,35017,34993,35148,34866,34929,35048,35097,35267,35525,36157,36687,37283,37584,37697,38006,38073,38005
"10220","Ada, OK (Micropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",2683,2877,3060,3415,3823,4178,4777,5174,5652,6515,7252,8273,9465,10088,10442,11044,11386,11391,11558,12225,13139,13724,14149,14730,15647,15816,16294,16907,18352,18630,19481,20772,22337,22319,23775,25352,26805,29234,30419,33202,31973,33359,35926,36854,37158,39422
"10300","Adrian, MI (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",300010,316987,330799,382671,439243,460568,509852,568079,639801,706010,793217,842472,907464,928896,983661,1086232,1160076,1212776,1314942,1405340,1499569,1565580,1577284,1680320,1788280,1956413,2010571,2077992,2202278,2325856,2447281,2585078,2615278,2643961,2751542,2824423,2882272,2924946,2933312,3016617,2889352,2978712,3148611,3217097,3246504,3328394
"10300","Adrian, MI (Micropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",81134,82045,82919,84040,85693,87335,88044,88392,88747,89937,90594,90094,90483,89163,88207,87665,88203,88262,88737,89425,90687,91753,93198,93669,94419,94790,95662,96271,96953,97585,98565,99069,99626,100293,100704,101216,101367,101715,101657,101169,100250,99649,99391,99150,99048,99047
"10300","Adrian, MI (Micropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3698,3864,3989,4553,5126,5274,5791,6427,7209,7850,8756,9351,10029,10418,11152,12391,13152,13741,14818,15715,16536,17063,16924,17939,18940,20639,21017,21585,22715,23834,24829,26094,26251,26362,27323,27905,28434,28756,28855,29818,28821,29892,31679,32447,32777,33604
"10460","Alamogordo, NM (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",151815,169124,179027,194047,218469,238401,267887,291357,325141,350916,381158,414118,452051,517702,564533,604763,650450,680439,701428,713272,718394,744159,781030,822324,862875,894385,956386,983688,1004891,1033967,1080674,1143879,1224995,1306505,1351068,1445837,1511868,1581647,1667045,1752998,1847522,2044928,2144989,2162156,2138295,2190173
"10460","Alamogordo, NM (Micropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",40800,41378,42821,42314,42296,43017,43783,43947,44721,45498,45359,44739,45002,46036,47950,49095,50312,51463,52149,52438,52471,51979,53027,53588,55419,57712,59516,60798,61526,61258,61903,62151,61277,61194,61371,62662,62533,62200,62466,62498,62462,64396,65597,66102,65900,65082
"10460","Alamogordo, NM (Micropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3721,4087,4181,4586,5165,5542,6119,6630,7270,7713,8403,9256,10045,11246,11773,12318,12928,13222,13450,13602,13691,14317,14729,15345,15570,15497,16069,16180,16333,16879,17458,18405,19991,21350,22015,23074,24177,25428,26687,28049,29578,31756,32699,32709,32448,33653
"10620","Albemarle, NC (Micropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",133358,144883,154181,170588,196304,207055,221720,252764,279932,307533,345516,376809,418814,440127,485175,550538,584785,628119,673629,723653,781611,818531,840879,881918,920745,959917,1020131,1087616,1162201,1243614,1311393,1378198,1431467,1391022,1397664,1452760,1559109,1618081,1695254,1719171,1705147,1738822,1791611,1875241,1891853,1973808
