"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota state total","4","CA1","1","...","Personal income (thousands of dollars)",14345217,15639973,16680898,18131659,21241112,22866034,24735777,26719839,30082297,33748603,37547231,41697467,46202501,49470144,52085956,59084082,62698124,66395130,70827147,74630070,81661558,86895595,89548001,96321351,99215504,106426113,112631122,121486713,128314666,139769415,147128527,159518259,166059053,170136981,178170811,187859607,193454353,204654240,216410177,226967578,216865991,226049182,241807177,254467614,257058116,267389243
"27000","Minnesota state total","4","CA1","2","...","Population (persons) 1/",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310418,5348036,5380615,5422060,5457173
"27000","Minnesota state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3817,4099,4331,4689,5467,5865,6301,6753,7559,8427,9298,10207,11237,11974,12577,14211,14984,15789,16724,17371,18824,19795,20165,21426,21777,23084,24169,25778,26938,29037,30190,32332,33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998
"27001","Aitkin, MN","4","CA1","1","...","Personal income (thousands of dollars)",27073,29711,33518,37087,43903,47897,53260,61575,67336,73559,81043,91246,101175,109903,120321,127963,133821,140002,137830,142399,156060,165471,176240,187408,200112,213420,237738,256188,272892,296472,312362,336722,359433,378175,395394,407931,407206,429344,450486,472297,472222,494432,508955,519537,529139,572824
"27001","Aitkin, MN","4","CA1","2","...","Population (persons) 1/",11293,11458,11637,11985,12074,12102,12146,12347,12684,12901,13035,13384,13276,13248,13438,13218,13072,12773,12667,12542,12416,12462,12603,12825,13112,13524,13847,14181,14403,14840,15062,15282,15334,15616,15795,16028,16162,16357,16481,16422,16168,16219,16110,15945,15774,15771
"27001","Aitkin, MN","4","CA1","3","...","Per capita personal income (dollars) 2/",2397,2593,2880,3094,3636,3958,4385,4987,5309,5702,6217,6818,7621,8296,8954,9681,10237,10961,10881,11354,12569,13278,13984,14613,15262,15781,17169,18066,18947,19978,20738,22034,23440,24217,25033,25451,25195,26248,27334,28760,29207,30485,31592,32583,33545,36321
"27003","Anoka, MN","4","CA1","1","...","Personal income (thousands of dollars)",557975,583869,624025,685200,770037,858048,945144,1070308,1232827,1442774,1709667,1967071,2163786,2337311,2541053,2865120,3092564,3308784,3556411,3835565,4168204,4436852,4668080,5073038,5435333,5869913,6222813,6670826,7094053,7768490,8346015,9194307,9608161,10090337,10534856,11009650,11415310,11951667,12464133,12662278,12272405,12564699,13357144,13892663,14133928,14840833
"27003","Anoka, MN","4","CA1","2","...","Population (persons) 1/",140975,155900,159044,164099,170598,174892,177915,180621,182056,186737,191741,196934,200223,203185,205362,208888,213359,218309,224834,232370,237833,245255,251565,257253,261729,268278,273226,278260,282976,288089,293599,299780,304823,308702,311863,316643,319830,323590,325767,327427,329635,331438,332916,336132,339229,341864
"27003","Anoka, MN","4","CA1","3","...","Per capita personal income (dollars) 2/",3958,3745,3924,4176,4514,4906,5312,5926,6772,7726,8917,9988,10807,11503,12374,13716,14495,15156,15818,16506,17526,18091,18556,19720,20767,21880,22775,23973,25069,26966,28427,30670,31520,32686,33780,34770,35692,36935,38261,38672,37230,37910,40122,41331,41665,43412
"27005","Becker, MN","4","CA1","1","...","Personal income (thousands of dollars)",61907,68812,74506,83296,110124,111192,123089,137804,151165,168160,187812,202819,222348,233637,251336,286289,293771,315155,330209,335885,368280,393869,397704,420341,441039,467851,494354,547953,571543,628675,662527,737927,787994,824325,879231,901905,935836,998255,1056488,1094244,1095125,1155957,1236851,1320363,1360321,1389256
