"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri state total","4","CA1","1","...","Personal income (thousands of dollars)",16884221,18437396,19898453,21643396,24037988,25725396,28177729,30858137,34195610,38083133,42467120,46090765,51466552,54991252,58675314,65050681,69635804,73376484,77319358,82003345,87798850,91773727,95972532,102405335,107142686,113502853,119307169,126395827,134265735,141002097,146848802,157090658,162433481,165959167,172773178,181836913,188782927,201038598,211022590,221796452,216420305,219685657,228654880,240440942,243591814,252482438
"29000","Missouri state total","4","CA1","2","...","Population (persons) 1/",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996085,6010544,6025281,6044917,6063589
"29000","Missouri state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3639,3936,4213,4553,5035,5376,5876,6397,7058,7818,8686,9364,10435,11156,11869,13075,13926,14608,15290,16137,17230,17894,18560,19629,20326,21317,22183,23271,24496,25536,26402,28015,28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639
"29001","Adair, MO","4","CA1","1","...","Personal income (thousands of dollars)",56648,61022,66535,74772,89509,98626,112491,124389,136528,150928,171462,184653,208211,212945,225076,234722,243544,250091,258650,268412,298554,313570,337554,364487,380923,404410,418153,432390,453001,461376,478702,508377,531310,524764,532419,558138,575373,598855,625633,671682,707076,684843,720090,737027,766550,792140
"29001","Adair, MO","4","CA1","2","...","Population (persons) 1/",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25619,25607,25671,25713,25602
"29001","Adair, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2514,2723,2984,3201,3738,4128,4800,5162,5676,6203,6998,7399,8244,8397,8817,9199,9621,10107,10444,10961,12153,12755,13736,14763,15333,16203,16727,17377,18214,18539,19178,20371,21280,20930,21333,22336,23155,23947,25042,26445,27645,26732,28121,28710,29812,30941
"29003","Andrew, MO","4","CA1","1","...","Personal income (thousands of dollars)",42079,42948,47772,53170,64887,61885,69647,72788,85200,95697,111209,111238,128849,133562,141122,158882,174989,178922,184109,189007,210265,221310,236753,253777,261139,282748,296978,322862,354364,376232,405305,431159,450613,454044,467229,514946,511501,538503,589886,630106,629766,619448,649708,663983,693810,710486
"29003","Andrew, MO","4","CA1","2","...","Population (persons) 1/",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17349,17295,17420,17420,17379
"29003","Andrew, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3494,3577,3849,4214,5062,4768,5166,5415,6344,6918,8063,7937,9118,9360,9725,10801,11977,12359,12665,12947,14467,15059,15892,16871,17229,18341,18997,20529,22220,23207,24853,26096,27178,27516,28133,31058,30979,31938,35041,37232,36967,35705,37566,38116,39828,40882
"29005","Atchison, MO","4","CA1","1","...","Personal income (thousands of dollars)",31191,35099,36953,44370,55144,46078,53659,55748,55762,66156,74268,49478,80235,80985,75651,94728,104327,105235,99535,88874,94153,109151,115417,125378,105599,137960,120261,152652,154904,152703,151810,165968,173467,161140,175982,192967,184262,185236,202863,223592,238190,226687,251717,241204,271747,268491
"29005","Atchison, MO","4","CA1","2","...","Population (persons) 1/",9350,9311,9700,9857,9506,9655,9638,9359,9296,8945,8800,8616,8645,8793,8612,8528,8150,7898,7784,7716,7625,7401,7336,7122,6981,6930,6898,6952,6733,6629,6548,6389,6344,6189,6193,6153,6053,5908,5909,5798,5781,5659,5595,5532,5433,5382
"29005","Atchison, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3336,3770,3810,4501,5801,4772,5567,5957,5998,7396,8440,5743,9281,9210,8784,11108,12801,13324,12787,11518,12348,14748,15733,17604,15127,19908,17434,21958,23007,23036,23184,25977,27343,26037,28416,31361,30441,31353,34331,38564,41202,40058,44990,43602,50018,49887
"29007","Audrain, MO","4","CA1","1","...","Personal income (thousands of dollars)",85456,93743,98813,107339,131455,130002,142591,150896,174531,193672,218721,220730,253681,257273,257489,292568,311028,308367,317656,333120,359739,359315,380029,399657,420119,426165,460724,495106,527726,564519,544034,599391,606459,580016,592321,644486,628790,689582,737608,784579,794445,817670,840654,848004,918625,966487
"29007","Audrain, MO","4","CA1","2","...","Population (persons) 1/",25670,25486,26074,26009,25527,25867,26044,26304,26143,26027,25739,26417,26199,25947,25617,25432,25301,24856,24609,24287,23853,23642,23906,24045,24321,24538,24652,24993,25233,25650,25810,25862,25784,25800,25728,25555,25725,25869,25658,25774,25628,25461,25593,25610,25635,25887
"29007","Audrain, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3329,3678,3790,4127,5150,5026,5475,5737,6676,7441,8498,8356,9683,9915,10051,11504,12293,12406,12908,13716,15081,15198,15897,16621,17274,17368,18689,19810,20914,22009,21078,23177,23521,22481,23022,25220,24443,26657,28748,30441,30999,32115,32847,33112,35835,37335
"29009","Barry, MO","4","CA1","1","...","Personal income (thousands of dollars)",56473,59551,64780,73716,86155,92327,100228,114105,120521,140152,155281,176256,197535,208403,225348,252948,266513,284235,290382,312522,344523,356229,389297,413701,444360,471182,511157,553133,587437,629306,656526,710883,751946,765683,787371,871973,912982,958655,1001990,1075495,1050812,1081529,1099634,1055646,1123377,1188590
"29009","Barry, MO","4","CA1","2","...","Population (persons) 1/",19844,19715,20231,20939,21570,21546,22030,22228,22799,23643,24218,24445,24543,24833,25151,25678,25977,26196,26820,27085,27273,27672,28076,28785,29483,30533,31711,32695,33175,33679,33769,33971,33981,34111,34555,34849,35241,35756,35844,35935,35640,35777,35660,35646,35660,35662
"29009","Barry, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2846,3021,3202,3521,3994,4285,4550,5133,5286,5928,6412,7210,8049,8392,8960,9851,10260,10850,10827,11539,12632,12873,13866,14372,15072,15432,16119,16918,17707,18685,19442,20926,22128,22447,22786,25021,25907,26811,27954,29929,29484,30230,30837,29615,31502,33329
"29011","Barton, MO","4","CA1","1","...","Personal income (thousands of dollars)",27506,29744,34147,39140,48781,49133,51990,54875,63047,70339,81387,84096,98845,103262,114661,121748,130389,139047,144780,151516,162214,153376,160455,177905,186234,201494,199236,220860,234890,233633,240890,254075,276050,282051,308753,342631,346452,348488,357130,386831,385861,378176,400347,412975,433903,431602
"29011","Barton, MO","4","CA1","2","...","Population (persons) 1/",10505,10503,10772,11088,10850,10972,10986,10846,10818,11056,11259,11295,11287,11189,11450,11434,11388,11256,11409,11385,11291,11336,11474,11624,11697,11836,11950,12131,12198,12391,12494,12542,12684,12780,12924,12941,12976,12972,12769,12589,12454,12381,12382,12365,12247,12057
