"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"28000","Mississippi state total","5","CA1","1","...","Personal income (thousands of dollars)",5534346,6064385,6718511,7653682,8743228,9609803,10424635,11820319,13153529,14647559,16553596,17998291,20205005,21340298,22336974,24400947,25725576,26678772,28202012,30162096,32651634,34267522,36072135,38903231,41442376,44847540,47381736,50290838,53121279,56302246,58246931,61473782,65065328,66244657,68785859,72966767,77861301,81484402,86511198,90505194,89320552,91450836,95239261,98920649,100625620,103090592
"28000","Mississippi state total","5","CA1","2","...","Population (persons) 1/",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970811,2978464,2986137,2992206,2994079
"28000","Mississippi state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2493,2730,2966,3317,3721,4040,4344,4864,5347,5887,6600,7127,7958,8347,8699,9465,9940,10286,10895,11689,12684,13288,13881,14827,15609,16678,17403,18300,19129,20073,20594,21582,22806,23173,23981,25257,26794,28050,29543,30703,30188,30783,31976,33127,33629,34431
"28001","Adams, MS","5","CA1","1","...","Personal income (thousands of dollars)",100544,103055,114748,125555,140967,159952,173622,193213,216262,242089,275582,309568,349841,365717,386745,410132,411221,400271,405617,409626,442180,466365,476227,518612,547655,574821,601090,639085,659754,691137,712434,737467,750876,774171,745911,763559,807601,890365,911853,1017465,955615,974889,1031234,1075252,1099782,1107860
"28001","Adams, MS","5","CA1","2","...","Population (persons) 1/",37491,37395,38068,37851,37394,37668,38395,37985,37859,37874,37714,38209,38696,39172,38841,39006,38826,37694,36542,35794,35768,35294,35390,34899,35013,35151,34976,35105,35242,34969,34591,34246,33945,33730,33482,32785,32674,33220,32889,32629,32305,32596,32427,32141,32043,31737
"28001","Adams, MS","5","CA1","3","...","Per capita personal income (dollars) 2/",2682,2756,3014,3317,3770,4246,4522,5087,5712,6392,7307,8102,9041,9336,9957,10515,10591,10619,11100,11444,12362,13214,13457,14860,15641,16353,17186,18205,18721,19764,20596,21534,22120,22952,22278,23290,24717,26802,27725,31183,29581,29908,31802,33454,34322,34908
"28003","Alcorn, MS","5","CA1","1","...","Personal income (thousands of dollars)",67035,74072,82250,94415,107835,117387,127392,145546,166734,192542,223065,240521,268269,275819,285648,306136,321624,343761,354016,374954,397791,422380,444244,489337,514628,540777,562068,577914,611139,635898,651692,691484,727139,728455,740777,793342,828793,856450,893691,950664,947657,971803,1018170,1045509,1066502,1090807
"28003","Alcorn, MS","5","CA1","2","...","Population (persons) 1/",27126,27254,27927,28256,28814,29167,29541,29655,30643,31705,32420,33041,32999,32661,32628,32780,32405,32560,32155,32046,31723,31791,32369,32938,33115,33258,33456,33454,33808,33913,34320,34600,34746,34946,35045,35448,35688,36183,36608,36793,36868,37111,37303,37237,37364,37380
"28003","Alcorn, MS","5","CA1","3","...","Per capita personal income (dollars) 2/",2471,2718,2945,3341,3742,4025,4312,4908,5441,6073,6880,7279,8130,8445,8755,9339,9925,10558,11010,11700,12540,13286,13724,14856,15541,16260,16800,17275,18077,18751,18989,19985,20927,20845,21138,22380,23223,23670,24412,25838,25704,26186,27295,28077,28544,29182
"28005","Amite, MS","5","CA1","1","...","Personal income (thousands of dollars)",25720,27426,30054,33846,40473,42643,42678,49187,51743,58459,68512,72403,80963,84977,90809,96735,100433,101217,101882,109623,119046,126430,135558,145193,154610,165170,178176,192465,203118,221464,226505,243393,263052,267476,259208,276282,291372,317232,337342,364207,355127,358713,369235,380770,399585,413795
