"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",395906,443495,474162,539218,579226,653223,767218,847559,920573,1057525,1205694,1392677,1678262,1795083,1872242,1994522,2118488,2110118,2080373,2172606,2259631,2313227,2372735,2532171,2655273,2711191,2904312,3093095,3307392,3462019,3606422,3704390,3778557,3911534,4115222,4293244,4491803,4747075,5073971,5610330,5329176,5558649,5961234,6349442,6465992,6779927
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165642,166637,167529,167452,168592
"10180","Abilene, TX (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3164,3620,3798,4196,4542,5079,5855,6355,6919,7865,8826,9941,11711,12056,12242,12986,13804,13611,13539,14480,15132,15647,16097,16890,17365,17630,18606,19783,21012,21875,22575,23111,23777,24599,25913,26807,27941,29414,31316,34523,32517,33558,35774,37901,38614,40215
"10420","Akron, OH (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",2721371,2837126,2987986,3260687,3561357,3875437,4109115,4414340,4933029,5461092,6002453,6594106,7220323,7545390,7971454,8681663,9195244,9622295,10079467,10747708,11722479,12374755,12660736,13552405,14163377,15035676,15949577,16781997,17746438,18876588,19552704,20720930,20914847,21314782,22127329,22768493,23582252,24752362,25767222,26598737,25801543,26403013,27883852,28994601,29481082,30564440
"10420","Akron, OH (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",676214,679077,679231,677046,676196,670284,672844,667910,662233,658517,660364,660334,658870,656126,653968,651917,648457,646647,647810,652814,655626,658654,664478,669752,674114,678063,682146,687264,689461,691039,693125,695946,698108,699533,701139,701811,702498,702433,703423,703300,703361,702967,702881,702203,703210,703825
"10420","Akron, OH (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",4024,4178,4399,4816,5267,5782,6107,6609,7449,8293,9090,9986,10959,11500,12189,13317,14180,14880,15559,16464,17880,18788,19054,20235,21010,22174,23381,24419,25740,27316,28209,29774,29959,30470,31559,32442,33569,35238,36631,37820,36683,37559,39671,41291,41924,43426
"10500","Albany, GA (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",327783,379876,433462,489268,566336,587184,615977,682530,742956,858224,962711,1067522,1221404,1290934,1375988,1540839,1616969,1685158,1741530,1870923,2000884,2125966,2267274,2385133,2497211,2733619,2885451,3064071,3152786,3279491,3370220,3504756,3716420,3833055,3968531,4072964,4225725,4354328,4550664,4698216,4692603,4810358,5161771,5180356,5160245,5219676
"10500","Albany, GA (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",124626,127420,131064,135481,137763,134109,135587,138131,141309,142070,144480,146793,148567,149660,149716,150313,151062,150405,149611,148651,147705,146642,147910,150065,151993,153232,154087,155576,156748,157452,157644,157610,157735,156947,156914,156911,156886,157412,157367,157551,157969,157663,157791,157355,155790,154925
"10500","Albany, GA (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",2630,2981,3307,3611,4111,4378,4543,4941,5258,6041,6663,7272,8221,8626,9191,10251,10704,11204,11640,12586,13546,14498,15329,15894,16430,17840,18726,19695,20114,20829,21379,22237,23561,24423,25291,25957,26935,27662,28918,29820,29706,30510,32713,32921,33123,33692
"10540","Albany, OR (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",223860,241272,267093,296402,343431,393454,426744,493527,558428,622743,689070,759515,829426,850462,894641,962282,1002007,1046576,1111973,1239094,1337436,1408839,1485376,1580853,1693204,1793081,1913588,2084795,2157679,2229830,2293381,2391424,2511393,2554173,2608338,2765951,2872167,3096883,3277259,3411054,3426219,3508808,3630785,3761778,3847624,4086613
"10540","Albany, OR (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",70221,72587,75547,76467,78150,79006,80942,82420,84723,86334,88999,89668,90173,89748,89415,89253,88019,88026,88069,89223,89890,91690,93145,94112,95496,96919,98853,100582,102054,102770,103462,103020,103544,104561,106035,106799,108132,110764,112932,114967,116001,116871,118117,118360,118644,119356
"10540","Albany, OR (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3188,3324,3535,3876,4395,4980,5272,5988,6591,7213,7742,8470,9198,9476,10005,10782,11384,11889,12626,13888,14879,15365,15947,16798,17731,18501,19358,20727,21143,21697,22166,23213,24254,24428,24599,25899,26562,27959,29020,29670,29536,30023,30739,31783,32430,34239
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",2975658,3307720,3656765,3934076,4225636,4580685,4955323,5286544,5715695,6255029,6882524,7678489,8495902,9277948,9999023,11084878,11906898,12807215,13604498,14782550,16337607,17241791,17805666,18891700,19474500,20119173,20806094,21433358,22568298,23542540,24581935,26203373,27540297,27476327,28643058,30262913,31702524,33490244,35044110,36970575,37422203,38557339,40181415,41895724,42524052,43902194
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",741040,749695,761289,772468,774486,772691,774345,772927,774635,776648,776196,771823,772505,773678,777649,779804,783736,788761,791466,798121,803919,811352,818272,824285,827812,830817,830439,828007,824711,823712,824119,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,870954,872966,875270,878479,880167
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",4016,4412,4803,5093,5456,5928,6399,6840,7379,8054,8867,9949,10998,11992,12858,14215,15192,16237,17189,18522,20322,21251,21760,22919,23525,24216,25054,25885,27365,28581,29828,31670,33140,32837,33912,35587,37096,38926,40604,42677,43046,44270,46029,47866,48406,49879
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",1240462,1406626,1588949,1823000,2030765,2274156,2565764,2905580,3254862,3774732,4297600,4823362,5375251,5663667,6198830,6898199,7566216,8075752,8578676,9112007,9677127,10381138,11109511,11933969,12885707,14018931,15100452,15919211,16728171,17572197,18137847,19792621,21394494,21954832,22562165,23753358,25411755,27403545,28792454,30228228,29866502,30410627,31779933,32520090,32413299,33781875
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",377600,382076,397496,407732,426583,440633,450712,464570,481349,492914,508581,525593,534415,511169,522356,533544,544603,558859,574324,583976,594036,602588,616345,633032,649987,669734,687901,700161,709661,717406,722692,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889649,897091,901016,903345,904587
"10740","Albuquerque, NM (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",3285,3682,3997,4471,4761,5161,5693,6254,6762,7658,8450,9177,10058,11080,11867,12929,13893,14450,14937,15603,16290,17228,18025,18852,19825,20932,21951,22737,23572,24494,25098,27031,28836,28975,29221,30097,31390,32967,33888,35011,34077,34183,35426,36093,35881,37345
"10780","Alexandria, LA (Metropolitan Statistical Area)","","CA1","1","...","Personal income (thousands of dollars)",367778,395471,449222,490112,544666,590985,660141,742238,812103,922484,1022110,1165648,1296880,1392234,1500831,1592293,1688529,1751921,1806550,1906923,2056968,2185106,2261118,2350888,2485024,2666669,2763171,2839675,2944641,3110334,3213945,3345085,3674725,3800848,3872490,4175417,4521684,4821434,5086389,5531096,5494776,5499203,5596948,5863989,5880978,5992829
"10780","Alexandria, LA (Metropolitan Statistical Area)","","CA1","2","...","Population (persons) 1/",131387,132287,136756,137425,139971,140176,141141,143786,146270,147614,149880,152197,152773,152877,154017,154515,153989,154335,153188,151377,150180,148982,149046,147621,142225,143086,144162,143970,143986,144330,144803,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154127,154419,154487,154903,154872
"10780","Alexandria, LA (Metropolitan Statistical Area)","","CA1","3","...","Per capita personal income (dollars) 2/",2799,2989,3285,3566,3891,4216,4677,5162,5552,6249,6820,7659,8489,9107,9745,10305,10965,11351,11793,12597,13697,14667,15171,15925,17472,18637,19167,19724,20451,21550,22195,23041,25325,26138,26521,28409,30566,31900,33572,36283,35875,35680,36245,37958,37966,38695
