"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"37000","North Carolina state total","5","CA1","1","...","Personal income (thousands of dollars)",15814399,17266010,18795809,21242006,24057505,26520910,28819441,31951060,35004010,39496334,43638467,48934688,55093632,59016015,64310265,72718393,78721174,84796696,91333783,100022056,109070662,115754709,120936223,131824817,140620670,149734601,160530377,171935317,184820214,198910250,210373090,225286453,233860291,237354878,244933746,263310919,280702111,301182453,320002877,334365355,330202358,340017767,353461739,376817437,372031203,389512571
"37000","North Carolina state total","5","CA1","2","...","Population (persons) 1/",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9559488,9651502,9748181,9848917,9943964
"37000","North Carolina state total","5","CA1","3","...","Per capita personal income (dollars) 2/",3143,3386,3614,4011,4470,4856,5207,5712,6175,6881,7522,8295,9249,9805,10582,11797,12587,13414,14263,15434,16613,17370,17826,19113,19967,20833,21857,22923,24138,25472,26464,27876,28484,28507,29081,30785,32245,33775,35096,35917,34944,35569,36622,38655,37774,39171
"37001","Alamance, NC","5","CA1","1","...","Personal income (thousands of dollars)",329099,349411,380057,422798,468094,502504,535167,587334,625684,694426,778245,867645,974431,1044613,1129573,1249177,1332255,1444779,1541982,1676142,1822022,1891928,1969383,2101031,2235573,2369895,2534463,2686267,2891965,3127700,3319880,3503719,3581500,3666775,3731887,3925205,4080277,4428317,4691488,4871778,4786807,4868085,5030123,5283136,5199787,5421753
"37001","Alamance, NC","5","CA1","2","...","Population (persons) 1/",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151551,152866,153672,154685,155792
"37001","Alamance, NC","5","CA1","3","...","Per capita personal income (dollars) 2/",3426,3608,3858,4239,4684,5062,5447,5949,6352,7047,7857,8717,9736,10343,11122,12282,12995,13957,14675,15764,16961,17406,17780,18622,19494,20292,21335,22152,23345,24777,25787,26660,26859,27113,27439,28522,29289,31304,32419,32983,31922,32122,32905,34379,33615,34801
"37003","Alexander, NC","5","CA1","1","...","Personal income (thousands of dollars)",57788,59694,66749,74956,89229,94466,101173,116580,132899,147677,162688,183069,210789,213302,242145,283895,297531,323159,337188,365999,409707,437397,452258,495085,531063,570621,594554,603639,647891,723922,790287,835703,892331,857468,873036,937717,960767,1000433,1039304,1030468,1033218,1059518,1075633,1159738,1151195,1232302
"37003","Alexander, NC","5","CA1","2","...","Population (persons) 1/",18795,19593,20347,21184,22069,22673,22894,23080,23588,24058,24719,25066,25260,25572,25865,26097,26348,26557,26796,27078,27423,27652,28095,28453,29208,29949,30496,30967,31668,32492,33274,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37272,37148,37012,37050,37392
"37003","Alexander, NC","5","CA1","3","...","Per capita personal income (dollars) 2/",3075,3047,3281,3538,4043,4166,4419,5051,5634,6138,6581,7303,8345,8341,9362,10878,11292,12169,12584,13516,14940,15818,16097,17400,18182,19053,19496,19493,20459,22280,23751,24744,26101,24736,24945,26532,26848,27603,28389,27971,27885,28427,28955,31334,31071,32956
"37005","Alleghany, NC","5","CA1","1","...","Personal income (thousands of dollars)",19081,20453,23247,27104,30964,32587,36800,39546,43417,49616,56681,62599,69409,75905,79954,86866,89408,93548,102694,113888,126202,135363,143594,156256,170282,180066,201447,211708,229895,250682,270637,274421,269395,269213,270466,283128,295684,291208,303341,316758,315780,314716,322654,325917,336966,354004
