"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"31000","Nebraska state total","4","CA1","1","...","Personal income (thousands of dollars)",5392547,5810184,6379847,7064041,8233786,8580634,9809330,10245780,11101506,12842775,13848556,14761594,17127803,18435447,19113083,21224174,22366484,23031245,24074574,25715284,27268495,29214345,30327262,32255233,33310646,35399363,37420622,40752615,41937191,44831799,46927670,49663684,51901814,53052116,56698870,59072735,61250421,63784580,68634639,72980430,71105118,73236394,80727110,84569159,86447434,89478670
"31000","Nebraska state total","4","CA1","2","...","Population (persons) 1/",1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829865,1842232,1855487,1868969,1881503
"31000","Nebraska state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3658,3905,4241,4653,5387,5580,6364,6615,7142,8228,8853,9389,10851,11655,12064,13360,14114,14629,15368,16364,17315,18471,19003,20013,20491,21598,22583,24348,24868,26437,27527,28978,30178,30696,32611,33768,34772,35982,38484,40626,39226,40023,43820,45578,46254,47557
"31001","Adams, NE","4","CA1","1","...","Personal income (thousands of dollars)",109527,119287,127967,137943,159667,171889,193791,205799,223901,249497,288741,305997,347482,361604,371322,412085,418540,421984,443493,480998,502888,539079,553188,564539,572003,614115,660696,700160,697731,743973,772170,802691,836031,848946,898971,905698,952860,980891,1082034,1134645,1113300,1120634,1242091,1314498,1304468,1325293
"31001","Adams, NE","4","CA1","2","...","Population (persons) 1/",30326,30542,30660,31150,31113,30612,29977,30250,30222,30237,30636,30736,30986,31203,30898,30847,30856,30501,30005,30018,29901,29639,29918,30047,30320,30508,30783,30890,31050,31054,31106,31154,31021,30716,30693,30740,30987,30910,30892,31160,31280,31333,31224,31384,31581,31457
"31001","Adams, NE","4","CA1","3","...","Per capita personal income (dollars) 2/",3612,3906,4174,4428,5132,5615,6465,6803,7409,8251,9425,9956,11214,11589,12018,13359,13564,13835,14781,16024,16818,18188,18490,18789,18866,20130,21463,22666,22471,23957,24824,25765,26950,27639,29289,29463,30750,31734,35026,36414,35591,35765,39780,41884,41305,42130
"31003","Antelope, NE","4","CA1","1","...","Personal income (thousands of dollars)",26065,25725,31502,39116,45251,41236,48631,41207,49856,67728,55085,49042,72151,76535,83230,102978,103605,109145,110965,121037,120391,132398,129334,140766,145889,152391,151383,178138,171551,178363,176058,188688,194180,188038,225858,233173,230990,211737,247658,276585,270634,312270,428757,421487,419608,424379
"31003","Antelope, NE","4","CA1","2","...","Population (persons) 1/",9261,9025,8895,9003,8914,8783,9051,8966,8856,8706,8811,8666,8612,8633,8652,8549,8445,8253,8157,8099,8044,7942,7941,7879,7793,7733,7717,7639,7645,7604,7493,7435,7242,7229,7172,7063,6994,6836,6767,6704,6739,6658,6622,6520,6456,6398
"31003","Antelope, NE","4","CA1","3","...","Per capita personal income (dollars) 2/",2814,2850,3542,4345,5076,4695,5373,4596,5630,7779,6252,5659,8378,8865,9620,12046,12268,13225,13604,14945,14967,16671,16287,17866,18721,19707,19617,23320,22440,23456,23496,25378,26813,26012,31492,33013,33027,30974,36598,41257,40159,46901,64747,64645,64995,66330
"31005","Arthur, NE","4","CA1","1","...","Personal income (thousands of dollars)",1556,1666,2174,2283,2312,2819,2698,2966,3606,3332,4668,4681,4694,5435,5953,3941,4347,3664,4997,5366,5731,6075,5429,5289,5926,4030,5163,2180,4946,6523,7222,8012,8575,9643,12409,12703,12318,12932,12615,12724,11901,14285,18857,14066,16171,27929
