"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"33000","New Hampshire state total","1","CA1","1","...","Personal income (thousands of dollars)",2788141,2974271,3228188,3569215,4015901,4422445,4815390,5443554,6154938,7096546,8109526,9274186,10505613,11568428,12714401,14383191,15892572,17589083,19464425,21419236,22925371,23025351,23788602,24948920,25787395,27573320,29299859,31032084,33335717,36173197,38145169,42519712,44127354,45071574,46328922,49527453,51431409,55098802,57276199,59052313,57824018,59648845,63276057,66786803,66839054,70020358
"33000","New Hampshire state total","1","CA1","2","...","Population (persons) 1/",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316517,1318109,1321297,1322616,1326813
"33000","New Hampshire state total","1","CA1","3","...","Per capita personal income (dollars) 2/",3851,4009,4236,4566,5008,5413,5801,6427,7060,7938,8893,10034,11217,12207,13270,14724,15944,17159,18462,19785,20756,20699,21433,22320,22832,24133,25312,26417,28027,29996,31215,34293,35147,35515,36199,38390,39609,42112,43638,44876,43936,45308,48005,50546,50535,52773
"33001","Belknap, NH","1","CA1","1","...","Personal income (thousands of dollars)",121944,130708,146375,161947,183250,203152,223127,251726,283665,327458,373431,424311,471556,514178,559002,630649,690317,780444,869221,959738,1019368,970851,981354,1007668,1076894,1138874,1248074,1314753,1415889,1534119,1601644,1726891,1824438,1875886,1928991,2108220,2210450,2352443,2469617,2562180,2512580,2571360,2748767,2921476,2937803,3071250
"33001","Belknap, NH","1","CA1","2","...","Population (persons) 1/",31636,32562,33579,34397,35426,36439,36982,38138,39250,41443,42802,42914,42935,43619,44025,44704,45084,46139,47273,48526,49224,49347,49180,49626,50226,50850,51991,53020,53391,54459,55517,56473,57597,58609,59497,60170,60287,60105,60109,60239,60171,60109,60253,60394,60201,60305
"33001","Belknap, NH","1","CA1","3","...","Per capita personal income (dollars) 2/",3855,4014,4359,4708,5173,5575,6033,6600,7227,7901,8725,9887,10983,11788,12697,14107,15312,16915,18387,19778,20709,19674,19954,20305,21441,22397,24006,24797,26519,28170,28850,30579,31676,32007,32422,35038,36665,39139,41086,42534,41757,42778,45620,48374,48800,50929
"33003","Carroll, NH","1","CA1","1","...","Personal income (thousands of dollars)",71395,75309,85562,97301,111319,123115,136148,157822,180559,206780,234931,268380,312637,337978,366540,424331,471832,541548,624934,701012,757761,745841,773687,808488,829484,905591,949034,1008493,1096327,1195087,1256662,1382207,1449919,1511525,1540395,1692109,1733944,1841164,1904628,2013903,1938360,1970595,2090988,2221864,2246476,2315971
"33003","Carroll, NH","1","CA1","2","...","Population (persons) 1/",18029,18563,18672,20429,21229,22202,23043,23737,25371,26733,27452,28018,28302,28354,28626,29266,29484,30295,31671,34018,35134,35592,36096,36780,37400,38064,38964,39908,40781,41724,42815,43907,44200,45074,45697,46496,46652,47421,47829,48013,47763,47810,47736,47667,47505,47399
"33003","Carroll, NH","1","CA1","3","...","Per capita personal income (dollars) 2/",3960,4057,4582,4763,5244,5545,5908,6649,7117,7735,8558,9579,11046,11920,12804,14499,16003,17876,19732,20607,21568,20955,21434,21982,22179,23791,24357,25270,26883,28643,29351,31480,32804,33534,33709,36393,37168,38826,39822,41945,40583,41217,43803,46612,47289,48861
"33005","Cheshire, NH","1","CA1","1","...","Personal income (thousands of dollars)",200409,213396,228937,251278,283539,308691,326879,361381,400276,454822,513869,579613,652100,699308,747514,827833,891052,972007,1075439,1171612,1288869,1302376,1350649,1423167,1463440,1556305,1630706,1715007,1776866,1920168,1998402,2144212,2245284,2312260,2376960,2522625,2634031,2919161,2903381,3070853,2998663,3095886,3273318,3446974,3447855,3566852
