"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"34000","New Jersey state total","2","CA1","1","...","Personal income (thousands of dollars)",32545792,35351558,38133439,41444820,45038421,48927606,52917200,57361858,62757064,69680133,77342831,86955685,97057434,104844478,113452401,125654526,134893648,144359457,155776344,171093247,183704780,192503740,196000492,210737946,217231771,224967367,239340164,253236997,269821158,287112375,300286485,330182477,341630773,350351801,360066325,377209623,392285766,419606827,439837094,455210895,440404173,450756986,473576672,489437288,491865076,515020298
"34000","New Jersey state total","2","CA1","2","...","Population (persons) 1/",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8803580,8842614,8876000,8911502,8938175
"34000","New Jersey state total","2","CA1","3","...","Per capita personal income (dollars) 2/",4587,4917,5237,5649,6140,6670,7208,7811,8548,9472,10490,11788,13103,14109,15192,16719,17830,18939,20308,22184,23777,24798,25081,26742,27328,28071,29609,31074,32830,34644,35921,39165,40227,40964,41861,43686,45341,48444,50685,52256,50300,51202,53556,55142,55194,57620
"34001","Atlantic, NJ","2","CA1","1","...","Personal income (thousands of dollars)",695603,784227,873283,965913,1081184,1173275,1284620,1420500,1573731,1778819,2068679,2383151,2729848,2913926,3176186,3586376,3836637,4103066,4351478,4757473,4959986,5069532,4793815,5392380,5645440,5787626,6261554,6677666,7022924,7313542,7510180,7939227,8188997,8471218,8832399,9267147,9661120,10108963,10377593,10676594,10729823,10865497,11364859,11553537,11504811,11926549
"34001","Atlantic, NJ","2","CA1","2","...","Population (persons) 1/",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274762,274923,275566,276167,275209
"34001","Atlantic, NJ","2","CA1","3","...","Per capita personal income (dollars) 2/",3984,4458,4856,5222,5776,6204,6777,7492,8313,9307,10714,12249,13929,14826,15947,17688,18620,19596,20470,21879,22384,22488,20955,23282,24096,24463,26176,27576,28692,29506,29989,31297,32021,32674,33547,34615,35738,37198,38110,39106,39153,39545,41338,41927,41659,43336
"34003","Bergen, NJ","2","CA1","1","...","Personal income (thousands of dollars)",4937082,5307969,5641283,6078044,6559598,7088314,7604409,8183122,8911592,9891657,10930422,12258927,13761100,14805239,15989117,17810462,19099446,20305656,22021350,24247839,26282511,27196430,27281096,29507785,30075770,31566837,33710557,35870551,38558469,40623389,42084213,46390608,47545206,47862268,47808736,50422100,52403900,56756460,60706805,61372867,58134812,59188171,62380778,65700620,65382220,68651482
"34003","Bergen, NJ","2","CA1","2","...","Population (persons) 1/",893713,896575,893789,884746,879576,873773,871592,865559,859951,855004,851298,845904,846358,844419,845965,845834,842541,840309,835367,831343,826527,826129,829599,837520,843198,848392,855242,862048,868897,875050,880225,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,906748,914087,920440,927434,933572
"34003","Bergen, NJ","2","CA1","3","...","Per capita personal income (dollars) 2/",5524,5920,6312,6870,7458,8112,8725,9454,10363,11569,12840,14492,16259,17533,18900,21057,22669,24165,26361,29167,31799,32920,32885,35232,35669,37208,39416,41611,44376,46424,47811,52408,53495,53739,53584,56440,58785,63814,68147,68548,64571,65275,68244,71380,70498,73536
"34005","Burlington, NJ","2","CA1","1","...","Personal income (thousands of dollars)",1339789,1465527,1615538,1797348,1943246,2128042,2321401,2605860,2849016,3189170,3601319,4072977,4519680,4877956,5292132,5772438,6265571,6720232,7231402,7842210,8431119,8868103,9098761,9854794,10041758,10491485,10965027,11570084,12316947,13089055,13832424,15131481,16002187,16606049,17256313,18179424,18842822,19989251,20671999,21365684,21317951,21581458,22506198,23187701,23310593,24171258
