"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35000","New Mexico state total","6","CA1","1","...","Personal income (thousands of dollars)",3124513,3477754,3846898,4322426,4841784,5437939,6194704,6905447,7728095,8851800,9991554,11219375,12687802,13849319,14836770,16218576,17534394,18255711,19052079,20112493,21546318,23031799,24675575,26528180,28522697,30470675,32748131,34409992,36127950,38191628,39357560,42686217,46275986,47823648,49287198,52230034,56045461,59840045,63348816,67102829,65773493,68182725,71821138,74180920,73571354,77356150
"35000","New Mexico state total","6","CA1","2","...","Population (persons) 1/",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064950,2078407,2084594,2086895,2085572
"35000","New Mexico state total","6","CA1","3","...","Per capita personal income (dollars) 2/",3091,3399,3652,4010,4385,4814,5328,5778,6307,7071,7803,8568,9520,10155,10641,11448,12191,12481,12886,13495,14327,15137,15865,16627,17430,18111,19035,19637,20356,21295,21768,23438,25264,25777,26250,27435,29005,30497,31832,33374,32293,33019,34556,35585,35254,37091
"35001","Bernalillo, NM","6","CA1","1","...","Personal income (thousands of dollars)",1095634,1245023,1403847,1607923,1785102,1994562,2237747,2511498,2787286,3216193,3634014,4076993,4569258,4985914,5422530,5982024,6534996,6946205,7340508,7751470,8171136,8738589,9335846,9979661,10713550,11574724,12407950,12994995,13567178,14234557,14636991,15839820,17311228,17749774,18132248,18920908,20108724,21539164,22442707,23440242,23099998,23519229,24580621,25185122,25121066,26136919
"35001","Bernalillo, NM","6","CA1","2","...","Population (persons) 1/",314700,318277,331206,339666,353816,365412,371719,380717,392444,399597,410992,422295,430023,433469,441597,447307,452555,459938,468550,472977,478795,482696,492880,505395,515914,528842,538615,544201,547997,551298,553002,557601,564241,576532,587049,600449,615320,628632,638978,646879,655279,664110,669604,672995,674883,675551
"35001","Bernalillo, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",3482,3912,4239,4734,5045,5458,6020,6597,7102,8049,8842,9654,10626,11502,12279,13373,14440,15102,15666,16389,17066,18104,18941,19746,20766,21887,23037,23879,24758,25820,26468,28407,30681,30787,30887,31511,32680,34264,35123,36236,35252,35415,36709,37422,37223,38690
"35003","Catron, NM","6","CA1","1","...","Personal income (thousands of dollars)",5793,5871,6974,7788,9340,11346,12295,13198,14606,16861,20064,20647,19423,19794,21212,22545,24503,25205,27372,30135,31858,31731,33391,34713,37480,39419,42285,45931,47380,51744,53860,58854,61863,62949,65954,71139,77243,80101,84464,89492,92305,96356,105323,106976,106185,114119
"35003","Catron, NM","6","CA1","2","...","Population (persons) 1/",2200,2179,2082,2251,2363,2441,2357,2457,2576,2712,2745,2715,2694,2666,2731,2750,2594,2579,2617,2619,2566,2580,2575,2585,2704,2808,2897,2987,3186,3274,3413,3567,3488,3501,3456,3468,3425,3573,3638,3631,3689,3741,3714,3652,3592,3556
"35003","Catron, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",2633,2694,3350,3460,3953,4648,5216,5372,5670,6217,7309,7605,7210,7425,7767,8198,9446,9773,10459,11506,12415,12299,12967,13429,13861,14038,14596,15377,14871,15805,15781,16500,17736,17980,19084,20513,22553,22418,23217,24647,25022,25757,28358,29292,29562,32092
"35005","Chaves, NM","6","CA1","1","...","Personal income (thousands of dollars)",128288,138597,155913,168384,188864,211988,242452,266966,294901,320303,373871,415871,475880,544676,593861,630577,666493,645062,665439,731074,789108,831251,839646,895651,932432,999030,1036812,1095740,1106045,1215224,1204931,1236758,1379858,1408531,1415689,1514180,1623837,1746447,1914452,2063319,1830222,2000031,2171993,2211895,2131642,2330569
"35005","Chaves, NM","6","CA1","2","...","Population (persons) 1/",43300,43771,45341,45906,45199,45571,46705,47497,48421,48597,49397,51184,51468,53647,56263,56455,56517,56419,55667,55922,57105,58033,58818,58655,59505,60596,61365,62088,62338,62395,62052,61317,60928,60768,61248,61478,62172,62486,63587,64378,65110,65779,65726,65828,66041,65878
"35005","Chaves, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",2963,3166,3439,3668,4178,4652,5191,5621,6090,6591,7569,8125,9246,10153,10555,11170,11793,11433,11954,13073,13819,14324,14275,15270,15670,16487,16896,17648,17743,19476,19418,20170,22647,23179,23114,24630,26118,27949,30108,32050,28110,30405,33046,33601,32278,35377
"35006","Cibola, NM","6","CA1","1","...","Personal income (thousands of dollars)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",184743,173284,178816,181444,186181,187782,200746,214780,220252,236092,252821,267804,288262,308886,325300,338653,355663,360069,389480,397937,438319,476102,500657,548010,572273,601823,608708,623618,639857,659259,667838,662676,691992
"35006","Cibola, NM","6","CA1","2","...","Population (persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",28211,26321,24700,24372,23528,23602,23819,23905,23690,23251,23386,23702,23918,24507,24843,25248,25467,25512,25633,26488,26592,26940,27167,27204,27032,27258,27259,27097,27303,27509,27318,27483,27349
"35006","Cibola, NM","6","CA1","3","...","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6549,6583,7240,7445,7913,7956,8428,8985,9297,10154,10811,11299,12052,12604,13094,13413,13966,14114,15194,15023,16483,17673,18429,20144,21170,22079,22331,23014,23435,23965,24447,24112,25302
"35007","Colfax, NM","6","CA1","1","...","Personal income (thousands of dollars)",34653,37468,39135,44482,49926,56615,64229,70400,75735,87919,105787,119762,127146,141848,141996,153971,167778,164352,161626,161599,166394,173832,185836,202151,222522,237255,237343,237003,252066,272798,284715,321520,327646,336056,351289,361219,379720,391088,408901,416987,416756,422272,461833,457282,443735,471761
"35007","Colfax, NM","6","CA1","2","...","Population (persons) 1/",12100,12142,12090,12355,12573,12887,13194,13512,13321,13187,13439,13714,13894,14153,14370,14199,14185,14272,13832,13586,13014,12921,12785,13108,13442,13871,14075,14139,13993,13873,14024,14202,14140,14215,14088,14093,14031,13982,13933,13764,13731,13739,13618,13230,13054,12680
"35007","Colfax, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",2864,3086,3237,3600,3971,4393,4868,5210,5685,6667,7872,8733,9151,10022,9881,10844,11828,11516,11685,11895,12786,13453,14535,15422,16554,17104,16863,16762,18014,19664,20302,22639,23172,23641,24935,25631,27063,27971,29348,30295,30351,30735,33913,34564,33992,37205
"35009","Curry, NM","6","CA1","1","...","Personal income (thousands of dollars)",139720,171503,175082,192037,229226,236360,263707,261868,283515,320125,359231,391410,405962,441782,477483,504031,543387,551607,564515,580801,601321,639119,706734,755970,796350,826494,871416,893744,919177,919741,947379,967719,1051807,1087347,1153284,1272058,1335814,1375076,1481424,1572920,1575956,1773522,1889539,1995009,2037021,2191953
"35009","Curry, NM","6","CA1","2","...","Population (persons) 1/",38000,39834,41293,42063,42703,43062,43927,41730,42017,43693,42876,42037,42081,41970,43166,42955,42890,43223,43312,42830,42294,42324,44490,46148,47022,48795,48459,49021,47968,46348,45153,44991,44964,45133,45385,46640,46981,47018,46588,45512,46555,48962,49681,50674,50580,50969
"35009","Curry, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",3677,4305,4240,4565,5368,5489,6003,6275,6748,7327,8378,9311,9647,10526,11062,11734,12669,12762,13034,13561,14218,15101,15885,16381,16936,16938,17983,18232,19162,19844,20982,21509,23392,24092,25411,27274,28433,29246,31798,34561,33851,36222,38033,39369,40273,43006
"35011","De Baca, NM","6","CA1","1","...","Personal income (thousands of dollars)",6580,7361,7859,9536,11136,10335,10711,10608,11624,14636,15754,16075,18663,20210,20197,21940,24308,24400,24696,25302,27231,28583,31656,34671,37358,35482,33760,36160,37613,39487,42373,46060,50735,48277,49152,51972,53255,52248,52901,55675,51469,57187,68212,68652,62104,73292
"35011","De Baca, NM","6","CA1","2","...","Population (persons) 1/",2500,2558,2591,2427,2501,2520,2470,2387,2360,2492,2395,2433,2351,2426,2441,2411,2441,2363,2326,2243,2263,2246,2294,2253,2266,2245,2308,2283,2280,2285,2296,2218,2174,2158,2132,2062,2098,1994,1995,2000,2002,2016,1967,1935,1891,1825
"35011","De Baca, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",2632,2878,3033,3929,4453,4101,4336,4444,4925,5873,6578,6607,7938,8331,8274,9100,9958,10326,10617,11280,12033,12726,13799,15389,16486,15805,14627,15839,16497,17281,18455,20766,23337,22371,23054,25205,25384,26203,26517,27838,25709,28367,34678,35479,32842,40160
"35013","Do¤a Ana, NM","6","CA1","1","...","Personal income (thousands of dollars)",211677,227435,257147,280452,309351,356233,387703,438821,488766,561767,615002,695428,805344,894203,1011117,1111239,1216021,1315342,1407467,1481360,1643102,1767888,1894914,2081885,2219926,2310600,2519135,2633601,2769025,2985461,3090771,3282416,3638442,3847692,3987720,4229199,4583228,4810645,5167837,5428332,5658905,5965697,6187245,6412252,6227731,6537004
"35013","Do¤a Ana, NM","6","CA1","2","...","Population (persons) 1/",69000,70254,72726,76553,76909,78888,81979,85259,88302,92193,93741,97012,99623,103448,107627,112474,116321,120474,125032,130016,132957,136593,141228,146995,153049,157530,161014,165618,169081,172057,173889,175098,176496,178464,182045,184939,189199,193701,197853,200855,205401,210237,212890,214208,213697,213676
"35013","Do¤a Ana, NM","6","CA1","3","...","Per capita personal income (dollars) 2/",3068,3237,3536,3664,4022,4516,4729,5147,5535,6093,6561,7168,8084,8644,9395,9880,10454,10918,11257,11394,12358,12943,13417,14163,14505,14668,15645,15902,16377,17352,17774,18746,20615,21560,21905,22868,24224,24835,26120,27026,27551,28376,29063,29935,29143,30593
