"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"32000","Nevada state total","8","CA1","1","...","Personal income (thousands of dollars)",2256915,2534085,2831306,3161804,3582008,3970562,4478263,5094225,5899270,7128031,8270217,9565424,10882149,11641320,12367311,13493387,14709192,15912885,17403811,19785829,22278166,24994589,27487103,30503405,32961951,36518231,40086322,44341628,48512959,52980391,57511142,63045138,66706027,69304833,74992766,83863518,94083491,100692076,106484725,106789330,99146193,99806470,102612459,108656566,109489671,115671839
"32000","Nevada state total","8","CA1","2","...","Population (persons) 1/",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703493,2718586,2755245,2791494,2839099
"32000","Nevada state total","8","CA1","3","...","Per capita personal income (dollars) 2/",4702,5138,5445,5783,6296,6654,7225,7876,8699,9909,10809,11806,12838,13206,13711,14589,15467,16227,17006,18405,19587,20476,21206,22572,23357,24357,25346,26611,27500,28589,29726,31230,31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742
"32001","Churchill, NV","8","CA1","1","...","Personal income (thousands of dollars)",34821,42137,49003,58676,68775,69968,68604,76492,85026,99052,110684,131117,144060,151876,161986,180199,201574,215671,240166,263976,283487,290171,319714,353869,388567,420118,438080,485381,524600,563885,580316,614575,655918,688921,744365,804792,854460,879136,886485,938446,892442,939582,981023,1008146,1015417,1066076
"32001","Churchill, NV","8","CA1","2","...","Population (persons) 1/",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24798,24587,24317,24045,23989
"32001","Churchill, NV","8","CA1","3","...","Per capita personal income (dollars) 2/",3317,3962,4392,5047,5804,5868,5723,6396,7009,7756,8156,9421,10367,10712,11313,12516,13412,13722,14622,15537,16149,16086,17155,18661,19701,20475,20667,22103,22633,23992,24323,25582,26946,28521,30982,33220,34744,35389,35515,37464,35602,37889,39900,41458,42230,44440
"32003","Clark, NV","8","CA1","1","...","Personal income (thousands of dollars)",1263705,1416939,1569318,1731195,1961591,2195758,2484227,2826937,3257999,3912315,4580596,5301315,6098001,6568414,7010736,7605157,8330031,9102317,10028979,11473425,13156801,15068765,16712965,18686167,20551065,23067196,25563139,28600183,31651322,35054456,38440364,42322385,45147653,47406076,51400682,57703673,65606440,70802847,74630629,75494913,70129464,70428593,71777369,77373382,77298937,81821005
"32003","Clark, NV","8","CA1","2","...","Population (persons) 1/",267479,276079,293008,307426,319399,336930,351339,369529,389965,412913,441358,469185,492747,513708,530195,544893,561081,580775,611763,647410,691467,756170,816085,857357,902338,972624,1035847,1099894,1177230,1251258,1321254,1393909,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1953263,1967159,1998646,2029316,2069681
"32003","Clark, NV","8","CA1","3","...","Per capita personal income (dollars) 2/",4725,5132,5356,5631,6142,6517,7071,7650,8355,9475,10378,11299,12376,12786,13223,13957,14846,15673,16394,17722,19027,19928,20479,21795,22775,23716,24678,26003,26886,28015,29094,30362,30912,31128,32447,34703,37933,39253,39956,39478,36160,36057,36488,38713,38091,39533
"32005","Douglas, NV","8","CA1","1","...","Personal income (thousands of dollars)",43365,51304,60311,72007,87252,102923,114192,134823,161372,207272,238472,277549,306479,324721,344330,396610,437744,468001,491510,571746,625054,690075,806205,897212,965793,1057411,1151624,1265909,1416832,1514706,1598356,1700322,1777855,1783401,1912572,2177777,2375898,2507021,2623464,2538135,2312208,2334086,2412207,2544673,2586748,2714921
"32005","Douglas, NV","8","CA1","2","...","Population (persons) 1/",6674,7008,7753,8777,10119,11131,12069,13097,14324,16072,18391,19487,19720,20348,20420,21152,22276,22854,23951,25009,26579,28010,30066,31694,33089,34413,36121,37286,38241,39321,40458,41443,42327,43436,44524,46388,46731,46855,47166,47270,46965,47038,47028,46991,47081,47536
"32005","Douglas, NV","8","CA1","3","...","Per capita personal income (dollars) 2/",6498,7321,7779,8204,8623,9247,9462,10294,11266,12896,12967,14243,15542,15958,16862,18750,19651,20478,20521,22862,23517,24637,26815,28309,29188,30727,31882,33951,37050,38522,39507,41028,42003,41058,42956,46947,50842,53506,55622,53694,49233,49621,51293,54152,54943,57113
"32007","Elko, NV","8","CA1","1","...","Personal income (thousands of dollars)",59555,64213,71684,82926,93508,95405,102872,112647,125685,141328,159264,195805,225239,245011,259974,290104,314284,332114,386713,513184,594042,640545,698577,771988,842703,915835,960162,1059614,1104093,1137178,1177607,1223719,1127476,1112985,1182602,1330360,1418109,1511842,1644696,1772826,1760924,1908219,2081956,2162622,2181601,2200470
"32007","Elko, NV","8","CA1","2","...","Population (persons) 1/",13979,13932,13938,15107,15469,15707,15574,15776,15508,15839,16054,17550,18650,19687,20417,20822,21822,23344,24528,27050,30904,34142,35760,37060,38717,40193,41363,43347,45360,45849,45134,45233,45063,44173,43693,43830,44760,46108,47423,47634,48445,49074,49505,51078,52531,52766
