"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"39000","Ohio state total","3","CA1","1","...","Personal income (thousands of dollars)",41814714,44121386,46947495,50934483,56459449,61841296,66118848,72483674,80273127,88755514,98036565,107027918,116356076,121686637,129000255,142456412,151328013,158445882,166010875,178043191,191552868,202826963,207192639,220961744,230239933,242927557,254378135,266568428,282349312,298716732,308887564,325351402,334990112,340052816,349663439,363405374,374698302,395120357,409790385,421955271,409618652,419791344,448017767,465838605,471546929,489694974
"39000","Ohio state total","3","CA1","2","...","Population (persons) 1/",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11540070,11544757,11550901,11572005,11594163
"39000","Ohio state total","3","CA1","3","...","Per capita personal income (dollars) 2/",3959,4136,4373,4739,5244,5744,6139,6741,7453,8222,9079,9909,10785,11312,12014,13267,14097,14766,15428,16488,17689,18669,18929,20034,20740,21782,22707,23710,25037,26408,27250,28631,29418,29809,30579,31732,32687,34415,35632,36643,35530,36377,38807,40329,40749,42236
"39001","Adams, OH","3","CA1","1","...","Personal income (thousands of dollars)",45171,49857,50988,56026,63292,73276,79034,85818,98894,110757,125101,141333,163164,177502,170775,200077,219237,220182,231807,249393,271588,289602,299666,337036,349194,373359,388224,417422,453084,497514,517839,559747,568478,562079,582257,623109,640643,675404,719608,718468,716653,710135,762271,756333,769586,798132
"39001","Adams, OH","3","CA1","2","...","Population (persons) 1/",18895,19117,19870,20687,21847,22525,22247,23178,23546,23933,23977,24351,24388,24459,24111,23861,24118,24306,24688,24887,25206,25411,25731,26044,26299,26550,26823,27273,27291,27422,27422,27317,27522,27817,28111,28328,28522,28615,28538,28686,28500,28568,28523,28366,28126,28129
"39001","Adams, OH","3","CA1","3","...","Per capita personal income (dollars) 2/",2391,2608,2566,2708,2897,3253,3553,3703,4200,4628,5218,5804,6690,7257,7083,8385,9090,9059,9389,10021,10775,11397,11646,12941,13278,14062,14474,15305,16602,18143,18884,20491,20655,20206,20713,21996,22461,23603,25216,25046,25146,24858,26725,26663,27362,28374
"39003","Allen, OH","3","CA1","1","...","Personal income (thousands of dollars)",415365,439215,465599,489032,553497,607199,646967,698769,774576,861263,953162,1034351,1096308,1144674,1223588,1384885,1466460,1548329,1584915,1665526,1749133,1813963,1847669,1977725,1992300,2109381,2160864,2219317,2291551,2436093,2559655,2686542,2782507,2839462,2906129,3006435,3084650,3242189,3374336,3418320,3363067,3426222,3578898,3709846,3691381,3799150
"39003","Allen, OH","3","CA1","2","...","Population (persons) 1/",110340,111084,111437,110643,110245,110637,110806,109853,110465,109828,111247,112188,111726,109826,108936,109642,109601,109755,110123,110518,110270,109841,109916,110242,110262,110138,109841,109573,109150,108599,108192,108589,108523,108518,107418,106826,106861,106716,106717,106773,106518,106364,105907,105283,105214,105040
"39003","Allen, OH","3","CA1","3","...","Per capita personal income (dollars) 2/",3764,3954,4178,4420,5021,5488,5839,6361,7012,7842,8568,9220,9812,10423,11232,12631,13380,14107,14392,15070,15862,16514,16810,17940,18069,19152,19673,20254,20995,22432,23658,24740,25640,26166,27054,28143,28866,30381,31619,32015,31573,32212,33793,35237,35085,36169
"39005","Ashland, OH","3","CA1","1","...","Personal income (thousands of dollars)",146426,157359,173634,186843,208506,231041,248372,275593,303079,339544,379526,413231,448811,458383,488479,543089,563556,593207,620815,649384,694817,728544,747705,817391,858768,917327,944835,980097,1051027,1115716,1141686,1198208,1237363,1274249,1319848,1358691,1414575,1451920,1554986,1595681,1535543,1567982,1668444,1698944,1739297,1802917
