"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma state total","6","CA1","1","...","Personal income (thousands of dollars)",8439742,9303935,10137739,11121845,12610044,14034223,15692235,17268685,19196673,21786046,25286386,29132371,34025236,37993649,38869340,41684153,43419381,43625647,43450859,45332471,48329950,50948903,52474225,55898923,58123375,60728231,63398165,67140318,70867876,75390398,78356415,85672158,92129048,93531526,96553912,102194709,109855330,120480971,125613351,138461962,128545841,135151223,147813207,158595958,161685876,169227826
"40000","Oklahoma state total","6","CA1","2","...","Population (persons) 1/",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759481,3786527,3817059,3853118,3878051
"40000","Oklahoma state total","6","CA1","3","...","Per capita personal income (dollars) 2/",3329,3625,3872,4185,4680,5136,5661,6116,6698,7479,8514,9581,10989,11850,11813,12687,13273,13412,13536,14314,15341,16180,16525,17357,17872,18509,19164,20101,21011,22140,22797,24801,26572,26807,27548,28989,30957,33522,34563,37739,34578,35949,39037,41549,41962,43637
"40001","Adair, OK","6","CA1","1","...","Personal income (thousands of dollars)",28337,31876,34800,38943,45310,51179,57364,60257,64849,74484,88930,98240,108564,115135,121149,143729,152900,166700,165247,177413,200195,212534,225402,256082,256759,270836,274551,282537,294922,305681,318479,332814,372748,389347,387827,403683,431898,451824,474596,479991,489359,521443,538627,542898,554440,566503
"40001","Adair, OK","6","CA1","2","...","Population (persons) 1/",14888,15187,15547,16274,16725,16786,17077,17300,17663,18185,18702,18518,18258,18437,18845,18369,18357,18557,18815,18771,18516,18444,18844,19178,19483,19784,19933,20182,20421,20748,20904,21031,21101,21271,21445,21589,21887,22215,22345,22346,22477,22720,22513,22248,22235,22186
"40001","Adair, OK","6","CA1","3","...","Per capita personal income (dollars) 2/",1903,2099,2238,2393,2709,3049,3359,3483,3671,4096,4755,5305,5946,6245,6429,7825,8329,8983,8783,9451,10812,11523,11961,13353,13179,13690,13774,13999,14442,14733,15235,15825,17665,18304,18085,18699,19733,20339,21239,21480,21772,22951,23925,24402,24935,25534
"40003","Alfalfa, OK","6","CA1","1","...","Personal income (thousands of dollars)",24822,31833,34287,33226,36696,42516,43439,37699,36933,49158,63433,62995,79215,106811,82604,108529,93036,89221,96004,102059,100503,106344,89261,107968,99360,97375,86608,91084,111810,111680,115881,128500,130609,125947,139615,136670,136741,136460,140310,186583,151118,180489,224695,272267,266440,283859
"40003","Alfalfa, OK","6","CA1","2","...","Population (persons) 1/",7928,7216,7206,7110,7027,7021,7175,7237,7230,7314,7231,7111,7235,7380,7519,7324,7197,7222,6979,6637,6575,6384,6367,6327,6309,6291,6275,6291,6247,6244,6125,6080,5933,5894,5827,5785,5706,5639,5618,5618,5585,5628,5637,5643,5817,5790
"40003","Alfalfa, OK","6","CA1","3","...","Per capita personal income (dollars) 2/",3131,4411,4758,4673,5222,6056,6054,5209,5108,6721,8772,8859,10949,14473,10986,14818,12927,12354,13756,15377,15286,16658,14019,17065,15749,15478,13802,14478,17898,17886,18919,21135,22014,21369,23960,23625,23964,24199,24975,33212,27058,32070,39861,48249,45804,49026
"40005","Atoka, OK","6","CA1","1","...","Personal income (thousands of dollars)",20310,23193,24068,27201,34485,35706,40749,43115,45768,51449,56883,64406,77325,84888,91031,101971,107789,105902,105878,111965,121302,121359,129468,137295,147219,157348,166077,176181,183838,196151,211291,229988,242425,258711,267946,276255,300257,315480,341311,370581,371853,370616,376771,395923,399399,421103
"40005","Atoka, OK","6","CA1","2","...","Population (persons) 1/",10516,10993,11231,11396,11617,11895,12068,12130,12254,12289,12596,12745,12713,12811,13548,13674,13599,13317,13175,12979,12881,12773,12866,13172,13260,13336,13553,13572,13785,13749,13856,13820,13816,13836,13973,14046,14034,14013,14118,14220,14155,14151,14100,13960,13785,13796
"40005","Atoka, OK","6","CA1","3","...","Per capita personal income (dollars) 2/",1931,2110,2143,2387,2968,3002,3377,3554,3735,4187,4516,5053,6082,6626,6719,7457,7926,7952,8036,8627,9417,9501,10063,10423,11102,11799,12254,12981,13336,14267,15249,16642,17547,18698,19176,19668,21395,22513,24176,26061,26270,26190,26721,28361,28973,30524
