"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"41000","Oregon state total","8","CA1","1","...","Personal income (thousands of dollars)",7782223,8471104,9309592,10432253,11749236,13322232,14784118,16683442,18666901,21417553,24223707,26825715,28976957,29703264,31521314,34216272,35892259,37856822,39855476,43415873,47825276,51672272,54360166,58159238,62320110,66792632,71913581,77571848,82428855,87518429,91497994,99044202,101755715,102964536,106521573,112389433,117190896,126816004,132696063,138500229,134786615,137331662,145083738,152371092,154869050,163652836
"41000","Oregon state total","8","CA1","2","...","Population (persons) 1/",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837083,3867644,3898684,3928068,3970239
"41000","Oregon state total","8","CA1","3","...","Per capita personal income (dollars) 2/",3774,4033,4330,4752,5248,5841,6360,7033,7652,8534,9395,10157,10861,11146,11881,12831,13429,14107,14756,15838,17138,18065,18562,19440,20364,21399,22583,23889,24946,26106,26959,28878,29342,29306,30028,31486,32434,34546,35648,36750,35390,35791,37512,39083,39426,41220
"41001","Baker, OR","8","CA1","1","...","Personal income (thousands of dollars)",48794,54665,61779,70583,73597,77456,85619,94618,103171,112682,137212,144256,154177,155329,164218,167185,167661,169712,175644,190928,209427,222685,231240,242705,263395,273374,287508,296428,322608,335224,331160,353512,357221,355022,371148,384196,390169,401265,420462,446577,456516,456053,472966,501038,508767,541561
"41001","Baker, OR","8","CA1","2","...","Population (persons) 1/",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16089,16041,15961,16096,16059
"41001","Baker, OR","8","CA1","3","...","Per capita personal income (dollars) 2/",3206,3627,3930,4521,4751,5094,5437,6119,6530,7172,8511,8931,9518,9485,10103,10373,10658,11002,11609,12734,14065,14429,14841,15316,16287,16651,17225,17801,19265,19905,19765,21151,21496,21679,22753,23611,24255,24933,26053,27575,28137,28346,29485,31391,31608,33723
"41003","Benton, OR","8","CA1","1","...","Personal income (thousands of dollars)",170440,181521,203036,229694,260067,294981,333076,383212,440213,507951,563010,621797,697121,732393,782803,843307,870993,921019,974485,1046694,1157095,1212282,1263364,1352253,1464515,1577087,1729918,1913388,2060241,2166060,2196191,2314242,2382958,2432513,2578354,2666915,2682479,2778095,2883854,3045831,2932979,2998060,3217932,3254364,3283247,3426549
"41003","Benton, OR","8","CA1","2","...","Population (persons) 1/",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85531,85983,86380,85960,86316
"41003","Benton, OR","8","CA1","3","...","Per capita personal income (dollars) 2/",3310,3365,3696,3820,4385,4818,5405,6151,6714,7586,8259,9081,10049,10544,11470,12498,12947,13759,14418,15421,16559,17060,17668,18621,19792,20894,22608,24601,26225,27438,28065,29580,30360,30329,32100,33274,33140,33897,34447,36195,34348,35052,37425,37675,38195,39698
"41005","Clackamas, OR","8","CA1","1","...","Personal income (thousands of dollars)",664662,711694,796931,914419,1033899,1177010,1324487,1525294,1724160,2049650,2408185,2778731,3041556,3151690,3334721,3647547,3843661,4070832,4325864,4732574,5311759,5859512,6191657,6675446,7230223,7809458,8480124,9348785,10094360,10885279,11404662,12609576,12487250,12430525,12746809,13584994,14274252,15371966,15897231,16374633,15713644,15998023,16887872,18068627,18277918,19240407
