"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania state total","2","CA1","1","...","Personal income (thousands of dollars)",45363997,48814578,51789540,56519468,61911787,68004857,74306438,81081493,88973804,98097527,108546349,118970218,131279831,140158661,146951760,158681543,168466148,177342443,187911697,203518393,220428623,233194273,242826180,256368975,266038429,275115183,287783679,302668785,317899634,335214486,349812106,374577398,387707869,395919744,409038437,430008872,447084171,477939178,503610624,525622733,516623328,532816761,560970586,584630441,588296421,609679210
"42000","Pennsylvania state total","2","CA1","2","...","Population (persons) 1/",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711077,12743995,12770043,12781296,12787209
"42000","Pennsylvania state total","2","CA1","3","...","Per capita personal income (dollars) 2/",3864,4133,4358,4748,5209,5732,6245,6821,7488,8268,9142,10024,11070,11833,12414,13430,14312,15051,15910,17181,18577,19591,20266,21276,21951,22613,23592,24767,25998,27374,28524,30493,31524,32108,33055,34648,35910,38202,40084,41675,40785,41918,44018,45781,46028,47679
"42001","Adams, PA","2","CA1","1","...","Personal income (thousands of dollars)",205205,220279,237007,266984,300435,334470,362842,413934,457621,511072,573715,643223,709760,766221,803548,884918,950789,1027945,1099434,1204071,1310249,1399096,1450322,1542805,1591621,1629082,1729312,1839258,1970734,2082459,2227219,2410916,2554745,2656641,2807051,2956831,3101284,3335941,3555120,3697873,3740488,3797694,3952284,4095550,4204191,4350902
"42001","Adams, PA","2","CA1","2","...","Population (persons) 1/",56433,57165,58628,60815,62627,63523,63834,64435,65398,66235,67409,68513,69506,70422,70679,70290,71043,72492,73976,75326,76609,78797,80531,81771,83013,84186,85063,86252,87751,89074,90363,91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101470,101649,101538,101457,101714
"42001","Adams, PA","2","CA1","3","...","Per capita personal income (dollars) 2/",3636,3853,4043,4390,4797,5265,5684,6424,6997,7716,8511,9388,10211,10880,11369,12590,13383,14180,14862,15985,17103,17756,18009,18867,19173,19351,20330,21324,22458,23379,24647,26361,27592,28282,29392,30389,31451,33393,35374,36592,36942,37427,38882,40335,41438,42776
"42003","Allegheny, PA","2","CA1","1","...","Personal income (thousands of dollars)",6633257,7118721,7460920,7998727,8620400,9503872,10432564,11280099,12347490,13482149,14742779,16167480,17849114,18957792,19493068,20795344,21804862,22494973,23431595,25497438,27322784,29275557,30278833,31729603,32643149,33453439,34815734,36259429,38202871,39565869,41660541,44233248,45915931,46647810,47569276,49129274,50211117,54073712,56313334,58654512,56766349,58567739,61875315,64518435,64423741,66458085
"42003","Allegheny, PA","2","CA1","2","...","Population (persons) 1/",1606592,1602690,1593414,1573451,1548863,1525950,1513436,1499354,1486316,1473802,1454339,1448253,1437549,1429717,1420639,1404696,1380315,1366108,1355061,1346483,1339463,1336740,1338435,1340919,1338289,1331772,1322460,1313445,1304196,1295026,1287247,1279651,1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1223797,1227472,1230383,1232953,1231255
"42003","Allegheny, PA","2","CA1","3","...","Per capita personal income (dollars) 2/",4129,4442,4682,5084,5566,6228,6893,7523,8307,9148,10137,11163,12416,13260,13721,14804,15797,16466,17292,18936,20398,21901,22623,23663,24392,25119,26326,27606,29292,30552,32364,34567,36086,36859,37801,39381,40664,44105,46065,48035,46447,47857,50409,52438,52252,53976
"42005","Armstrong, PA","2","CA1","1","...","Personal income (thousands of dollars)",233396,247371,267636,301549,328120,369984,422317,472259,522850,567326,631442,695885,758756,809254,838068,874746,899863,917763,944964,990341,1066660,1134086,1182282,1247698,1284440,1348378,1385896,1459509,1516159,1580392,1652074,1709801,1828331,1916589,1960772,1993562,2086914,2191638,2257034,2395749,2319452,2379060,2591155,2673828,2676420,2757708
