"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"00000","United States","","CA1","1","...","Personal income (thousands of dollars)",791150000,855078000,923964000,1015526000,1131213000,1242433000,1359998000,1491506000,1646968000,1851867000,2068806000,2307005000,2584340000,2767657000,2957901000,3268535000,3501927000,3712243000,3940859000,4260753000,4603969000,4890453000,5055766000,5402109000,5639780000,5930316000,6275761000,6661697000,7075132000,7588703000,7988183000,8634847000,8987890000,9150761000,9484225000,10047876000,10610320000,11381350000,11995419000,12492705000,12079444000,12459613000,13233436000,13904485000,14064468000,14683147000
"00000","United States","","CA1","2","...","Population (persons) 1/",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056
"00000","United States","","CA1","3","...","Per capita personal income (dollars) 2/",3930,4196,4468,4853,5352,5824,6312,6856,7494,8338,9212,10153,11262,11947,12652,13860,14719,15459,16265,17426,18653,19591,19985,21060,21698,22538,23568,24728,25950,27510,28627,30602,31540,31815,32692,34316,35904,38144,39821,41082,39376,40277,42453,44266,44438,46049
"00998","United States (Metropolitan Portion)","","CA1","1","...","Personal income (thousands of dollars)",682559635,737352850,795767519,872470675,963975849,1061802218,1161052514,1274609813,1408461947,1582893484,1768846214,1980658139,2216524699,2377691474,2549014034,2817293706,3029838289,3222683069,3430930670,3721921408,4020746125,4276703120,4418333505,4717254745,4925071803,5174174359,5488227678,5824194988,6195343210,6662854411,7029096677,7620676670,7930111555,8079021936,8365062852,8864535151,9381521803,10093175721,10632483434,11047253493,10659342019,10995114573,11674944224,12287518277,12417119492,12983057893
"00998","United States (Metropolitan Portion)","","CA1","2","...","Population (persons) 1/",164787612,167146143,169569783,171512609,173242264,174924831,176483725,178140451,179883035,181849203,183929604,186222372,188212013,190178436,192153779,194142697,196318400,198674534,200944313,203173862,205476866,208182131,211194337,214331687,217300066,220090505,222798951,225557194,228503559,231456359,234421194,237360850,240128266,242665792,244993933,247510633,250039935,252641624,255300617,257996520,260573371,263042209,265420613,267863537,270277514,272667942
"00998","United States (Metropolitan Portion)","","CA1","3","...","Per capita personal income (dollars) 2/",4142,4411,4693,5087,5564,6070,6579,7155,7830,8704,9617,10636,11777,12502,13265,14511,15433,16221,17074,18319,19568,20543,20921,22009,22665,23509,24633,25821,27113,28787,29985,32106,33024,33293,34144,35815,37520,39951,41647,42819,40907,41800,43987,45872,45942,47615
"00999","United States (Nonmetropolitan Portion)","","CA1","1","...","Personal income (thousands of dollars)",108590365,117725150,128196481,143055325,167237151,180630782,198945486,216896187,238506053,268973516,299959786,326346861,367815301,389965526,408886966,451241294,472088711,489559931,509928330,538831592,583222875,613749880,637432495,684854255,714708197,756141641,787533322,837502012,879788790,925848589,959086323,1014170330,1057778445,1071739064,1119162148,1183340849,1228798197,1288174279,1362935566,1445451507,1420101981,1464498427,1558491776,1616966723,1647348508,1700089107
"00999","United States (Nonmetropolitan Portion)","","CA1","2","...","Population (persons) 1/",36510388,36652579,37247726,37762273,38106941,38408804,38972860,39413408,39877840,40249041,40638975,41002347,41253731,41485996,41638235,41682210,41605334,41458297,41344623,41325142,41342356,41440683,41786604,42182537,42618522,43035316,43479442,43837090,44143366,44397745,44618974,44801561,44840689,44959401,45114000,45294665,45476664,45738288,45930590,46097446,46198158,46304848,46301019,46248541,46220017,46189114
"00999","United States (Nonmetropolitan Portion)","","CA1","3","...","Per capita personal income (dollars) 2/",2974,3212,3442,3788,4389,4703,5105,5503,5981,6683,7381,7959,8916,9400,9820,10826,11347,11808,12334,13039,14107,14810,15254,16235,16770,17570,18113,19105,19930,20854,21495,22637,23590,23838,24807,26125,27020,28164,29674,31356,30739,31627,33660,34963,35641,36807
"01000","Alabama","5","CA1","1","...","Personal income (thousands of dollars)",9726212,10605131,11670926,12964387,14582799,16175869,18038463,20228589,22281919,25197261,27992382,30864240,34263541,36197910,38771851,42649118,45942335,48627446,51486400,55388090,60312581,64070364,67662101,72847428,76199461,80680540,85362072,89084446,93822199,100252860,104177111,109741312,114234321,116899299,121798295,130495155,138019022,146661249,153787754,159993535,157141435,163066901,169030399,173601429,174876574,181908767
