"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"46000","South Dakota state total","4","CA1","1","...","Personal income (thousands of dollars)",2080125,2262517,2478189,2860912,3609714,3621033,4000855,3954043,4485097,5164776,5679834,5719001,6647391,7034068,7326712,8291305,8517981,8896433,9364373,9759935,10516247,11513251,11992985,12991533,13585823,14630902,14934328,16504345,16852186,18215785,19233650,20609638,21556784,21689518,23630561,25087130,25935099,26543123,29493814,32040940,31202233,32813985,36461838,37378789,37855216,38631202
"46000","South Dakota state total","4","CA1","2","...","Population (persons) 1/",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816192,824171,834504,845510,853175
"46000","South Dakota state total","4","CA1","3","...","Per capita personal income (dollars) 2/",3114,3394,3691,4223,5317,5326,5871,5757,6510,7493,8243,8278,9640,10185,10572,11891,12196,12782,13454,13980,15094,16516,17044,18226,18813,20021,20238,22237,22644,24416,25631,27267,28440,28538,30941,32564,33443,33898,37257,40095,38661,40204,44241,44792,44772,45279
"46003","Aurora, SD","4","CA1","1","...","Personal income (thousands of dollars)",11257,12130,12210,15940,22063,20939,18696,18084,21634,21991,23024,20362,25701,30747,24128,33789,34179,35575,38806,33166,37585,46417,45665,52900,48680,53837,44926,63412,60948,68107,71359,80644,82287,72263,93411,95037,81977,74230,102931,120304,110720,108810,145566,119270,148293,135811
"46003","Aurora, SD","4","CA1","2","...","Population (persons) 1/",4161,4238,4454,4235,4102,4032,3995,3996,3896,3796,3717,3624,3605,3551,3521,3512,3375,3318,3305,3260,3161,3130,3050,3033,3056,3057,3117,3064,3058,3063,3038,3045,2946,2869,2862,2860,2789,2775,2745,2750,2712,2709,2722,2751,2718,2745
"46003","Aurora, SD","4","CA1","3","...","Per capita personal income (dollars) 2/",2705,2862,2741,3764,5379,5193,4680,4526,5553,5793,6194,5619,7129,8659,6853,9621,10127,10722,11742,10174,11890,14830,14972,17441,15929,17611,14413,20696,19931,22235,23489,26484,27932,25188,32638,33230,29393,26750,37498,43747,40826,40166,53478,43355,54560,49476
"46005","Beadle, SD","4","CA1","1","...","Personal income (thousands of dollars)",71473,77257,83614,93102,111308,114037,123052,125110,138527,156705,174876,180411,205052,214664,209053,236887,244519,252407,267155,274818,294489,309460,314712,334622,358252,381305,371779,423702,425178,435999,463544,490348,492511,465472,495063,544428,551384,545831,633821,786582,739751,704835,879259,835989,861098,868800
"46005","Beadle, SD","4","CA1","2","...","Population (persons) 1/",20910,20824,20698,20532,20604,20847,20465,20242,19774,19463,19385,19190,19132,19088,18755,18547,18440,18367,18427,18221,18243,18288,18090,18070,18092,18263,18364,18401,18272,17501,17097,17030,16952,16767,16504,16370,16304,16149,16489,16810,17288,17412,17732,18000,18299,18169
"46005","Beadle, SD","4","CA1","3","...","Per capita personal income (dollars) 2/",3418,3710,4040,4534,5402,5470,6013,6181,7006,8051,9021,9401,10718,11246,11147,12772,13260,13742,14498,15082,16143,16921,17397,18518,19802,20879,20245,23026,23269,24913,27113,28793,29053,27761,29997,33258,33819,33800,38439,46793,42790,40480,49586,46444,47057,47818
"46007","Bennett, SD","4","CA1","1","...","Personal income (thousands of dollars)",7586,9371,9232,11881,18741,14209,15825,13766,15440,17161,18065,18982,21182,20953,25442,30800,26905,32474,30383,30944,35635,41315,41254,41095,51688,45576,53418,54600,54482,59485,67459,73039,76461,67456,82345,79021,92118,80841,86256,92272,89502,88557,93971,101718,100811,113514
"46007","Bennett, SD","4","CA1","2","...","Population (persons) 1/",3121,3125,3321,3198,3404,3451,3450,3402,3325,3271,3225,3039,3014,3089,3158,3294,3261,3258,3310,3299,3293,3194,3182,3129,3237,3405,3470,3490,3497,3592,3536,3572,3518,3519,3513,3519,3547,3475,3466,3429,3397,3442,3437,3438,3451,3430
