"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"48000","Texas state total","6","CA1","1","...","Personal income (thousands of dollars)",38443529,42337671,45936073,50972265,57886017,65270692,74303077,83693554,93346447,107770121,124188134,142639001,167739363,184332493,196082087,214972612,231268930,236746076,241509519,256262447,274061924,296204968,309983300,335301604,354794103,375106640,401483332,431653384,470314809,514023760,543695367,594097365,633552727,636107528,661144021,695946540,759204486,830522563,881582784,969740300,918587462,966447597,1057983140,1135225582,1161133804,1231084591
"48000","Texas state total","6","CA1","2","...","Population (persons) 1/",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25245717,25657477,26094422,26505637,26956958
"48000","Texas state total","6","CA1","3","...","Per capita personal income (dollars) 2/",3481,3768,3991,4335,4816,5320,5912,6486,7076,7984,8943,9948,11375,12023,12448,13430,14212,14295,14530,15375,16307,17366,17817,18880,19535,20206,21177,22319,23825,25500,26447,28365,29717,29327,30010,31077,33330,35554,36992,39892,37037,38282,41235,43505,43807,45669
"48001","Anderson, TX","6","CA1","1","...","Personal income (thousands of dollars)",75186,81383,89102,95837,111110,127943,151006,168143,188223,217822,246762,287471,349710,410663,431695,457885,477427,485103,493444,521187,560364,578565,607049,644258,669932,721648,774573,816396,854688,904596,925120,996169,1039922,1063771,1100358,1154419,1221052,1309832,1430595,1540774,1510367,1580781,1640897,1739014,1763444,1833414
"48001","Anderson, TX","6","CA1","2","...","Population (persons) 1/",28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58478,58353,58026,57934,57627
"48001","Anderson, TX","6","CA1","3","...","Per capita personal income (dollars) 2/",2619,2905,3025,3123,3625,4140,4697,5025,5415,5960,6499,7395,8586,9807,9728,10127,10374,10433,10668,10839,11530,12058,12572,13251,13462,14226,14589,15257,15813,16662,16858,18092,19164,19433,19625,20525,21470,22825,24721,26582,25858,27032,28120,29970,30439,31815
"48003","Andrews, TX","6","CA1","1","...","Personal income (thousands of dollars)",37167,40434,47680,43153,50410,59440,71920,81923,94588,103390,114592,131170,173677,202516,208358,219650,223070,200913,192942,187227,197400,205807,207424,217812,223528,228632,228585,233554,249667,247742,244274,265839,290660,290211,324083,350103,387697,437973,473673,589039,511345,569278,707653,811615,867139,959968
"48003","Andrews, TX","6","CA1","2","...","Population (persons) 1/",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14835,15393,16119,16808,17477
"48003","Andrews, TX","6","CA1","3","...","Per capita personal income (dollars) 2/",3993,3869,4337,3872,4764,5529,6160,6893,7869,8326,8958,9729,12339,13374,13236,13944,13648,12170,12587,12508,13636,14422,14400,15206,16009,16386,16657,17195,18408,18224,18471,20530,22609,22286,24976,26919,29786,33192,35053,41779,35021,38374,45972,50351,51591,54928
"48005","Angelina, TX","6","CA1","1","...","Personal income (thousands of dollars)",146982,162161,179435,204766,227242,259009,296289,334397,376903,443379,503511,556713,636291,699230,720778,784546,831584,863796,857979,921674,985204,1041289,1109696,1167029,1227350,1302285,1383919,1461426,1536627,1637493,1686204,1807054,1988613,2008355,2121839,2242791,2360784,2550888,2681696,2737690,2691567,2788518,2960114,3193209,3129099,3258337
