"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"49000","Utah state total","7","CA1","1","...","Personal income (thousands of dollars)",3382733,3766826,4218585,4712891,5240231,5862782,6542102,7392847,8357884,9600731,10849284,12172076,13724644,14915627,15955618,17598302,18879636,19816954,20741022,22051776,23700811,25737076,27623517,29924984,32312390,35050599,38230275,41619496,45005385,48551476,51530286,55621044,58718769,60353040,62108532,66152366,72251941,80275053,87395274,91906117,88313814,90483243,96888550,102772080,106072574,110841885
"49000","Utah state total","7","CA1","2","...","Population (persons) 1/",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2774346,2815324,2855194,2902787,2942902
"49000","Utah state total","7","CA1","3","...","Per capita personal income (dollars) 2/",3231,3535,3833,4154,4483,4891,5302,5810,6349,7037,7661,8266,9056,9572,10004,10847,11492,11918,12360,13053,13894,14866,15521,16292,17021,17879,18981,20126,21231,22416,23386,24781,25712,25960,26316,27545,29398,31786,33643,34512,32428,32614,34415,35995,36542,37664
"49001","Beaver, UT","7","CA1","1","...","Personal income (thousands of dollars)",10053,11017,12353,14006,15579,17078,17753,20336,22776,24950,26710,29223,32789,35976,39956,44266,48650,46014,48739,52509,55591,58962,62608,67762,74966,72762,76716,88678,102057,107250,119422,135754,149955,135492,133004,158950,161931,146441,161435,167661,186218,184607,194455,196731,228986,236617
"49001","Beaver, UT","7","CA1","2","...","Population (persons) 1/",3900,3798,3830,3864,3993,3976,4064,4074,4064,4194,4240,4408,4518,4678,4771,4969,5087,4968,4876,4739,4726,4769,4798,4929,5001,5159,5394,5687,5851,5883,5978,5998,5999,6058,6039,6077,6192,6281,6266,6413,6552,6640,6521,6486,6462,6461
"49001","Beaver, UT","7","CA1","3","...","Per capita personal income (dollars) 2/",2578,2901,3225,3625,3902,4295,4368,4992,5604,5949,6300,6630,7257,7690,8375,8908,9564,9262,9996,11080,11763,12364,13049,13748,14990,14104,14222,15593,17443,18230,19977,22633,24997,22366,22024,26156,26152,23315,25764,26144,28422,27802,29820,30332,35436,36622
"49003","Box Elder, UT","7","CA1","1","...","Personal income (thousands of dollars)",92621,99989,109085,121115,132424,145952,152898,168753,184303,209760,238733,272419,307721,332602,361240,395912,425112,453647,494622,512039,538015,534864,553449,597413,622241,648293,694580,761533,803710,839057,869767,890532,959509,946730,984404,1040677,1122246,1207126,1314156,1430908,1398733,1411776,1478530,1517377,1581060,1659298
"49003","Box Elder, UT","7","CA1","2","...","Population (persons) 1/",27600,28185,28535,29133,29228,29181,29623,30247,30844,31547,32441,33455,34313,34805,35223,35829,35948,36259,36562,36875,36542,36568,36864,37317,37882,38541,39077,39802,40751,41571,42378,42882,43362,44038,44548,44666,45090,45948,47193,48437,49372,50153,50262,50269,50864,51518
"49003","Box Elder, UT","7","CA1","3","...","Per capita personal income (dollars) 2/",3356,3548,3823,4157,4531,5002,5161,5579,5975,6649,7359,8143,8968,9556,10256,11050,11826,12511,13528,13886,14723,14627,15013,16009,16426,16821,17775,19133,19722,20184,20524,20767,22128,21498,22098,23299,24889,26272,27846,29542,28330,28149,29416,30185,31084,32208
"49005","Cache, UT","7","CA1","1","...","Personal income (thousands of dollars)",106558,119391,134163,152519,170980,189913,213868,246212,274013,313605,359652,404816,450418,483007,530708,579882,625536,681993,741694,792358,868995,930631,996294,1081181,1172976,1252772,1335310,1428844,1546444,1651904,1714844,1790319,1902759,1973514,2091911,2287707,2371556,2531967,2743393,2997747,2943616,3072467,3287575,3406358,3442438,3600899
