"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"51000","Virginia state total","5","CA1","1","...","Personal income (thousands of dollars)",17870733,19388149,21429018,23779311,26598871,29484465,32413393,35757182,39623172,44964233,50089196,56563481,63482516,68641647,74262375,82639957,89530895,96590314,104293767,114134538,123358111,129544409,135044850,143870747,151326509,159147104,166955610,175267502,186787562,199551785,213357356,230690146,242665602,248876516,263332061,282227101,303358956,325257319,344318364,357348367,352367681,364452113,386767312,404103401,404886361,419184911
"51000","Virginia state total","5","CA1","2","...","Population (persons) 1/",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025376,8110188,8193422,8270345,8326289
"51000","Virginia state total","5","CA1","3","...","Per capita personal income (dollars) 2/",3873,4161,4509,4925,5421,5923,6410,6967,7611,8509,9407,10537,11661,12497,13345,14642,15666,16620,17581,18906,20156,20838,21432,22430,23247,24138,25028,25962,27351,28917,30479,32465,33711,34154,35745,37753,40036,42386,44422,45618,44458,45412,47689,49320,48956,50345
"51001","Accomack, VA","5","CA1","1","...","Personal income (thousands of dollars)",73083,79654,87305,96554,112459,125260,140373,154743,167024,195182,206731,225516,256382,266006,280821,312712,345181,379535,391898,418871,457087,467403,487877,529106,543798,581633,598084,615595,635105,681794,711306,749854,794782,815833,869435,918469,957353,974544,1038854,1093048,1094967,1112944,1120866,1177359,1186773,1220468
"51001","Accomack, VA","5","CA1","2","...","Population (persons) 1/",29308,28863,28560,28721,29553,30551,30893,30878,30893,31259,31443,31288,31306,31264,31215,31074,31075,31228,31565,31708,31868,31803,32520,33215,33907,34568,35024,35679,36266,37059,37614,38215,37742,37308,36742,36310,35835,35192,34553,33970,33415,33176,33294,33313,33021,33021
"51001","Accomack, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",2494,2760,3057,3362,3805,4100,4544,5011,5407,6244,6575,7208,8190,8508,8996,10063,11108,12154,12416,13210,14343,14697,15002,15930,16038,16826,17076,17254,17512,18398,18911,19622,21058,21868,23663,25295,26716,27692,30066,32177,32769,33547,33666,35342,35940,36960
"51007","Amelia, VA","5","CA1","1","...","Personal income (thousands of dollars)",18133,20167,22734,25256,30418,32424,35673,38675,40995,48954,54906,61041,68854,72819,77305,92109,98717,108229,113913,125379,135803,137785,140836,152640,164417,178142,192868,207584,223794,240593,256539,272695,300457,295227,316716,343875,380819,420610,438657,436712,432297,447117,466668,483892,501408,519028
"51007","Amelia, VA","5","CA1","2","...","Population (persons) 1/",7702,7583,7654,7902,8002,8178,8394,8462,8482,8372,8428,8403,8380,8301,8221,8188,8276,8381,8384,8495,8748,8823,9012,9307,9634,9708,9965,10241,10634,10890,11137,11446,11481,11540,11544,11712,11943,12250,12447,12563,12594,12740,12752,12745,12727,12855
"51007","Amelia, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",2354,2660,2970,3196,3801,3965,4250,4570,4833,5847,6515,7264,8216,8772,9403,11249,11928,12914,13587,14759,15524,15617,15628,16401,17066,18350,19355,20270,21045,22093,23035,23824,26170,25583,27436,29361,31886,34336,35242,34762,34326,35096,36596,37967,39397,40376
"51009","Amherst, VA","5","CA1","1","...","Personal income (thousands of dollars)",63872,69848,74554,82830,92867,105329,118463,129454,141172,158905,179678,189106,207243,225748,251554,278414,293497,313933,338378,354017,381059,398146,410343,434963,468200,492716,514709,544396,574564,604040,642388,686835,717334,747613,762306,801363,834306,870354,923112,967790,972541,954030,990539,1028329,1019619,1053141
"51009","Amherst, VA","5","CA1","2","...","Population (persons) 1/",26007,26141,26779,27593,27431,27242,27579,27780,27675,28284,28927,29128,29098,29143,28931,28926,28715,28654,28595,28576,28402,28694,28962,29287,29581,30085,30387,30774,30994,31199,31710,31854,31953,31775,31810,31783,31955,32094,32203,32510,32447,32388,32120,32445,32193,32041
"51009","Amherst, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",2456,2672,2784,3002,3385,3866,4295,4660,5101,5618,6211,6492,7122,7746,8695,9625,10221,10956,11833,12389,13417,13876,14168,14852,15828,16377,16938,17690,18538,19361,20258,21562,22450,23528,23964,25214,26109,27119,28665,29769,29973,29456,30839,31695,31672,32869
"51011","Appomattox, VA","5","CA1","1","...","Personal income (thousands of dollars)",27468,29882,31921,35916,40761,45943,49324,56289,62244,71882,78497,87831,96333,99256,109092,122818,131942,140777,150512,159575,174907,182639,185929,199014,207238,225074,234323,249765,269605,287290,307938,335222,336723,331552,347148,364178,378940,395989,423257,460600,462482,462844,482618,489442,496687,512653
"51011","Appomattox, VA","5","CA1","2","...","Population (persons) 1/",9803,9793,9984,10408,10336,10660,11216,11392,11574,11791,12164,11994,12064,12031,12097,12083,12124,12146,12272,12346,12312,12312,12560,12613,12751,12798,12953,13088,13277,13466,13651,13692,13809,13733,13765,13916,13981,14215,14425,14795,14812,15031,15003,15144,15230,15279
"51011","Appomattox, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",2802,3051,3197,3451,3944,4310,4398,4941,5378,6096,6453,7323,7985,8250,9018,10165,10883,11590,12265,12925,14206,14834,14803,15778,16253,17587,18090,19084,20306,21334,22558,24483,24384,24143,25220,26170,27104,27857,29342,31132,31223,30793,32168,32319,32612,33553
"51013","Arlington, VA","5","CA1","1","...","Personal income (thousands of dollars)",1197501,1329952,1468298,1567817,1650393,1741085,1924443,2046483,2177764,2382410,2546653,2804006,3130709,3374559,3591358,3916807,4184669,4400503,4612682,5000142,5279954,5433632,5697715,6080086,6406733,6704976,7074033,7436006,7924743,8534794,9095561,9903596,10484946,10695435,11160268,12354641,13004456,13728130,14617609,15258612,15192527,16077796,17311836,18129488,18308278,18871919
"51013","Arlington, VA","5","CA1","2","...","Population (persons) 1/",174981,173825,174500,172980,164416,156886,156925,158937,156584,154634,154108,153363,156123,157834,160483,163163,165356,167502,168060,169903,170391,171164,172773,175365,177845,180563,181741,182801,184768,186693,188716,189198,190386,190137,188735,187901,187760,188176,190759,196305,202637,209395,216603,221947,226012,226908
"51013","Arlington, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",6844,7651,8414,9064,10038,11098,12263,12876,13908,15407,16525,18283,20053,21380,22378,24005,25307,26271,27447,29429,30987,31745,32978,34671,36024,37134,38924,40678,42890,45716,48197,52345,55072,56251,59132,65751,69261,72954,76629,77729,74974,76782,79924,81684,81006,83170
"51017","Bath, VA","5","CA1","1","...","Personal income (thousands of dollars)",13319,14695,16045,18393,20973,23338,25278,27341,30574,39214,46316,48738,48730,59311,67893,76230,72444,67748,68242,69565,77735,78818,84256,92879,101221,104655,105120,109507,115840,117965,125580,134936,140882,144073,149292,160418,157230,162082,178514,180288,174934,167359,186638,211197,204733,211554
"51017","Bath, VA","5","CA1","2","...","Population (persons) 1/",5201,5207,5266,5252,5262,4890,5356,5214,5121,5447,5626,5786,5481,5410,5493,5395,5330,5117,5043,5001,4911,4790,4786,4799,4861,4906,4954,4997,4967,5026,5052,5020,4997,5012,4974,4934,4891,4823,4835,4778,4743,4717,4676,4655,4607,4563
"51017","Bath, VA","5","CA1","3","...","Per capita personal income (dollars) 2/",2561,2822,3047,3502,3986,4773,4720,5244,5970,7199,8232,8423,8891,10963,12360,14130,13592,13240,13532,13910,15829,16455,17605,19354,20823,21332,21219,21915,23322,23471,24857,26880,28193,28746,30014,32513,32147,33606,36921,37733,36883,35480,39914,45370,44440,46363
"51019","Bedford, VA","5","CA1","1","...","Personal income (thousands of dollars)",98820,102706,111201,126264,145100,164246,175014,203191,231858,269080,311990,362177,400478,429758,478707,539186,589237,637863,700719,768126,848514,917553,973915,1052417,1138841,1208316,1303066,1422861,1568255,1694276,1804265,1920731,2015764,2074348,2167557,2237788,2306586,2482383,2590442,2747276,2715216,2731620,2848045,2988924,3034795,3163386
"51019","Bedford, VA","5","CA1","2","...","Population (persons) 1/",32709,32872,33931,33641,34727,35696,36096,36657,37336,39054,40243,41157,42038,42582,43145,44277,45261,46538,48013,49296,50658,51978,53666,55438,57062,58776,60684,62320,63058,64763,65758,66897,67385,67900,68678,69761,71011,72510,73561,73744,74573,74941,75338,75431,75740,76583
