"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont state total","1","CA1","1","...","Personal income (thousands of dollars)",1503562,1649486,1785668,1969923,2160343,2336657,2553979,2839324,3080373,3531717,3976039,4469318,5035413,5446636,5815938,6418440,6937305,7479849,8136635,8896581,9842411,10205317,10386332,11117833,11538472,12122967,12782449,13467271,14192206,15243736,16144857,17408180,18346953,18811949,19634905,20861783,21336918,22796077,23979255,25035599,24535499,25073118,26771396,27729733,28107555,29090044
"50000","Vermont state total","1","CA1","2","...","Population (persons) 1/",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625792,626450,626138,626855,626562
"50000","Vermont state total","1","CA1","3","...","Per capita personal income (dollars) 2/",3441,3696,3930,4253,4611,4939,5322,5853,6259,7088,7862,8720,9766,10492,11114,12187,13088,14005,15060,16183,17648,18069,18266,19411,19971,20764,21702,22684,23763,25389,26700,28556,29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428
"50001","Addison, VT","1","CA1","1","...","Personal income (thousands of dollars)",73816,83193,90520,100644,109829,116910,126601,141287,150490,174885,200322,229084,259333,281743,295179,328405,359253,397698,438776,465689,514938,543838,552038,590019,603678,634287,665658,716908,749661,823514,878886,948157,1001191,1027639,1101143,1150672,1158548,1244010,1322104,1382664,1339469,1367768,1451810,1518469,1558655,1628994
"50001","Addison, VT","1","CA1","2","...","Population (persons) 1/",23692,24283,24462,24707,25726,26403,26799,27132,27269,27595,28477,29448,29549,29932,30439,30521,30642,30739,31353,31988,32380,33150,33454,33762,34140,34394,34599,34930,35103,35481,35687,36002,36055,36320,36432,36580,36611,36758,36886,36905,36847,36811,36861,36837,36898,37009
"50001","Addison, VT","1","CA1","3","...","Per capita personal income (dollars) 2/",3116,3426,3700,4074,4269,4428,4724,5207,5519,6338,7035,7779,8776,9413,9697,10760,11724,12938,13995,14558,15903,16405,16501,17476,17682,18442,19239,20524,21356,23210,24628,26336,27768,28294,30225,31456,31645,33843,35843,37465,36352,37157,39386,41221,42242,44016
"50003","Bennington, VT","1","CA1","1","...","Personal income (thousands of dollars)",107384,115673,126324,143952,158661,169779,183454,206626,226808,259816,292811,323300,363127,393834,419097,456235,481734,510098,550448,598573,663976,675460,682566,727925,754417,794427,822465,855989,904482,997577,1036199,1103968,1150336,1171512,1210680,1289399,1275961,1387780,1472177,1529638,1438929,1460866,1551991,1609215,1615359,1671867
"50003","Bennington, VT","1","CA1","2","...","Population (persons) 1/",28669,29234,29264,29154,30351,31131,31375,31873,32890,32983,33131,33447,33782,34084,34411,34648,34839,34928,35156,35551,35876,35854,35809,35940,36053,36316,36680,36809,36782,36770,36927,36965,36974,37105,37083,37062,36960,37127,37077,37168,37151,37077,36812,36669,36692,36445
"50003","Bennington, VT","1","CA1","3","...","Per capita personal income (dollars) 2/",3746,3957,4317,4938,5228,5454,5847,6483,6896,7877,8838,9666,10749,11555,12179,13168,13827,14604,15657,16837,18508,18839,19061,20254,20925,21875,22423,23255,24590,27130,28061,29865,31112,31573,32648,34790,34523,37379,39706,41155,38732,39401,42160,43885,44025,45874
"50005","Caledonia, VT","1","CA1","1","...","Personal income (thousands of dollars)",70924,77296,85389,94316,105013,112136,122763,140397,148787,163959,177642,197071,220460,237330,252013,274671,294572,317862,342909,373690,408712,423146,430297,476895,475347,494496,518814,547539,575644,617584,642763,706915,750329,757557,785531,834855,859649,911829,968820,1020174,1003223,1027947,1087741,1117126,1120048,1160893
"50005","Caledonia, VT","1","CA1","2","...","Population (persons) 1/",22597,22882,23239,23740,23952,24239,24873,25089,25181,25530,25870,25824,25826,25772,25874,26065,26013,26249,26521,27089,27477,27982,28249,28417,28713,28827,28934,29223,29131,29214,29546,29662,29704,30046,30188,30642,30881,31252,31238,31167,31213,31189,31130,31095,31151,30981
"50005","Caledonia, VT","1","CA1","3","...","Per capita personal income (dollars) 2/",3139,3378,3674,3973,4384,4626,4936,5596,5909,6422,6867,7631,8536,9209,9740,10538,11324,12109,12930,13795,14875,15122,15232,16782,16555,17154,17931,18737,19761,21140,21755,23832,25260,25213,26021,27245,27837,29177,31014,32733,32141,32959,34942,35926,35955,37471
"50007","Chittenden, VT","1","CA1","1","...","Personal income (thousands of dollars)",349208,390716,420988,457066,489950,529868,587151,656739,724307,843091,967072,1092420,1247175,1359477,1467983,1620980,1777582,1922930,2102439,2339405,2623147,2757310,2824313,2989238,3119178,3241084,3478435,3712783,3906351,4229003,4522131,4901625,5155983,5285620,5531755,5810628,5950595,6447007,6728955,7026119,6872775,7046112,7664552,7978460,8080859,8326853
"50007","Chittenden, VT","1","CA1","2","...","Population (persons) 1/",96160,99762,102354,104328,104163,104965,106233,107909,109777,111354,113185,115955,117334,118431,119853,120777,122341,123808,125371,128298,130682,132143,132996,134042,135985,138442,140104,141239,142729,143758,145379,147161,148441,149639,150410,151445,152163,152861,153625,154659,155793,156762,157679,158641,159818,160531
"50007","Chittenden, VT","1","CA1","3","...","Per capita personal income (dollars) 2/",3632,3916,4113,4381,4704,5048,5527,6086,6598,7571,8544,9421,10629,11479,12248,13421,14530,15532,16770,18234,20073,20866,21236,22301,22938,23411,24828,26287,27369,29418,31106,33308,34734,35322,36778,38368,39107,42176,43801,45430,44115,44948,48609,50293,50563,51871
"50009","Essex, VT","1","CA1","1","...","Personal income (thousands of dollars)",14902,16700,18330,19127,21488,22992,23997,27292,28811,31950,35394,39478,45563,47656,51417,56970,58881,62164,65862,73346,77420,78417,80552,85963,87754,91793,94790,98444,104902,114275,117513,123939,131134,127124,128789,144094,158158,165262,169773,175638,178116,189113,194145,197150,206703,210844
