"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"53000","Washington state total","8","CA1","1","...","Personal income (thousands of dollars)",14189188,14963601,15755947,16989715,19127287,21698528,24547939,27219877,30214671,35172996,40388261,45791768,51106487,54139646,57662556,61887083,65734074,70366088,74684332,81318656,89962254,98856108,105798375,114253674,120065517,126288890,133508969,143601196,154903989,169810204,181571972,194350796,198969613,203533310,211586552,227292539,236240040,256127539,277550637,291759984,281686722,288694995,305628042,326496701,331031362,350321729
"53000","Washington state total","8","CA1","2","...","Population (persons) 1/",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741911,6822112,6896325,6973742,7061530
"53000","Washington state total","8","CA1","3","...","Per capita personal income (dollars) 2/",4244,4379,4571,4929,5501,6116,6783,7376,8009,9051,10065,11022,12066,12660,13409,14248,14939,15803,16480,17526,18954,20162,21052,22139,22745,23495,24358,25782,27297,29432,31077,32882,33241,33629,34663,36787,37754,40204,42954,44460,42248,42821,44800,47344,47468,49610
"53001","Adams, WA","8","CA1","1","...","Personal income (thousands of dollars)",50577,58571,61726,70262,87983,110217,126891,112356,105778,114978,113797,145766,154527,142001,202492,194970,184754,209811,185663,206758,210585,244108,237881,261272,299299,287010,299046,329251,325830,345065,334999,354400,368878,389185,414640,427266,436989,464733,525354,576159,566033,602008,671940,707108,713465,717395
"53001","Adams, WA","8","CA1","2","...","Population (persons) 1/",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18760,18830,18914,19073,19179
"53001","Adams, WA","8","CA1","3","...","Per capita personal income (dollars) 2/",4508,4831,4948,5676,7006,8872,10025,8367,7760,8451,8305,10994,11705,10725,15108,14407,13567,15562,13653,15343,15513,17902,16871,18049,20044,18344,19034,20760,20311,21308,20629,21534,22688,23666,24960,25640,25830,27342,30170,32401,30754,32090,35685,37385,37407,37405
"53003","Asotin, WA","8","CA1","1","...","Personal income (thousands of dollars)",46248,49083,53148,59650,68648,76080,88910,96531,106831,123658,141947,159265,171335,175840,194196,201854,202505,209472,215920,231136,247702,267419,293602,314853,342522,359002,374446,405189,436599,462386,484310,508681,544315,564662,581666,605895,629307,674886,713497,753994,746387,765882,806366,827591,834405,876535
"53003","Asotin, WA","8","CA1","2","...","Population (persons) 1/",13285,13833,14091,14909,14954,15271,15423,15610,15858,16150,16452,16857,16963,16998,17046,17299,17385,17311,17128,17095,17324,17666,17948,18399,18860,19454,19894,20280,20499,20721,20560,20546,20447,20490,20487,20783,20908,21133,21188,21393,21415,21697,21911,21873,22104,22189
"53003","Asotin, WA","8","CA1","3","...","Per capita personal income (dollars) 2/",3481,3548,3772,4001,4591,4982,5765,6184,6737,7657,8628,9448,10101,10345,11392,11669,11648,12101,12606,13521,14298,15137,16358,17113,18161,18454,18822,19980,21299,22315,23556,24758,26621,27558,28392,29153,30099,31935,33675,35245,34853,35299,36802,37836,37749,39503
"53005","Benton, WA","8","CA1","1","...","Personal income (thousands of dollars)",251590,278051,295020,328827,375557,456101,556933,632566,764870,953205,1106984,1222589,1466080,1525162,1547705,1521207,1565630,1646340,1709804,1740192,1874546,2068087,2271163,2521072,2785857,3026496,3088373,3159866,3256691,3436278,3637375,3908947,4216059,4477280,4711497,4931587,5099267,5210964,5706596,6184401,6455664,6893609,7352394,7414775,7385308,7637683
"53005","Benton, WA","8","CA1","2","...","Population (persons) 1/",64951,67599,67742,68011,68387,71129,76936,83029,88906,96702,103941,110252,113271,116202,112679,110669,110353,110193,110971,110060,109284,113583,116631,120711,125195,130703,134740,135833,137376,138628,140629,143131,145909,150323,153596,155689,157726,159564,161669,166573,171122,176456,180475,182396,184453,186486
"53005","Benton, WA","8","CA1","3","...","Per capita personal income (dollars) 2/",3874,4113,4355,4835,5492,6412,7239,7619,8603,9857,10650,11089,12943,13125,13736,13746,14187,14941,15408,15811,17153,18208,19473,20885,22252,23156,22921,23263,23706,24788,25865,27310,28895,29784,30675,31676,32330,32658,35298,37127,37726,39067,40739,40652,40039,40956
"53007","Chelan, WA","8","CA1","1","...","Personal income (thousands of dollars)",161176,166983,187848,194249,223170,257339,292789,318264,353663,392433,431289,478807,516236,553421,599348,649933,676160,717912,775497,780928,862570,920146,1031115,1125736,1195692,1260648,1320854,1428511,1497519,1600983,1627281,1729395,1802056,1819517,1941450,2045001,2103372,2235961,2397957,2641425,2599973,2639553,2788634,2976993,3010532,3188915
"53007","Chelan, WA","8","CA1","2","...","Population (persons) 1/",39659,41063,41074,39924,39663,40639,41266,41951,42949,43748,44437,45315,46242,46530,47528,48598,49312,49478,49636,50916,51698,52476,53627,55127,56599,58384,60569,62091,63233,64415,65764,66648,66574,66742,67173,67882,68747,69536,70214,70813,71679,72727,73300,73670,74037,74588
"53007","Chelan, WA","8","CA1","3","...","Per capita personal income (dollars) 2/",4064,4067,4573,4865,5627,6332,7095,7587,8234,8970,9706,10566,11164,11894,12610,13374,13712,14510,15624,15338,16685,17535,19228,20421,21126,21592,21807,23007,23683,24854,24744,25948,27068,27262,28902,30126,30596,32155,34152,37301,36272,36294,38044,40410,40663,42754
"53009","Clallam, WA","8","CA1","1","...","Personal income (thousands of dollars)",118339,133422,145238,165718,196786,227022,254014,297513,340167,384244,450730,494648,532413,553926,605609,662972,706153,742466,773611,839728,939663,1010159,1066076,1129736,1184534,1227187,1288820,1359856,1452019,1515738,1557956,1628479,1725362,1768799,1902073,1980062,2049878,2203256,2350058,2524788,2452218,2482816,2603734,2715352,2733396,2866163
"53009","Clallam, WA","8","CA1","2","...","Population (persons) 1/",34050,34999,36103,36600,39029,40705,41251,43847,45182,47367,49969,51703,51825,51217,51162,51629,52068,52687,53797,54425,55241,56525,57926,59494,60643,61485,62108,62916,63380,63998,64252,64269,64756,65777,66301,67411,68720,69642,70186,70769,71077,71526,71783,71848,72250,72715
"53009","Clallam, WA","8","CA1","3","...","Per capita personal income (dollars) 2/",3475,3812,4023,4528,5042,5577,6158,6785,7529,8112,9020,9567,10273,10815,11837,12841,13562,14092,14380,15429,17010,17871,18404,18989,19533,19959,20751,21614,22910,23684,24248,25338,26644,26891,28688,29373,29829,31637,33483,35676,34501,34712,36272,37793,37832,39416
"53011","Clark, WA","8","CA1","1","...","Personal income (thousands of dollars)",484392,519080,582721,664555,754181,863442,963542,1100142,1247460,1462191,1704790,1951994,2153591,2240851,2405918,2670804,2819355,3037292,3258905,3668075,4112447,4530638,4851522,5312306,5801165,6289742,6869008,7635251,8464970,9057205,9418458,10364021,10978863,11036767,11554550,12344441,13390907,14313104,15483890,16591380,15928387,16069435,17061202,18159821,18357803,19462176
