"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","63","9.5"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","90","10.5"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (EXCL NEMATICIDES)","119","12.7"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEMATICIDES)","15","13.9"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","12","8.4"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (MANURE)","51","31.2"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (TOTAL)","122","12.8"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","896","3.0"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","1,631","16.4"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (EXCL NEMATICIDES)","1,069","8.7"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (NEMATICIDES)","54","3.0"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","CHEMICAL, OTHER","CHEMICAL, OTHER: (TOTAL)","324","4.5"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (MANURE)","341","45.9"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","2,414","9.2"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL PASTURED) - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (TOTAL)","98","11.6"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND, CROPLAND, (EXCL PASTURED) - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","2,138","7.9"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND, PASTURELAND - OPERATIONS WITH TREATED","FERTILIZER","FERTILIZER: (TOTAL)","32","28.6"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","FAIRFIELD","001","","","00000000","","AG LAND","AG LAND, PASTURELAND - TREATED, MEASURED IN ACRES","FERTILIZER","FERTILIZER: (TOTAL)","276","44.2"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","HARTFORD","003","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","144","9.5"
"CENSUS","2012","YEAR","","COUNTY","CONNECTICUT","09","ALL COUNTIES","10","HARTFORD","003","","","00000000","","AG LAND","AG LAND - OPERATIONS WITH TREATED","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","282","10.5"
