FIPS,amen_region_census,amen_rural_urban,amen_urban_inf,amen_low,amen_sun,amen_high,amen_humid,amen_topo,amen_per_water,amen_log_water,amen_scale,amen_rank
1001,6,2,2,47.4,130,81,66,14,1.4,4.944,0.78,4
1003,6,2,2,51.9,152,80.6,72,4,21.24,7.661,1.82,4
1005,6,6,5,48.8,152,81,69,4,2.17,5.378,0.19,4
1007,6,6,6,44.8,130,80.8,66,14,0.5,3.916,-0.15,3
1009,6,2,2,41.9,130,78.4,66,14,0.76,4.336,0.23,4
1011,6,6,6,47.8,149,80.2,67,4,0.17,2.81,-1.08,3
1013,6,7,8,49.2,152,80.8,69,4,0.13,2.602,-1.16,3
1015,6,3,2,42.8,130,79.2,66,15,0.63,4.141,0.22,4
1017,6,5,8,44.2,149,79.2,67,5,0.95,4.557,-0.34,3
1019,6,6,6,42.8,130,79.2,66,9,7.81,6.66,0.64,4
1021,6,6,6,44.6,130,80,66,14,0.96,4.566,0.38,4
1023,6,9,9,47.4,152,80.5,69,13,0.8,4.377,0.92,4
1025,6,7,8,47.4,152,80.5,69,14,1.13,4.726,1.26,4
1027,6,9,9,44.2,149,79.2,67,15,0.15,2.731,0.21,4
1029,6,6,4,44.2,149,79.2,67,15,0.15,2.73,0.21,4
1031,6,4,5,50.5,152,80.5,69,4,0.2,2.973,-0.66,3
1033,6,3,2,41.3,130,80.1,65,14,4.66,6.145,0.7,4
1035,6,7,8,48.4,152,80.5,69,4,0.2,2.999,-1,3
1037,6,8,6,44.2,149,79.2,67,15,2.09,5.342,1.59,4
1039,6,7,8,49.2,152,80.8,69,4,0.88,4.481,-0.17,3
1041,6,6,6,48.5,152,80.3,69,4,0.21,3.05,-0.91,3
1043,6,6,5,40.9,130,78.3,66,14,2.17,5.38,0.64,4
1045,6,3,2,50.5,152,80.5,69,4,0.28,3.348,-0.47,3
1047,6,4,5,49.1,149,81.7,67,4,1.27,4.848,-0.18,3
1049,6,6,5,39.6,130,76.8,66,9,0.09,2.238,-1.6,3
1051,6,2,2,46,149,79.7,67,14,5.43,6.297,2.11,4
1053,6,6,6,50.5,152,80.3,69,4,0.58,4.068,-0.03,3
1055,6,3,2,42.8,130,79.2,66,15,2.55,5.54,0.96,4
1057,6,6,6,43.7,130,79.6,66,14,0.25,3.217,-0.38,3
1059,6,6,6,41.3,130,80.1,65,14,1.68,5.125,0.16,4
1061,6,6,6,49.8,152,81.1,69,4,0.45,3.797,-0.51,3
1063,6,8,6,47.4,149,81.1,67,4,2.13,5.359,-0.04,3
1065,6,6,6,47.4,149,81.1,67,14,1.94,5.268,1.43,4
1067,6,6,6,50.6,152,81.3,69,4,1.13,4.727,0.07,4
