"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"02000","Alaska state total","8","CA5N","10","...","Personal income",20830211,21825208,22867997,24114497,25691736,27380164,29516606,32496796,32283659,34103385,36527487,38213009,37791031,39792685
"02000","Alaska state total","8","CA5N","20","...","Population (persons) 2/",633714,642337,648414,659286,666946,675302,680300,687455,698895,713856,722572,731081,737259,736732
"02000","Alaska state total","8","CA5N","30","...","Per capita personal income (dollars)",32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012
"02000","Alaska state total","8","CA5N","35","...","Earnings by place of work",16910800,17858578,18773199,19787889,20922452,22110370,23166783,24279788,25144839,26114807,27592707,29086100,29268168,30059047
"02000","Alaska state total","8","CA5N","36","...","  less: Contributions for government social insurance 3/",1737867,1827347,1891089,2014551,2155217,2362291,2461487,2543376,2587408,2680121,2540106,2690706,3122355,3134197
"02000","Alaska state total","8","CA5N","37","...","    Employee and self-employed contributions for government social insurance",840321,885322,919586,976316,1038882,1146401,1214894,1263214,1284489,1338753,1100807,1146488,1512535,1562134
"02000","Alaska state total","8","CA5N","38","...","    Employer contributions for government social insurance",897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1341368,1439299,1544218,1609820,1572063
"02000","Alaska state total","8","CA5N","42","...","  plus: Adjustment for residence 4/",-982378,-889504,-722606,-551824,-384412,-342308,-281484,-174706,-180600,-182597,-200988,-215660,-216448,-230236
"02000","Alaska state total","8","CA5N","45","...","  equals: Net earnings by place of residence",14190555,15141727,16159504,17221514,18382823,19405771,20423812,21561706,22376831,23252089,24851613,26179734,25929365,26694614
"02000","Alaska state total","8","CA5N","46","...","  plus: Dividends, interest, and rent 5/",3420205,3376763,3462769,3684928,3918068,4381625,5017654,5483644,5168055,5561253,6139510,6626417,6447980,6644390
"02000","Alaska state total","8","CA5N","47","...","  plus: Personal current transfer receipts",3219451,3306718,3245724,3208055,3390845,3592768,4075140,5451446,4738773,5290043,5536364,5406858,5413686,6453681
"02000","Alaska state total","8","CA5N","50","...","  Wages and salaries",11733847,12331495,12801278,13463175,14257925,15123763,16129296,17033186,17540259,18013163,18791486,19595302,19975602,20683386
"02000","Alaska state total","8","CA5N","60","...","  Supplements to wages and salaries",3162501,3382836,3759474,4035465,4373352,4505786,4699768,4797299,5045034,5239414,5763144,6224856,6239526,6138088
"02000","Alaska state total","8","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",2264955,2440811,2787971,2997230,3257017,3289896,3453175,3517137,3742115,3898046,4323845,4680638,4629706,4566025
"02000","Alaska state total","8","CA5N","62","...","    Employer contributions for government social insurance",897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1341368,1439299,1544218,1609820,1572063
"02000","Alaska state total","8","CA5N","70","...","  Proprietors' income 7/",2014452,2144247,2212447,2289249,2291175,2480821,2337719,2449303,2559546,2862230,3038077,3265942,3053040,3237573
"02000","Alaska state total","8","CA5N","71","...","    Farm proprietors' income",13108,12665,5734,8137,7942,3765,2668,-9943,-11010,-7757,-8228,-2970,-3414,-12203
"02000","Alaska state total","8","CA5N","72","...","    Nonfarm proprietors' income",2001344,2131582,2206713,2281112,2283233,2477056,2335051,2459246,2570556,2869987,3046305,3268912,3056454,3249776
