"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"08000","Colorado state total","7","CA5N","10","...","Personal income",155992188,157172883,160369195,167793881,179089828,192161658,203034950,213342148,206385419,211419677,227052222,240905431,246447709,261735447
"08000","Colorado state total","7","CA5N","20","...","Population (persons) 2/",4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048575,5119661,5191709,5272086,5355866
"08000","Colorado state total","7","CA5N","30","...","Per capita personal income (dollars)",35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869
"08000","Colorado state total","7","CA5N","35","...","Earnings by place of work",125322139,124991650,126951436,133157836,140922356,149678819,155173888,162258736,156328607,159496988,165821646,175346352,182540370,194861467
"08000","Colorado state total","7","CA5N","36","...","  less: Contributions for government social insurance 3/",12313813,12726448,12959630,13830692,14686669,15591455,16421402,17107057,16489335,16659955,15765370,16534086,19329841,20699543
"08000","Colorado state total","7","CA5N","37","...","    Employee and self-employed contributions for government social insurance",6454529,6443334,6531343,6871451,7280498,7832927,8363997,8746704,8527731,8591724,7082065,7419204,10031748,10803545
"08000","Colorado state total","7","CA5N","38","...","    Employer contributions for government social insurance",5859284,6283114,6428287,6959241,7406171,7758528,8057405,8360353,7961604,8068231,8683305,9114882,9298093,9895998
"08000","Colorado state total","7","CA5N","42","...","  plus: Adjustment for residence 4/",337637,1258854,1175794,1290935,1236696,793799,895336,522290,501470,527467,585420,624896,622959,636793
"08000","Colorado state total","7","CA5N","45","...","  equals: Net earnings by place of residence",113345963,113524056,115167600,120618079,127472383,134881163,139647822,145673969,140340742,143364500,150641696,159437162,163833488,174798717
"08000","Colorado state total","7","CA5N","46","...","  plus: Dividends, interest, and rent 5/",29480325,28805032,29649838,30932566,34085362,38477295,43261344,44173098,39967538,38527598,45883119,50754178,50740299,52895038
"08000","Colorado state total","7","CA5N","47","...","  plus: Personal current transfer receipts",13165900,14843795,15551757,16243236,17532083,18803200,20125784,23495081,26077139,29527579,30527407,30714091,31873922,34041692
"08000","Colorado state total","7","CA5N","50","...","  Wages and salaries",89129887,88089377,89280694,93569091,98787261,105664224,112506406,116677545,112297127,113786263,118558239,125014182,129509356,138654268
"08000","Colorado state total","7","CA5N","60","...","  Supplements to wages and salaries",18208143,18555634,19523765,20598323,22049896,22482870,23067646,23835603,24540099,24872755,24930159,26214169,27372621,28771722
"08000","Colorado state total","7","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",12348859,12272520,13095478,13639082,14643725,14724342,15010241,15475250,16578495,16804524,16246854,17099287,18074528,18875724
"08000","Colorado state total","7","CA5N","62","...","    Employer contributions for government social insurance",5859284,6283114,6428287,6959241,7406171,7758528,8057405,8360353,7961604,8068231,8683305,9114882,9298093,9895998
"08000","Colorado state total","7","CA5N","70","...","  Proprietors' income 7/",17984109,18346639,18146977,18990422,20085199,21531725,19599836,21745588,19491381,20837970,22333248,24118001,25658393,27435477
"08000","Colorado state total","7","CA5N","71","...","    Farm proprietors' income",666812,262114,358819,532260,667764,357916,522335,296763,46680,445028,805266,618811,723745,786596
"08000","Colorado state total","7","CA5N","72","...","    Nonfarm proprietors' income",17317297,18084525,17788158,18458162,19417435,21173809,19077501,21448825,19444701,20392942,21527982,23499190,24934648,26648881
"08000","Colorado state total","7","CA5N","81","111-112","  Farm earnings",1074255,713572,761064,956143,1131872,798540,1022222,784217,577017,911301,1262795,1153081,1327677,1398678
"08000","Colorado state total","7","CA5N","82","...","  Nonfarm earnings",124247884,124278078,126190372,132201693,139790484,148880279,154151666,161474519,155751590,158585687,164558851,174193271,181212693,193462789
"08000","Colorado state total","7","CA5N","90","113-814","    Private nonfarm earnings",106018351,104571401,105405523,110437286,116771302,125028281,129422030,135111808,128084312,129879351,135554990,144890442,151279273,162497243
"08000","Colorado state total","7","CA5N","100","113-115","      Forestry, fishing, and related activities",174051,170536,175184,187618,200222,231511,231607,228724,246701,281611,274733,318746,325295,352119
"08000","Colorado state total","7","CA5N","101","113","        Forestry and logging",15157,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",21490,15908,17642,16690,17910
"08000","Colorado state total","7","CA5N","102","114","        Fishing, hunting and trapping",7001,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",8947,7232,8714,8731,9277
"08000","Colorado state total","7","CA5N","103","115","        Support activities for agriculture and forestry",151893,150022,155146,167947,180883,209847,209220,206124,223457,251174,251593,292390,299874,324932
"08000","Colorado state total","7","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",2018044,1839833,1965766,2444526,3393801,4454622,4436212,7618491,4024828,4988020,6749932,7694713,8706163,9635922
"08000","Colorado state total","7","CA5N","201","211","        Oil and gas extraction",1357174,1180637,1343441,1663749,2368627,3067144,2807530,5543026,2600374,3458006,4758768,5384799,6420703,6971710
"08000","Colorado state total","7","CA5N","202","212","        Mining (except oil and gas)",432290,440152,371296,409128,445824,517201,543279,581831,530738,557232,662096,727602,687996,672360
"08000","Colorado state total","7","CA5N","203","213","        Support activities for mining",228580,219044,251029,371649,579350,870277,1085403,1493634,893716,972782,1329068,1582312,1597464,1991852
"08000","Colorado state total","7","CA5N","300","22","      Utilities",771878,757733,734972,822315,811696,1076683,903323,1017548,1013014,1102831,1203734,1268673,1125213,1235934
"08000","Colorado state total","7","CA5N","400","23","      Construction",11468131,11350585,10835083,11081718,11726497,12649533,12700385,12311967,10542456,9586853,9504829,10212682,11346918,12990487
"08000","Colorado state total","7","CA5N","401","236","        Construction of buildings",3089197,3036586,2877711,2905164,3063459,3337690,3304269,3069140,2641366,2285476,2200144,2307369,2641634,3030817
"08000","Colorado state total","7","CA5N","402","237","        Heavy and civil engineering construction",1412339,1471182,1360178,1366939,1430629,1569815,1638987,1748880,1438639,1369838,1474246,1520632,1729201,1975318
"08000","Colorado state total","7","CA5N","403","238","        Specialty trade contractors",6966595,6842817,6597194,6809615,7232409,7742028,7757129,7493947,6462451,5931539,5830439,6384681,6976083,7984352
"08000","Colorado state total","7","CA5N","500","31-33","      Manufacturing",11270943,10652335,10154620,10422873,10694318,10913601,10873505,11138938,10140045,10135849,10687647,11034029,11102289,11865992
"08000","Colorado state total","7","CA5N","510","321,327-339","        Durable goods manufacturing",7964270,7542670,7063485,7346093,7557375,7730646,7777104,7747467,6954125,6984734,7367892,7659731,7660109,8105441
"08000","Colorado state total","7","CA5N","511","321","          Wood product manufacturing",196503,189605,195829,230899,248439,262877,257933,230880,157147,134500,133367,146530,164934,180553
"08000","Colorado state total","7","CA5N","512","327","          Nonmetallic mineral product manufacturing",557490,535100,506666,527351,548356,588502,603811,587811,445267,453611,449925,485835,496797,540120
"08000","Colorado state total","7","CA5N","513","331","          Primary metal manufacturing",104908,113704,109032,192902,162347,170496,187322,237437,103350,133069,222618,195320,156741,149634
"08000","Colorado state total","7","CA5N","514","332","          Fabricated metal product manufacturing",843274,812934,772368,813713,803759,841416,880587,896010,783140,759698,824520,884315,948269,1023768
"08000","Colorado state total","7","CA5N","515","333","          Machinery manufacturing",574519,544225,511328,539424,571499,611088,682548,749397,732329,743416,831753,897323,888856,948164
"08000","Colorado state total","7","CA5N","516","334","          Computer and electronic product manufacturing",3795654,3496920,3037293,2989886,3019039,2943295,2796474,2641456,2459048,2514578,2612153,2726539,2559092,2662165
