"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii state total","8","CA5N","10","...","Personal income",36346822,38046865,39848922,43084829,46110790,49616959,52658521,55477851,55340365,56732435,59179393,61983952,62437294,65347949
"15000","Hawaii state total","8","CA5N","20","...","Population (persons) 2/",1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561
"15000","Hawaii state total","8","CA5N","30","...","Per capita personal income (dollars)",29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034
"15000","Hawaii state total","8","CA5N","35","...","Earnings by place of work",27242187,28981469,30867895,33159850,35388335,37538929,39113806,40168500,39600173,40371088,42163800,44201614,45085927,46743776
"15000","Hawaii state total","8","CA5N","36","...","  less: Contributions for government social insurance 3/",3047811,3256583,3503497,3679716,3948368,4248387,4440602,4529566,4473557,4716524,4496928,4645613,5408826,5424361
"15000","Hawaii state total","8","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1541650,1638212,1732187,1857545,1994552,2144631,2278783,2353173,2314984,2337248,1913901,1965315,2580523,2713677
"15000","Hawaii state total","8","CA5N","38","...","    Employer contributions for government social insurance",1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684
"15000","Hawaii state total","8","CA5N","42","...","  plus: Adjustment for residence 4/",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15000","Hawaii state total","8","CA5N","45","...","  equals: Net earnings by place of residence",24194376,25724886,27364398,29480134,31439967,33290542,34673204,35638934,35126616,35654564,37666872,39556001,39677101,41319415
"15000","Hawaii state total","8","CA5N","46","...","  plus: Dividends, interest, and rent 5/",7702312,7517078,7521733,8313242,8968669,10313587,11384917,12145711,11953920,11819019,11873522,12916294,12921120,13561604
"15000","Hawaii state total","8","CA5N","47","...","  plus: Personal current transfer receipts",4450134,4804901,4962791,5291453,5702154,6012830,6600400,7693206,8259829,9258852,9638999,9511657,9839073,10466930
"15000","Hawaii state total","8","CA5N","50","...","  Wages and salaries",19831092,20873712,22012166,23663967,25181893,26866956,28382601,29184559,28530057,28625913,29489238,30684867,31515009,32856301
"15000","Hawaii state total","8","CA5N","60","...","  Supplements to wages and salaries",4803998,5286517,5948354,6357591,6876945,7028136,7405996,7687143,7607123,8167366,8935017,9115941,9388349,9493856
"15000","Hawaii state total","8","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",3297837,3668146,4177044,4535420,4923129,4924380,5244177,5510750,5448550,5788090,6351990,6435643,6560046,6783172
"15000","Hawaii state total","8","CA5N","62","...","    Employer contributions for government social insurance",1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684
"15000","Hawaii state total","8","CA5N","70","...","  Proprietors' income 7/",2607097,2821240,2907375,3138292,3329497,3643837,3325209,3296798,3462993,3577809,3739545,4400806,4182569,4393619
"15000","Hawaii state total","8","CA5N","71","...","    Farm proprietors' income",39138,49891,51775,43780,64496,68269,52113,-25111,-14294,-23220,-18671,-37463,-15959,-8212
"15000","Hawaii state total","8","CA5N","72","...","    Nonfarm proprietors' income",2567959,2771349,2855600,3094512,3265001,3575568,3273096,3321909,3477287,3601029,3758216,4438269,4198528,4401831
"15000","Hawaii state total","8","CA5N","81","111-112","  Farm earnings",236703,250346,250625,251266,261747,259531,248471,183873,192292,174665,170361,244167,269293,298496
"15000","Hawaii state total","8","CA5N","82","...","  Nonfarm earnings",27005484,28731123,30617270,32908584,35126588,37279398,38865335,39984627,39407881,40196423,41993439,43957447,44816634,46445280
"15000","Hawaii state total","8","CA5N","90","113-814","    Private nonfarm earnings",19261531,20217733,21397575,23028917,24583442,26088701,27030667,27443354,26400154,26759164,27986286,29712091,30682222,31817897
"15000","Hawaii state total","8","CA5N","100","113-115","      Forestry, fishing, and related activities",50665,50378,50439,50687,49231,54247,47500,47217,48667,53704,56576,64272,66052,70938
"15000","Hawaii state total","8","CA5N","101","113","        Forestry and logging","(D)",1069,"(D)","(D)",1407,1676,1879,2083,2631,3040,2336,2374,2126,2719
"15000","Hawaii state total","8","CA5N","102","114","        Fishing, hunting and trapping","(D)",17453,"(D)","(D)",14918,15511,14445,14328,13375,16832,15720,18966,19657,19610
"15000","Hawaii state total","8","CA5N","103","115","        Support activities for agriculture and forestry",29642,31856,33318,32809,32906,37060,31176,30806,32661,33832,38520,42932,44269,48609
"15000","Hawaii state total","8","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",18674,18294,23116,29588,34742,36976,35978,44151,35786,35404,39360,38158,35259,36787
"15000","Hawaii state total","8","CA5N","201","211","        Oil and gas extraction",819,803,1100,2289,4254,6443,5134,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","202","212","        Mining (except oil and gas)",17855,17490,"(D)","(D)","(D)","(D)","(D)",33097,32014,30993,33181,31609,28302,29391
"15000","Hawaii state total","8","CA5N","203","213","        Support activities for mining",0,"(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","300","22","      Utilities",245354,253515,262242,278211,287410,320296,331768,376124,384797,416273,474435,484447,542173,569645
"15000","Hawaii state total","8","CA5N","400","23","      Construction",1798991,1978351,2230627,2460701,2961500,3265989,3464693,3433292,3036001,2887280,2919643,3055952,3181773,3372643
"15000","Hawaii state total","8","CA5N","401","236","        Construction of buildings",577926,652401,748957,826103,959651,1073505,1124204,1087814,979536,908040,913885,941111,962608,1013491
"15000","Hawaii state total","8","CA5N","402","237","        Heavy and civil engineering construction",282170,311087,324824,335972,429779,478942,503966,504489,445207,442020,441529,421388,422073,456091
"15000","Hawaii state total","8","CA5N","403","238","        Specialty trade contractors",938895,1014863,1156846,1298626,1572070,1713542,1836523,1840989,1611258,1537220,1564229,1693453,1797092,1903061
"15000","Hawaii state total","8","CA5N","500","31-33","      Manufacturing",667858,642517,659832,709740,739401,773003,808340,835635,754602,722431,776206,798499,819318,858502
"15000","Hawaii state total","8","CA5N","510","321,327-339","        Durable goods manufacturing","(D)","(D)","(D)",245388,263938,279348,297372,317691,276846,252640,277872,254699,259072,265672
"15000","Hawaii state total","8","CA5N","511","321","          Wood product manufacturing","(D)","(D)","(D)","(D)",15756,18122,"(D)","(D)","(D)",12310,10990,10681,12140,"(D)"
"15000","Hawaii state total","8","CA5N","512","327","          Nonmetallic mineral product manufacturing",61151,68322,71169,80504,87870,95793,97322,101976,67047,55938,61131,60814,70676,76725
"15000","Hawaii state total","8","CA5N","513","331","          Primary metal manufacturing",-105,117,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","514","332","          Fabricated metal product manufacturing",18750,20190,23397,25063,27610,26793,27279,27242,"(D)",21737,21667,22657,23491,22932
"15000","Hawaii state total","8","CA5N","515","333","          Machinery manufacturing",2433,2377,2068,2027,2320,2613,2633,2917,3813,4338,4267,"(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","516","334","          Computer and electronic product manufacturing",31178,"(D)","(D)","(D)",4856,4541,4733,9876,12937,11149,11199,11839,15250,17873
"15000","Hawaii state total","8","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1847,3388,3106,"(D)","(D)"
"15000","Hawaii state total","8","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)",1942,1390,"(D)","(D)","(D)","(D)","(D)",466,570,"(D)"
"15000","Hawaii state total","8","CA5N","519","3364-3369","          Other transportation equipment manufacturing","(D)","(D)","(D)","(D)",32040,33753,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","521","337","          Furniture and related product manufacturing",27870,27270,29341,34241,30137,31812,32974,34538,26388,23213,23285,21600,22211,22096
"15000","Hawaii state total","8","CA5N","522","339","          Miscellaneous manufacturing",44288,44425,48920,49956,58694,60701,59092,57865,52894,53536,53643,54209,46562,46576
"15000","Hawaii state total","8","CA5N","530","311-316,322-326","        Nondurable goods manufacturing","(D)","(D)","(D)",464352,475463,493655,510968,517944,477756,469791,498334,543800,560246,592830
"15000","Hawaii state total","8","CA5N","531","311","          Food manufacturing",205385,203753,211064,223004,226920,229721,234060,231819,220837,221007,223189,246074,261749,283583
"15000","Hawaii state total","8","CA5N","532","312","          Beverage and tobacco product manufacturing",38135,36644,37851,40151,46060,50582,56146,57045,57449,58655,57667,60642,61570,65243
"15000","Hawaii state total","8","CA5N","533","313","          Textile mills",1168,"(D)",1311,1957,1922,1587,1875,1949,"(D)",1507,"(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","534","314","          Textile product mills",2650,2667,4710,4429,6579,7336,9350,8959,7870,7038,7218,8279,8111,8753
"15000","Hawaii state total","8","CA5N","535","315","          Apparel manufacturing",42452,34330,33741,33579,25005,22727,20456,19045,14949,14316,17631,19821,21454,21766
"15000","Hawaii state total","8","CA5N","536","316","          Leather and allied product manufacturing",829,937,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"15000","Hawaii state total","8","CA5N","537","322","          Paper manufacturing",7866,8315,9941,10623,10895,11333,11626,11004,4563,4030,4307,1858,1821,3640
"15000","Hawaii state total","8","CA5N","538","323","          Printing and related support activities",52744,52165,53196,53529,52266,50932,51727,49950,39485,37638,38903,39022,38465,38049
"15000","Hawaii state total","8","CA5N","539","324","          Petroleum and coal products manufacturing","(D)",46992,51185,"(D)","(D)","(D)","(D)","(D)",85164,"(D)","(D)","(D)","(D)",119450
"15000","Hawaii state total","8","CA5N","541","325","          Chemical manufacturing",31212,31434,23637,28357,28091,33121,37649,41567,33010,28616,32776,28481,28426,31124
"15000","Hawaii state total","8","CA5N","542","326","          Plastics and rubber products manufacturing",9283,8555,9287,11292,15977,16111,14105,14068,12198,12944,14095,16508,16513,17690
"15000","Hawaii state total","8","CA5N","600","42","      Wholesale trade",847038,877164,912048,952044,1007324,1051308,1132596,1167576,1093878,1094961,1147153,1195059,1240131,1274173
"15000","Hawaii state total","8","CA5N","700","44-45","      Retail trade",2121241,2172874,2301490,2385577,2534599,2622203,2639151,2560933,2480804,2518170,2609386,2666933,2751938,2809723
"15000","Hawaii state total","8","CA5N","701","441","        Motor vehicle and parts dealers",287865,320511,367677,384717,403006,413636,402043,374293,322263,330709,359244,374619,400994,417158
"15000","Hawaii state total","8","CA5N","702","442","        Furniture and home furnishings stores",54597,57139,68406,74185,85185,85359,81889,76174,62262,61050,63597,64658,66101,69270
"15000","Hawaii state total","8","CA5N","703","443","        Electronics and appliance stores",55067,55059,54351,59022,60126,61911,60500,65403,56115,60857,65090,64798,64826,71385
"15000","Hawaii state total","8","CA5N","704","444","        Building material and garden equipment and supplies dealers",124234,138505,163238,183711,188836,198078,203620,195711,180820,173979,182849,177666,180548,186570
"15000","Hawaii state total","8","CA5N","705","445","        Food and beverage stores",331990,351861,356307,361665,380283,394621,401724,399103,438885,453763,476862,473830,504188,517782
"15000","Hawaii state total","8","CA5N","706","446","        Health and personal care stores",155535,163080,174542,177811,192613,203000,211618,213246,200472,198752,209305,216473,232685,236331
