"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25000","Massachusetts state total","1","CA5N","10","...","Personal income",254460336,255030054,261679425,273639368,285564234,307299784,322243521,334717288,327809225,338985407,359224281,377728405,379381409,396205941
"25000","Massachusetts state total","1","CA5N","20","...","Population (persons) 2/",6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564073,6612270,6655829,6708874,6745408
"25000","Massachusetts state total","1","CA5N","30","...","Per capita personal income (dollars)",39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737
"25000","Massachusetts state total","1","CA5N","35","...","Earnings by place of work",202548385,201778527,205005854,217322157,223390153,235354002,246969528,253516795,247809030,257459351,269233098,281101191,287705089,301712100
"25000","Massachusetts state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",20769058,20727978,20942509,22730342,23793659,24647933,25854574,26700198,26325831,26802138,24983183,25816263,30099306,31679936
"25000","Massachusetts state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676524,11224222,11589904,15531575,16471945
"25000","Massachusetts state total","1","CA5N","38","...","    Employer contributions for government social insurance",10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13125614,13758961,14226359,14567731,15207991
"25000","Massachusetts state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",-5089239,-4472651,-3877598,-5131483,-5138617,-5225404,-6053943,-5971698,-5418770,-5676006,-6305122,-6898410,-6770524,-6921603
"25000","Massachusetts state total","1","CA5N","45","...","  equals: Net earnings by place of residence",176690088,176577898,180185747,189460332,194457877,205480665,215061011,220844899,216064429,224981207,237944793,248386518,250835259,263110561
"25000","Massachusetts state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",47284728,45381618,46544419,47811900,52029950,60917574,64560246,65144977,58380309,57832803,64806087,72436724,71196676,74156061
"25000","Massachusetts state total","1","CA5N","47","...","  plus: Personal current transfer receipts",30485520,33070538,34949259,36367136,39076407,40901545,42622264,48727412,53364487,56171397,56473401,56905163,57349474,58939319
"25000","Massachusetts state total","1","CA5N","50","...","  Wages and salaries",151752080,148728167,150545491,158688618,163386967,172745510,184157030,189735975,181891252,187544777,195827015,203782010,209891041,221842674
"25000","Massachusetts state total","1","CA5N","60","...","  Supplements to wages and salaries",29918150,30475813,31472917,34511016,36249943,37553134,39783770,41257059,40667807,43080411,45704080,47314481,47456491,47864804
"25000","Massachusetts state total","1","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",19704127,20378817,21303544,23125210,24363217,25372331,27127778,28230179,27785110,29954797,31945119,33088122,32888760,32656813
"25000","Massachusetts state total","1","CA5N","62","...","    Employer contributions for government social insurance",10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13125614,13758961,14226359,14567731,15207991
"25000","Massachusetts state total","1","CA5N","70","...","  Proprietors' income 7/",20878155,22574547,22987446,24122523,23753243,25055358,23028728,22523761,25249971,26834163,27702003,30004700,30357557,32004622
"25000","Massachusetts state total","1","CA5N","71","...","    Farm proprietors' income",-1386,-5275,7187,24984,26432,18164,-1891,31902,1884,14620,35200,28278,33185,-10448
"25000","Massachusetts state total","1","CA5N","72","...","    Nonfarm proprietors' income",20879541,22579822,22980259,24097539,23726811,25037194,23030619,22491859,25248087,26819543,27666803,29976422,30324372,32015070
"25000","Massachusetts state total","1","CA5N","81","111-112","  Farm earnings",110012,131214,130997,146310,125354,130425,130862,160286,124193,130579,135851,192670,202031,177836
"25000","Massachusetts state total","1","CA5N","82","...","  Nonfarm earnings",202438373,201647313,204874857,217175847,223264799,235223577,246838666,253356509,247684837,257328772,269097247,280908521,287503058,301534264
"25000","Massachusetts state total","1","CA5N","90","113-814","    Private nonfarm earnings",178627799,176929899,179208971,190132605,195121881,205458854,215654732,220863457,214387354,223104318,234112053,244575279,250238576,262842851
"25000","Massachusetts state total","1","CA5N","100","113-115","      Forestry, fishing, and related activities",280135,298001,315335,367085,397897,404301,397280,377389,384229,438961,374041,395367,353506,353577
"25000","Massachusetts state total","1","CA5N","101","113","        Forestry and logging",21787,24549,28637,37340,41922,49970,37138,30912,26263,31365,24277,23944,22693,25100
"25000","Massachusetts state total","1","CA5N","102","114","        Fishing, hunting and trapping",177053,184295,188016,219246,242594,234019,225763,203136,218910,265122,290121,306625,268134,259348
"25000","Massachusetts state total","1","CA5N","103","115","        Support activities for agriculture and forestry",81295,89157,98682,110499,113381,120312,134379,143341,139056,142474,59643,64798,62679,69129
"25000","Massachusetts state total","1","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",269988,249166,228862,213049,223862,219380,160307,198916,121162,136614,181580,205889,248944,269873
"25000","Massachusetts state total","1","CA5N","201","211","        Oil and gas extraction",182737,157443,124032,94575,104225,"(D)","(D)","(D)","(D)","(D)",95218,130562,176037,189483
"25000","Massachusetts state total","1","CA5N","202","212","        Mining (except oil and gas)","(D)","(D)",99731,110603,112676,"(D)",102278,84245,79683,72262,71974,62585,56889,62500
