"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"27000","Minnesota state total","4","CA5N","10","...","Personal income",166059053,170136981,178170811,187859607,193454353,204654240,216410177,226967578,216865991,226049182,241807177,254467614,257058116,267389243
"27000","Minnesota state total","4","CA5N","20","...","Population (persons) 2/",4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310418,5348036,5380615,5422060,5457173
"27000","Minnesota state total","4","CA5N","30","...","Per capita personal income (dollars)",33326,33899,35256,36924,37787,39634,41560,43256,41064,42567,45214,47293,47410,48998
"27000","Minnesota state total","4","CA5N","35","...","Earnings by place of work",132628635,136105153,142012312,150376561,154895713,160285677,167728922,174220255,164352541,170510307,180629925,189024624,194144820,201540231
"27000","Minnesota state total","4","CA5N","36","...","  less: Contributions for government social insurance 3/",15034335,15408005,16096627,17007574,17748068,18559969,19328634,19931960,19269240,19537330,18320937,19048488,22383349,23183268
"27000","Minnesota state total","4","CA5N","37","...","    Employee and self-employed contributions for government social insurance",7719236,7939265,8204324,8663716,9027867,9507555,9974989,10351473,10037454,10136245,8308511,8591393,11484053,12118515
"27000","Minnesota state total","4","CA5N","38","...","    Employer contributions for government social insurance",7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753
"27000","Minnesota state total","4","CA5N","42","...","  plus: Adjustment for residence 4/",-1131111,-1042537,-1023455,-1083819,-1210134,-900265,-1256135,-1459547,-1228458,-1201644,-1302280,-1177942,-1212554,-1228483
"27000","Minnesota state total","4","CA5N","45","...","  equals: Net earnings by place of residence",116463189,119654611,124892230,132285168,135937511,140825443,147144153,152828748,143854843,149771333,161006708,168798194,170548917,177128480
"27000","Minnesota state total","4","CA5N","46","...","  plus: Dividends, interest, and rent 5/",30374337,29612284,31385621,32566914,33406723,37270402,40201626,41150374,36815171,37251326,41423706,46237896,45705780,47507553
"27000","Minnesota state total","4","CA5N","47","...","  plus: Personal current transfer receipts",19221527,20870086,21892960,23007525,24110119,26558395,29064398,32988456,36195977,39026523,39376763,39431524,40803419,42753210
"27000","Minnesota state total","4","CA5N","50","...","  Wages and salaries",98980854,100662677,103499892,109164047,111852874,116907328,123653666,127172794,121111366,124258116,129121233,135388731,139573509,145925536
"27000","Minnesota state total","4","CA5N","60","...","  Supplements to wages and salaries",21053385,21914061,23844757,25317403,26602943,26251300,27989282,29358186,27954096,29021950,31290577,30068143,30770149,32457430
"27000","Minnesota state total","4","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",13738286,14445321,15952454,16973545,17882742,17198886,18635637,19777699,18722310,19620865,21278151,19611048,19870853,21392677
"27000","Minnesota state total","4","CA5N","62","...","    Employer contributions for government social insurance",7315099,7468740,7892303,8343858,8720201,9052414,9353645,9580487,9231786,9401085,10012426,10457095,10899296,11064753
"27000","Minnesota state total","4","CA5N","70","...","  Proprietors' income 7/",12594396,13528415,14667663,15895111,16439896,17127049,16085974,17689275,15287079,17230241,20218115,23567750,23801162,23157265
"27000","Minnesota state total","4","CA5N","71","...","    Farm proprietors' income",462672,404814,1339511,1936037,2510116,2067985,1913274,3526149,1491257,2657590,4004616,5439668,5442905,3717568
"27000","Minnesota state total","4","CA5N","72","...","    Nonfarm proprietors' income",12131724,13123601,13328152,13959074,13929780,15059064,14172700,14163126,13795822,14572651,16213499,18128082,18358257,19439697
"27000","Minnesota state total","4","CA5N","81","111-112","  Farm earnings",1029219,1017021,1880073,2447985,2996762,2542326,2515102,4059542,2224254,3287574,4497149,6234574,6052844,4359871
"27000","Minnesota state total","4","CA5N","82","...","  Nonfarm earnings",131599416,135088132,140132239,147928576,151898951,157743351,165213820,170160713,162128287,167222733,176132776,182790050,188091976,197180360
"27000","Minnesota state total","4","CA5N","90","113-814","    Private nonfarm earnings",113841278,116235973,120499523,127360210,130598182,135683891,142243946,146093607,137476720,142246606,151351884,157932879,162472473,170739018
"27000","Minnesota state total","4","CA5N","100","113-115","      Forestry, fishing, and related activities",282286,270367,288501,313062,309115,338123,332108,349284,368055,451628,431337,478731,480017,513993
