"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"41000","Oregon state total","8","CA5N","10","...","Personal income",101755715,102964536,106521573,112389433,117190896,126816004,132696063,138500229,134786615,137331662,145083738,152371092,154869050,163652836
"41000","Oregon state total","8","CA5N","20","...","Population (persons) 2/",3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837083,3867644,3898684,3928068,3970239
"41000","Oregon state total","8","CA5N","30","...","Per capita personal income (dollars)",29342,29306,30028,31486,32434,34546,35648,36750,35390,35791,37512,39083,39426,41220
"41000","Oregon state total","8","CA5N","35","...","Earnings by place of work",78800521,79768986,82348543,87243466,91128018,97156896,100738430,101958599,97416556,98484570,102467834,108108212,111712885,117285166
"41000","Oregon state total","8","CA5N","36","...","  less: Contributions for government social insurance 3/",9449281,9611650,9918211,10619346,11212975,12049059,12551549,12704919,12195883,12519047,11575961,12127711,14177147,14939074
"41000","Oregon state total","8","CA5N","37","...","    Employee and self-employed contributions for government social insurance",4500813,4590444,4704212,5011421,5384879,5879777,6192966,6322858,6068292,6158762,5078963,5272826,6994793,7458434
"41000","Oregon state total","8","CA5N","38","...","    Employer contributions for government social insurance",4948468,5021206,5213999,5607925,5828096,6169282,6358583,6382061,6127591,6360285,6496998,6854885,7182354,7480640
"41000","Oregon state total","8","CA5N","42","...","  plus: Adjustment for residence 4/",-2088943,-2241333,-2380356,-2454946,-2593371,-2841249,-3125188,-3408926,-3298817,-3139195,-3431654,-3591711,-3614832,-3616547
"41000","Oregon state total","8","CA5N","45","...","  equals: Net earnings by place of residence",67262297,67916003,70049976,74169174,77321672,82266588,85061693,85844754,81921856,82826328,87460219,92388790,93920906,98729545
"41000","Oregon state total","8","CA5N","46","...","  plus: Dividends, interest, and rent 5/",19701983,19275891,20213678,21538869,22116747,25590958,27197023,28908642,25761892,25203870,27889523,30257383,30128608,31399195
"41000","Oregon state total","8","CA5N","47","...","  plus: Personal current transfer receipts",14791435,15772642,16257919,16681390,17752477,18958458,20437347,23746833,27102867,29301464,29733996,29724919,30819536,33524096
"41000","Oregon state total","8","CA5N","50","...","  Wages and salaries",55728283,55914034,57325280,60575685,64411219,69043132,72760324,73884899,69955678,70948929,74018783,77158018,80140083,85067923
"41000","Oregon state total","8","CA5N","60","...","  Supplements to wages and salaries",13899724,14229767,15277201,16368313,16340270,16688719,17402709,17878848,17848339,17749297,18178109,19723622,20111603,19786471
"41000","Oregon state total","8","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",8951256,9208561,10063202,10760388,10512174,10519437,11044126,11496787,11720748,11389012,11681111,12868737,12929249,12305831
"41000","Oregon state total","8","CA5N","62","...","    Employer contributions for government social insurance",4948468,5021206,5213999,5607925,5828096,6169282,6358583,6382061,6127591,6360285,6496998,6854885,7182354,7480640
"41000","Oregon state total","8","CA5N","70","...","  Proprietors' income 7/",9172514,9625185,9746062,10299468,10376529,11425045,10575397,10194852,9612539,9786344,10270942,11226572,11461199,12430772
"41000","Oregon state total","8","CA5N","71","...","    Farm proprietors' income",93196,144245,419127,477276,362735,439564,377388,100299,-107401,-40974,129628,478655,360569,670733
"41000","Oregon state total","8","CA5N","72","...","    Nonfarm proprietors' income",9079318,9480940,9326935,9822192,10013794,10985481,10198009,10094553,9719940,9827318,10141314,10747917,11100630,11760039
"41000","Oregon state total","8","CA5N","81","111-112","  Farm earnings",833357,836813,1123293,1256177,1250629,1326237,1398160,1126636,1020258,952993,1106882,1453770,1455226,1780404
"41000","Oregon state total","8","CA5N","82","...","  Nonfarm earnings",77967164,78932173,81225250,85987289,89877389,95830659,99340270,100831963,96396298,97531577,101360952,106654442,110257659,115504762
"41000","Oregon state total","8","CA5N","90","113-814","    Private nonfarm earnings",64180151,64658881,66476931,70521669,74655422,80760752,83450616,83912196,78419792,79180429,82471169,87852788,90849373,95429570
"41000","Oregon state total","8","CA5N","100","113-115","      Forestry, fishing, and related activities",1248471,1240279,1208656,1184089,1115763,1156980,1124842,1119686,1033218,1133575,1133932,1319832,1368735,1457924
"41000","Oregon state total","8","CA5N","101","113","        Forestry and logging",835382,803982,760265,750052,680802,662444,611571,587885,517125,585979,579164,677518,709369,755050
"41000","Oregon state total","8","CA5N","102","114","        Fishing, hunting and trapping",62453,61538,63935,67592,68380,73141,71195,69147,68116,75849,74868,87336,93885,98418
"41000","Oregon state total","8","CA5N","103","115","        Support activities for agriculture and forestry",350636,374759,384456,366445,366581,421395,442076,462654,447977,471747,479900,554978,565481,604456
"41000","Oregon state total","8","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",96359,101553,109960,127028,144847,167144,160593,159570,124008,127685,171408,167523,148917,153806
"41000","Oregon state total","8","CA5N","201","211","        Oil and gas extraction","(D)","(D)","(D)","(D)","(D)",13702,9685,17333,5219,7684,11764,"(D)","(D)","(D)"
"41000","Oregon state total","8","CA5N","202","212","        Mining (except oil and gas)",90476,94948,101122,117367,131165,148865,147512,137454,111664,112825,149540,147387,130002,135291
"41000","Oregon state total","8","CA5N","203","213","        Support activities for mining","(D)","(D)","(D)","(D)","(D)",4577,3396,4783,7125,7176,10104,"(D)","(D)","(D)"
"41000","Oregon state total","8","CA5N","300","22","      Utilities",490930,493232,495998,539151,491039,572400,569081,664428,626797,627395,648077,646165,662568,705854
"41000","Oregon state total","8","CA5N","400","23","      Construction",5586081,5489514,5389476,5798496,6420273,7435599,7612278,7016427,5833580,5387772,5506142,5971632,6328284,6968293
"41000","Oregon state total","8","CA5N","401","236","        Construction of buildings",1509710,1509448,1516677,1642056,1872848,2191097,2187134,2010125,1660308,1466033,1457946,1603525,1777461,1962016
"41000","Oregon state total","8","CA5N","402","237","        Heavy and civil engineering construction",629939,622460,652175,710664,760172,859309,909771,848785,734121,697765,716601,660017,700804,722314
"41000","Oregon state total","8","CA5N","403","238","        Specialty trade contractors",3446432,3357606,3220624,3445776,3787253,4385193,4515373,4157517,3439151,3223974,3331595,3708090,3850019,4283963
"41000","Oregon state total","8","CA5N","500","31-33","      Manufacturing",12093198,11351106,11502633,12324593,12892160,13556359,13852150,13698638,11814637,12215504,13022099,14067651,14274088,14901843
