"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"56000","Wyoming state total","7","CA5N","10","...","Personal income",15203962,15721758,16815390,18171214,20136198,23094580,24339511,26720035,24159185,25308951,27893467,30087324,30205928,31885231
"56000","Wyoming state total","7","CA5N","20","...","Population (persons) 2/",494657,500017,503453,509106,514157,522667,534876,546043,559851,564358,567631,576893,583223,584153
"56000","Wyoming state total","7","CA5N","30","...","Per capita personal income (dollars)",30736,31442,33400,35692,39164,44186,45505,48934,43153,44846,49140,52154,51791,54584
"56000","Wyoming state total","7","CA5N","35","...","Earnings by place of work",10587274,11029640,11654255,12436303,13532225,15553144,16720991,18578736,17350468,17994613,19266887,20004756,20407156,21415149
"56000","Wyoming state total","7","CA5N","36","...","  less: Contributions for government social insurance 3/",1202040,1226496,1302756,1396252,1508226,1912204,2111905,2242254,2173086,2229728,2125155,2246556,2523148,2627455
"56000","Wyoming state total","7","CA5N","37","...","    Employee and self-employed contributions for government social insurance",617778,637248,676015,724120,780011,886807,961235,1025249,1003836,1024771,844381,875877,1145039,1219132
"56000","Wyoming state total","7","CA5N","38","...","    Employer contributions for government social insurance",584262,589248,626741,672132,728215,1025397,1150670,1217005,1169250,1204957,1280774,1370679,1378109,1408323
"56000","Wyoming state total","7","CA5N","42","...","  plus: Adjustment for residence 4/",10194,3090,-18411,-43660,-79625,-132035,-153325,-218321,-193067,-197137,-202657,-216622,-200282,-199313
"56000","Wyoming state total","7","CA5N","45","...","  equals: Net earnings by place of residence",9395428,9806234,10333088,10996391,11944374,13508905,14455761,16118161,14984315,15567748,16939075,17541578,17683726,18588381
"56000","Wyoming state total","7","CA5N","46","...","  plus: Dividends, interest, and rent 5/",3955788,3931794,4338946,4907770,5804590,7052738,7193574,7473202,5794089,6094317,7288031,8882289,8740670,9397109
"56000","Wyoming state total","7","CA5N","47","...","  plus: Personal current transfer receipts",1852746,1983730,2143356,2267053,2387234,2532937,2690176,3128672,3380781,3646886,3666361,3663457,3781532,3899741
"56000","Wyoming state total","7","CA5N","50","...","  Wages and salaries",7330442,7691212,8035468,8574517,9335747,10720071,11884560,12937872,12194732,12371704,12941525,13534796,13733560,14413060
"56000","Wyoming state total","7","CA5N","60","...","  Supplements to wages and salaries",1675698,1769167,1932105,2074646,2230858,2748729,3050426,3302300,3121162,3255202,3338529,3565213,3807139,3809244
"56000","Wyoming state total","7","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",1091436,1179919,1305364,1402514,1502643,1723332,1899756,2085295,1951912,2050245,2057755,2194534,2429030,2400921
"56000","Wyoming state total","7","CA5N","62","...","    Employer contributions for government social insurance",584262,589248,626741,672132,728215,1025397,1150670,1217005,1169250,1204957,1280774,1370679,1378109,1408323
"56000","Wyoming state total","7","CA5N","70","...","  Proprietors' income 7/",1581134,1569261,1686682,1787140,1965620,2084344,1786005,2338564,2034574,2367707,2986833,2904747,2866457,3192845
"56000","Wyoming state total","7","CA5N","71","...","    Farm proprietors' income",104300,2387,94853,84128,123785,-7761,-82292,-51173,-97531,-33777,198162,-53281,37999,173945
"56000","Wyoming state total","7","CA5N","72","...","    Nonfarm proprietors' income",1476834,1566874,1591829,1703012,1841835,2092105,1868297,2389737,2132105,2401484,2788671,2958028,2828458,3018900
"56000","Wyoming state total","7","CA5N","81","111-112","  Farm earnings",191880,102054,184121,180924,232118,96910,39916,67762,32062,81340,312454,95456,205750,343939
"56000","Wyoming state total","7","CA5N","82","...","  Nonfarm earnings",10395394,10927586,11470134,12255379,13300107,15456234,16681075,18510974,17318406,17913273,18954433,19909300,20201406,21071210
"56000","Wyoming state total","7","CA5N","90","113-814","    Private nonfarm earnings",7929986,8256695,8566020,9184644,10045129,11983361,12830407,14333032,12958036,13375670,14351708,15141673,15202450,16001387
"56000","Wyoming state total","7","CA5N","100","113-115","      Forestry, fishing, and related activities",47147,44909,39838,43027,39888,41430,38236,35655,38280,46624,50496,55710,54642,59402
"56000","Wyoming state total","7","CA5N","101","113","        Forestry and logging",9805,8425,7903,7876,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N","102","114","        Fishing, hunting and trapping",2979,2649,2902,3013,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N","103","115","        Support activities for agriculture and forestry",34363,33835,29033,32138,29410,29799,27141,25771,29350,35181,39649,43145,41745,44745
"56000","Wyoming state total","7","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",1366305,1346803,1455226,1688755,2026135,2628926,2656417,3386016,2524129,2809418,3522476,3720708,3573807,3780997
"56000","Wyoming state total","7","CA5N","201","211","        Oil and gas extraction",410507,396599,454104,508181,657608,799116,717296,1181419,666260,847338,1039044,1171735,1191682,1262662
"56000","Wyoming state total","7","CA5N","202","212","        Mining (except oil and gas)",545248,572309,575990,628406,660200,803852,856182,956817,956290,1054752,1332677,1328185,1208057,1231439
"56000","Wyoming state total","7","CA5N","203","213","        Support activities for mining",410550,377895,425132,552168,708327,1025958,1082939,1247780,901579,907328,1150755,1220788,1174068,1286896
"56000","Wyoming state total","7","CA5N","300","22","      Utilities","(D)","(D)",189630,200479,211876,243707,260379,283505,271836,283176,295081,281472,294136,302207
"56000","Wyoming state total","7","CA5N","400","23","      Construction",1025189,"(D)",1093284,1101328,1221635,1545268,1808625,2015565,1721905,1745589,1640555,1752687,1765703,1951340
"56000","Wyoming state total","7","CA5N","401","236","        Construction of buildings",219958,"(D)",213356,222948,241763,286908,302282,326589,337739,307073,306915,344091,345559,366819
"56000","Wyoming state total","7","CA5N","402","237","        Heavy and civil engineering construction",263954,272078,306662,277136,327783,469838,643205,719233,511466,548351,501717,524116,488638,579867
"56000","Wyoming state total","7","CA5N","403","238","        Specialty trade contractors",541277,566736,573266,601244,652089,788522,863138,969743,872700,890165,831923,884480,931506,1004654
"56000","Wyoming state total","7","CA5N","500","31-33","      Manufacturing",500926,"(D)",481109,503207,539258,613179,653124,687343,638893,635685,702167,735967,774961,840222
"56000","Wyoming state total","7","CA5N","510","321,327-339","        Durable goods manufacturing",199172,"(D)","(D)","(D)",244430,280569,299998,310686,272519,260639,288481,307862,315294,339416
"56000","Wyoming state total","7","CA5N","511","321","          Wood product manufacturing",30136,32860,30381,33163,33486,36076,33386,27911,19673,17939,20844,23285,33001,33906
"56000","Wyoming state total","7","CA5N","512","327","          Nonmetallic mineral product manufacturing",37994,38893,41176,42096,45954,50151,55487,58163,55385,53671,54855,56567,55200,55553
"56000","Wyoming state total","7","CA5N","513","331","          Primary metal manufacturing",5180,3869,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",3484,"(D)","(D)",5246,"(D)"
"56000","Wyoming state total","7","CA5N","514","332","          Fabricated metal product manufacturing",52013,51740,56488,62754,77260,91993,100725,108514,89812,82181,95645,104541,101658,112243
"56000","Wyoming state total","7","CA5N","515","333","          Machinery manufacturing",21227,20754,15413,17293,20014,25088,32918,34398,39209,37993,42025,53438,56085,54273
"56000","Wyoming state total","7","CA5N","516","334","          Computer and electronic product manufacturing","(D)",16779,16222,14849,12171,14101,15167,13164,12045,9572,10156,12045,"(D)","(D)"
"56000","Wyoming state total","7","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing",10958,7237,8052,8734,10625,12530,12285,17641,18622,19447,21544,20939,19239,22698
"56000","Wyoming state total","7","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)",15266,17230,"(D)","(D)","(D)",21539,"(D)","(D)","(D)","(D)",14065,12269
"56000","Wyoming state total","7","CA5N","519","3364-3369","          Other transportation equipment manufacturing","(D)","(D)",3181,3282,"(D)","(D)","(D)",3004,"(D)","(D)","(D)","(D)","(D)",3606
"56000","Wyoming state total","7","CA5N","521","337","          Furniture and related product manufacturing",8904,9125,8918,9828,10200,11427,12803,13440,9875,8301,7883,7159,7480,8011
"56000","Wyoming state total","7","CA5N","522","339","          Miscellaneous manufacturing",9060,9724,10109,9448,7292,7749,7432,"(D)",7127,"(D)","(D)",6770,"(D)","(D)"
"56000","Wyoming state total","7","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",301754,"(D)","(D)","(D)",294828,332610,353126,376657,366374,375046,413686,428105,459667,500806
"56000","Wyoming state total","7","CA5N","531","311","          Food manufacturing",23251,19824,20853,21591,22764,22781,25189,27214,30471,29972,32194,38484,40345,41129
"56000","Wyoming state total","7","CA5N","532","312","          Beverage and tobacco product manufacturing",18910,13317,13870,15073,14745,16594,16114,16650,16725,17423,17310,19001,20065,21280
"56000","Wyoming state total","7","CA5N","533","313","          Textile mills","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1461,"(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N","534","314","          Textile product mills",2778,2915,2278,2489,2079,2395,3112,3150,2665,3063,3189,3477,3764,"(D)"
"56000","Wyoming state total","7","CA5N","535","315","          Apparel manufacturing",4185,1923,"(D)",1321,1363,1448,973,789,426,"(D)","(D)","(D)","(D)","(D)"
"56000","Wyoming state total","7","CA5N","536","316","          Leather and allied product manufacturing","(D)",2284,2844,2381,1808,2432,1914,1694,1560,"(D)",1090,1370,1517,1612
"56000","Wyoming state total","7","CA5N","537","322","          Paper manufacturing","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)"
"56000","Wyoming state total","7","CA5N","538","323","          Printing and related support activities",11573,10320,10806,11524,12368,12929,"(D)",13064,10456,10953,12196,12756,12397,12052
"56000","Wyoming state total","7","CA5N","539","324","          Petroleum and coal products manufacturing",80829,71411,76584,81298,83861,106289,116433,128212,126338,129961,147281,147785,168943,199938
